t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,14.042,30.100,30.100,49.88
0.020,10.500,110.000,14.042,30.100,30.100,49.88
0.030,10.500,110.000,14.042,30.100,30.100,49.88
0.040,10.500,110.000,14.042,30.100,30.100,49.88
0.050,10.500,110.000,14.042,30.100,30.100,49.88
0.060,10.500,110.000,14.042,30.100,30.100,49.88
0.070,10.500,110.000,14.042,30.100,30.100,49.88
0.080,10.500,110.000,14.042,30.100,30.100,49.88
0.090,10.500,110.000,14.042,30.100,30.100,49.88
0.100,10.558,109.999,24.508,25.999,30.100,49.88
0.110,10.558,109.999,24.510,26.001,30.100,49.88
0.120,10.557,109.999,24.515,26.007,30.100,49.90
0.130,10.557,109.999,24.523,26.017,30.100,49.92
0.140,10.557,109.999,24.535,26.030,30.100,49.96
0.150,10.556,109.998,24.550,26.047,30.100,50.00
0.160,10.556,109.998,24.568,26.068,30.100,50.05
0.170,10.555,109.998,24.589,26.093,30.100,50.11
0.180,10.555,109.998,24.613,26.121,30.100,50.18
0.190,10.554,109.998,24.641,26.153,30.100,50.26
0.200,10.553,109.998,24.671,26.188,30.100,50.35
0.210,10.552,109.998,24.704,26.227,30.100,50.45
0.220,10.551,109.997,24.741,26.269,30.100,50.55
0.230,10.550,109.997,24.779,26.314,30.100,50.67
0.240,10.548,109.997,24.821,26.362,30.100,50.79
0.250,10.547,109.997,24.865,26.414,30.100,50.92
0.260,10.546,109.996,24.912,26.468,30.100,51.06
0.270,10.544,109.996,24.962,26.526,30.100,51.20
0.280,10.543,109.996,25.014,26.586,30.100,51.36
0.290,10.541,109.995,25.068,26.650,30.100,51.52
0.300,10.539,109.995,25.124,26.716,30.100,51.69
0.310,10.537,109.995,25.183,26.784,30.100,51.86
0.320,10.535,109.994,25.244,26.855,30.100,52.05
0.330,10.533,109.994,25.307,26.929,30.100,52.24
0.340,10.531,109.993,25.372,27.005,30.100,52.43
0.350,10.529,109.993,25.438,27.083,30.100,52.64
0.360,10.527,109.992,25.506,27.163,30.100,52.85
0.370,10.525,109.992,25.576,27.245,30.100,53.06
0.380,10.522,109.991,25.648,27.330,30.100,53.28
0.390,10.520,109.991,25.721,27.416,30.100,53.51
0.400,10.517,109.990,25.795,27.503,30.100,53.74
0.410,10.515,109.990,25.871,27.593,30.100,53.98
0.420,10.512,109.989,25.948,27.684,30.100,54.23
0.430,10.509,109.989,26.026,27.776,30.100,54.48
0.440,10.507,109.988,26.104,27.870,30.100,54.73
0.450,10.504,109.988,26.184,27.964,30.100,54.99
0.460,10.501,109.987,26.265,28.060,30.100,55.25
0.470,10.498,109.987,26.346,28.157,30.100,55.52
0.480,10.495,109.986,26.428,28.255,30.100,55.79
0.490,10.492,109.985,26.510,28.354,30.100,56.06
0.500,10.489,109.985,26.593,28.453,30.100,56.34
0.510,10.486,109.984,26.676,28.553,30.100,56.62
0.520,10.482,109.983,26.760,28.653,30.100,56.90
0.530,10.479,109.983,26.843,28.754,30.100,57.19
0.540,10.476,109.982,26.927,28.855,30.100,57.48
