t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,13.829,29.600,29.600,48.90
0.020,10.500,110.000,13.829,29.600,29.600,48.90
0.030,10.500,110.000,13.829,29.600,29.600,48.90
0.040,10.500,110.000,13.829,29.600,29.600,48.90
0.050,10.500,110.000,13.829,29.600,29.600,48.90
0.060,10.500,110.000,13.829,29.600,29.600,48.90
0.070,10.500,110.000,13.829,29.600,29.600,48.90
0.080,10.500,110.000,13.829,29.600,29.600,48.90
0.090,10.500,110.000,13.829,29.600,29.600,48.90
0.100,10.556,109.998,24.130,25.565,29.600,48.90
0.110,10.556,109.998,24.131,25.567,29.600,48.90
0.120,10.556,109.998,24.137,25.573,29.600,48.92
0.130,10.555,109.998,24.145,25.583,29.600,48.94
0.140,10.555,109.998,24.157,25.596,29.600,48.97
0.150,10.555,109.998,24.172,25.613,29.600,49.01
0.160,10.554,109.998,24.190,25.634,29.600,49.07
0.170,10.554,109.998,24.211,25.659,29.600,49.13
0.180,10.553,109.998,24.235,25.687,29.600,49.20
0.190,10.552,109.998,24.263,25.719,29.600,49.27
0.200,10.551,109.997,24.293,25.754,29.600,49.36
0.210,10.550,109.997,24.327,25.793,29.600,49.46
0.220,10.549,109.997,24.363,25.834,29.600,49.56
0.230,10.548,109.997,24.402,25.880,29.600,49.67
0.240,10.547,109.997,24.444,25.928,29.600,49.79
0.250,10.546,109.996,24.489,25.979,29.600,49.92
0.260,10.544,109.996,24.536,26.034,29.600,50.06
0.270,10.543,109.996,24.585,26.091,29.600,50.20
0.280,10.541,109.995,24.637,26.152,29.600,50.35
0.290,10.540,109.995,24.692,26.215,29.600,50.51
0.300,10.538,109.995,24.749,26.281,29.600,50.67
0.310,10.536,109.994,24.808,26.349,29.600,50.85
0.320,10.534,109.994,24.869,26.421,29.600,51.03
0.330,10.533,109.994,24.932,26.494,29.600,51.21
0.340,10.531,109.993,24.997,26.570,29.600,51.41
0.350,10.528,109.993,25.064,26.648,29.600,51.61
0.360,10.526,109.992,25.132,26.728,29.600,51.81
0.370,10.524,109.992,25.203,26.810,29.600,52.03
0.380,10.522,109.991,25.275,26.895,29.600,52.24
0.390,10.519,109.991,25.348,26.981,29.600,52.47
0.400,10.517,109.990,25.423,27.068,29.600,52.70
0.410,10.515,109.990,25.499,27.158,29.600,52.93
0.420,10.512,109.989,25.576,27.249,29.600,53.17
0.430,10.509,109.989,25.654,27.341,29.600,53.41
0.440,10.507,109.988,25.734,27.435,29.600,53.66
0.450,10.504,109.988,25.814,27.529,29.600,53.91
0.460,10.501,109.987,25.895,27.625,29.600,54.17
0.470,10.498,109.987,25.977,27.722,29.600,54.43
0.480,10.495,109.986,26.059,27.820,29.600,54.70
0.490,10.493,109.985,26.142,27.919,29.600,54.97
0.500,10.490,109.985,26.226,28.018,29.600,55.24
0.510,10.486,109.984,26.310,28.118,29.600,55.51
0.520,10.483,109.984,26.394,28.218,29.600,55.79
0.530,10.480,109.983,26.478,28.319,29.600,56.07
0.540,10.477,109.982,26.562,28.420,29.600,56.35
0.550,10.474,109.982,26.646,28.521,29.600,56.64
0.560,10.471,109.981,26.731,28.623,29.600,56.93
0.570,10.467,109.980,26.815,28.724,29.600,57.22
0.580,10.464,109.980,26.898,28.825,29.600,57.51
0.590,10.461,109.979,26.982,28.926,29.600,57.80
0.600,10.457,109.978,27.065,29.027,29.600,58.09
0.610,10.454,109.978,27.147,29.127,29.600,58.38
0.620,10.450,109.977,27.230,29.227,29.600,58.68
0.630,10.447,109.976,27.311,29.327,29.600,58.97
0.640,10.443,109.976,27.392,29.426,29.600,59.27
0.650,10.440,109.975,27.472,29.524,29.600,59.56
0.660,10.436,109.974,27.551,29.621,29.600,59.86
0.670,10.433,109.974,27.630,29.718,29.600,60.15
0.680,10.429,109.973,27.707,29.814,29.600,60.45
0.690,10.426,109.972,27.784,29.909,29.600,60.74
0.700,10.422,109.972,27.860,30.002,29.600,61.03
0.710,10.419,109.971,27.934,30.095,29.600,61.32
0.720,10.415,109.970,28.008,30.187,29.600,61.61
0.730,10.412,109.970,28.080,30.277,29.600,61.90
0.740,10.408,109.969,28.151,30.367,29.600,62.19
0.750,10.405,109.968,28.221,30.455,29.600,62.47
0.760,10.401,109.968,28.290,30.541,29.600,62.75
0.770,10.398,109.967,28.358,30.626,29.600,63.03
0.780,10.395,109.966,28.424,30.710,29.600,63.31
0.790,10.391,109.966,28.489,30.793,29.600,63.58
0.800,10.388,109.965,28.552,30.874,29.600,63.85
0.810,10.384,109.964,28.615,30.953,29.600,64.12
0.820,10.381,109.964,28.676,31.031,29.600,64.39
0.830,10.378,109.963,28.735,31.107,29.600,64.65
0.840,10.374,109.962,28.793,31.182,29.600,64.91
0.850,10.371,109.962,28.850,31.255,29.600,65.16
0.860,10.368,109.961,28.905,31.327,29.600,65.41
0.870,10.365,109.961,28.959,31.396,29.600,65.66
0.880,10.362,109.960,29.011,31.465,29.600,65.90
0.890,10.359,109.960,29.062,31.531,29.600,66.14
0.900,10.356,109.959,29.112,31.596,29.600,66.37
0.910,10.353,109.958,29.160,31.659,29.600,66.60
0.920,10.350,109.958,29.207,31.720,29.600,66.82
0.930,10.347,109.957,29.252,31.780,29.600,67.04
