Номер часа;Номер энергорайона;Номер узла;Номер балансирующего узла
14;1063;1000895;1005005
15;1061;1005005;1005005
15;1062;1000874;1005005
15;1063;1000895;1005005
16;1061;1005005;1005005
16;1062;1000874;1005005
16;1063;1000895;1005005
17;1061;1005005;1005005
17;1062;1000874;1005005
17;1063;1000895;1005005
18;1061;1005005;1005005
18;1062;1000874;1005005
18;1063;1000895;1005005
19;1061;1005005;1005005
19;1062;1000874;1005005
19;1063;1000895;1005005
20;1061;1005005;1005005
20;1062;1000874;1005005
20;1063;1000895;1005005
21;1061;1005005;1005005
21;1062;1000874;1005005
21;1063;1000895;1005005
22;1061;1005005;1005005
22;1062;1000874;1005005
22;1063;1000895;1005005
23;1061;1005005;1005005
23;1062;1000874;1005005
23;1063;1000895;1005005
