t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,9.617,20.600,20.600,48.64
0.020,10.500,110.000,9.617,20.600,20.600,48.64
0.030,10.500,110.000,9.617,20.600,20.600,48.64
0.040,10.500,110.000,9.617,20.600,20.600,48.64
0.050,10.500,110.000,9.617,20.600,20.600,48.64
0.060,10.500,110.000,9.617,20.600,20.600,48.64
0.070,10.500,110.000,9.617,20.600,20.600,48.64
0.080,10.500,110.000,9.617,20.600,20.600,48.64
0.090,10.500,110.000,9.617,20.600,20.600,48.64
0.100,9.803,109.306,-0.001,3.009,20.600,48.64
0.110,9.803,109.306,-0.001,3.009,20.600,48.66
0.120,9.803,109.306,-0.001,3.009,20.600,48.73
0.130,9.803,109.306,-0.001,3.009,20.600,48.83
0.140,9.803,109.306,-0.001,3.009,20.600,48.97
0.150,9.803,109.306,-0.001,3.009,20.600,49.16
0.160,9.803,109.306,-0.001,3.009,20.600,49.38
0.170,9.803,109.306,-0.001,3.009,20.600,49.65
0.180,9.803,109.306,-0.001,3.009,20.600,49.95
0.190,9.803,109.306,-0.001,3.009,20.600,50.30
0.200,9.803,109.306,-0.001,3.009,20.600,50.68
0.210,9.803,109.306,-0.001,3.009,20.600,51.10
0.220,9.803,109.306,-0.001,3.009,20.600,51.57
0.230,9.803,109.306,-0.001,3.009,20.600,52.07
0.240,9.803,109.306,-0.001,3.009,20.600,52.61
0.250,9.803,109.306,-0.001,3.009,20.600,53.19
0.260,10.493,109.989,18.187,19.443,20.600,53.80
0.270,10.488,109.988,18.326,19.609,20.600,54.44
0.280,10.482,109.987,18.463,19.773,20.600,55.08
0.290,10.477,109.986,18.597,19.935,20.600,55.71
0.300,10.472,109.985,18.728,20.094,20.600,56.34
0.310,10.466,109.984,18.857,20.250,20.600,56.98
0.320,10.461,109.983,18.983,20.405,20.600,57.61
0.330,10.456,109.982,19.107,20.556,20.600,58.24
0.340,10.450,109.981,19.228,20.705,20.600,58.87
0.350,10.445,109.980,19.346,20.852,20.600,59.49
0.360,10.439,109.979,19.461,20.995,20.600,60.12
0.370,10.433,109.978,19.574,21.136,20.600,60.74
0.380,10.428,109.977,19.683,21.275,20.600,61.36
0.390,10.422,109.976,19.790,21.410,20.600,61.98
0.400,10.417,109.975,19.894,21.543,20.600,62.59
0.410,10.411,109.974,19.995,21.672,20.600,63.20
0.420,10.405,109.973,20.093,21.799,20.600,63.81
0.430,10.400,109.972,20.189,21.923,20.600,64.42
0.440,10.394,109.971,20.281,22.044,20.600,65.02
0.450,10.388,109.970,20.371,22.162,20.600,65.61
0.460,10.383,109.969,20.457,22.277,20.600,66.21
0.470,10.377,109.968,20.541,22.390,20.600,66.80
0.480,10.371,109.967,20.622,22.499,20.600,67.38
0.490,10.366,109.966,20.700,22.605,20.600,67.96
0.500,10.360,109.965,20.775,22.708,20.600,68.53
0.510,10.354,109.964,20.848,22.809,20.600,69.10
0.520,10.349,109.963,20.917,22.906,20.600,69.66
0.530,10.343,109.962,20.984,23.000,20.600,70.22
0.540,10.338,109.961,21.048,23.092,20.600,70.77
0.550,10.332,109.960,21.110,23.181,20.600,71.32
