t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,16.450,36.000,36.000,62.58
0.020,10.500,110.000,16.450,36.000,36.000,62.58
0.030,10.500,110.000,16.450,36.000,36.000,62.58
0.040,10.500,110.000,16.450,36.000,36.000,62.58
0.050,10.500,110.000,16.450,36.000,36.000,62.58
0.060,10.500,110.000,16.450,36.000,36.000,62.58
0.070,10.500,110.000,16.450,36.000,36.000,62.58
0.080,10.500,110.000,16.450,36.000,36.000,62.58
0.090,10.500,110.000,16.450,36.000,36.000,62.58
0.100,10.583,110.003,28.838,31.130,36.000,62.58
0.110,10.583,110.003,28.839,31.132,36.000,62.59
0.120,10.583,110.003,28.844,31.137,36.000,62.60
0.130,10.583,110.003,28.851,31.146,36.000,62.63
0.140,10.582,110.003,28.861,31.159,36.000,62.67
0.150,10.582,110.003,28.873,31.175,36.000,62.72
0.160,10.581,110.003,28.889,31.194,36.000,62.78
0.170,10.580,110.002,28.907,31.217,36.000,62.86
0.180,10.579,110.002,28.927,31.243,36.000,62.94
0.190,10.578,110.002,28.950,31.272,36.000,63.04
0.200,10.576,110.002,28.976,31.304,36.000,63.14
0.210,10.575,110.001,29.004,31.340,36.000,63.26
0.220,10.573,110.001,29.035,31.379,36.000,63.38
0.230,10.572,110.001,29.067,31.420,36.000,63.52
0.240,10.570,110.000,29.102,31.465,36.000,63.66
0.250,10.568,110.000,29.140,31.512,36.000,63.82
0.260,10.566,110.000,29.179,31.562,36.000,63.99
0.270,10.564,109.999,29.220,31.615,36.000,64.16
0.280,10.561,109.999,29.263,31.670,36.000,64.35
0.290,10.559,109.998,29.309,31.728,36.000,64.54
0.300,10.556,109.998,29.355,31.788,36.000,64.74
0.310,10.554,109.997,29.404,31.851,36.000,64.96
0.320,10.551,109.997,29.454,31.916,36.000,65.18
0.330,10.548,109.996,29.506,31.983,36.000,65.41
0.340,10.545,109.996,29.559,32.051,36.000,65.65
0.350,10.542,109.995,29.614,32.122,36.000,65.89
0.360,10.538,109.994,29.669,32.195,36.000,66.15
0.370,10.535,109.994,29.726,32.269,36.000,66.41
0.380,10.531,109.993,29.784,32.345,36.000,66.68
0.390,10.528,109.992,29.843,32.423,36.000,66.96
0.400,10.524,109.992,29.902,32.501,36.000,67.25
0.410,10.520,109.991,29.963,32.582,36.000,67.54
0.420,10.516,109.990,30.024,32.663,36.000,67.84
0.430,10.512,109.989,30.086,32.745,36.000,68.15
0.440,10.508,109.989,30.148,32.829,36.000,68.47
0.450,10.504,109.988,30.210,32.913,36.000,68.79
0.460,10.499,109.987,30.273,32.998,36.000,69.12
0.470,10.495,109.986,30.336,33.083,36.000,69.45
0.480,10.490,109.985,30.399,33.169,36.000,69.79
