t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,16.759,36.800,36.800,64.52
0.020,10.500,110.000,16.759,36.800,36.800,64.52
0.030,10.500,110.000,16.759,36.800,36.800,64.52
0.040,10.500,110.000,16.759,36.800,36.800,64.52
0.050,10.500,110.000,16.759,36.800,36.800,64.52
0.060,10.500,110.000,16.759,36.800,36.800,64.52
0.070,10.500,110.000,16.759,36.800,36.800,64.52
0.080,10.500,110.000,16.759,36.800,36.800,64.52
0.090,10.500,110.000,16.759,36.800,36.800,64.52
00.100,10.588,110.004,29.400,31.828,36.800,64.52
0.110,10.588,110.004,29.402,31.830,36.800,64.53
0.120,10.587,110.004,29.406,31.835,36.800,64.55
0.130,10.587,110.004,29.413,31.843,36.800,64.58
0.140,10.587,110.004,29.422,31.856,36.800,64.62
0.150,10.586,110.003,29.434,31.871,36.800,64.67
0.160,10.585,110.003,29.449,31.890,36.800,64.73
0.170,10.584,110.003,29.466,31.912,36.800,64.81
0.180,10.583,110.003,29.486,31.937,36.800,64.89
0.190,10.582,110.003,29.508,31.966,36.800,64.99
0.200,10.580,110.002,29.532,31.997,36.800,65.10
0.210,10.579,110.002,29.559,32.032,36.800,65.22
0.220,10.577,110.002,29.588,32.069,36.800,65.34
0.230,10.575,110.001,29.619,32.109,36.800,65.48
0.240,10.574,110.001,29.652,32.153,36.800,65.63
0.250,10.572,110.001,29.687,32.198,36.800,65.79
0.260,10.569,110.000,29.725,32.247,36.800,65.96
0.270,10.567,110.000,29.764,32.298,36.800,66.14
0.280,10.565,109.999,29.805,32.352,36.800,66.33
0.290,10.562,109.999,29.848,32.408,36.800,66.53
0.300,10.559,109.998,29.892,32.466,36.800,66.74
0.310,10.556,109.998,29.938,32.527,36.800,66.95
0.320,10.554,109.997,29.985,32.589,36.800,67.18
0.330,10.550,109.997,30.034,32.654,36.800,67.42
0.340,10.547,109.996,30.084,32.720,36.800,67.66
0.350,10.544,109.995,30.136,32.789,36.800,67.91
0.360,10.540,109.995,30.188,32.859,36.800,68.18
0.370,10.537,109.994,30.242,32.931,36.800,68.45
0.380,10.533,109.993,30.296,33.004,36.800,68.72
0.390,10.529,109.993,30.351,33.078,36.800,69.01
0.400,10.525,109.992,30.407,33.154,36.800,69.30
0.410,10.521,109.991,30.463,33.231,36.800,69.61
0.420,10.517,109.990,30.520,33.310,36.800,69.92
0.430,10.513,109.990,30.578,33.389,36.800,70.23
0.440,10.509,109.989,30.636,33.469,36.800,70.56
0.450,10.504,109.988,30.694,33.549,36.800,70.89
0.460,10.500,109.987,30.752,33.631,36.800,71.23
0.470,10.495,109.986,30.810,33.713,36.800,71.57
0.480,10.490,109.985,30.868,33.795,36.800,71.92
0.490,10.485,109.985,30.926,33.878,36.800,72.28
0.500,10.480,109.984,30.984,33.961,36.800,72.64
0.510,10.475,109.983,31.041,34.044,36.800,73.01
0.520,10.470,109.982,31.098,34.127,36.800,73.38
0.530,10.465,109.981,31.155,34.210,36.800,73.76
0.540,10.459,109.980,31.210,34.292,36.800,74.15
0.550,10.454,109.979,31.266,34.375,36.800,74.54
0.560,10.448,109.978,31.320,34.457,36.800,74.93
0.570,10.443,109.977,31.373,34.539,36.800,75.33
0.580,10.437,109.976,31.426,34.620,36.800,75.74
0.590,10.431,109.975,31.477,34.700,36.800,76.15
0.600,10.425,109.974,31.528,34.780,36.800,76.56
0.610,10.419,109.973,31.577,34.858,36.800,76.98
0.620,10.413,109.971,31.625,34.936,36.800,77.40
0.630,10.407,109.970,31.671,35.013,36.800,77.82
0.640,10.401,109.969,31.717,35.089,36.800,78.25
0.650,10.395,109.968,31.761,35.163,36.800,78.68
0.660,10.388,109.967,31.803,35.237,36.800,79.12
0.670,10.382,109.966,31.844,35.309,36.800,79.56
0.680,10.375,109.965,31.883,35.380,36.800,80.00
0.690,10.369,109.964,31.920,35.449,36.800,80.44
0.700,10.362,109.963,31.956,35.517,36.800,80.89
0.710,10.356,109.961,31.990,35.583,36.800,81.34
0.720,10.349,109.960,32.022,35.648,36.800,81.79
0.730,10.342,109.959,32.053,35.711,36.800,82.24
0.740,10.336,109.958,32.081,35.772,36.800,82.70
0.750,10.329,109.957,32.108,35.832,36.800,83.15
0.760,10.322,109.955,32.132,35.889,36.800,83.61
0.770,10.315,109.954,32.155,35.945,36.800,84.07
0.780,10.308,109.953,32.176,35.999,36.800,84.54
0.790,10.301,109.952,32.194,36.052,36.800,85.00
0.800,10.294,109.951,32.211,36.102,36.800,85.47
0.810,10.287,109.949,32.225,36.150,36.800,85.93
0.820,10.280,109.948,32.237,36.196,36.800,86.40
0.830,10.273,109.947,32.247,36.240,36.800,86.87
0.840,10.266,109.946,32.255,36.283,36.800,87.34
0.850,10.258,109.945,32.261,36.323,36.800,87.81
0.860,10.251,109.943,32.265,36.361,36.800,88.28
0.870,10.244,109.942,32.266,36.396,36.800,88.75
0.880,10.237,109.941,32.266,36.430,36.800,89.23
0.890,10.229,109.940,32.263,36.461,36.800,89.70
0.900,10.222,109.939,32.258,36.491,36.800,90.17
0.910,10.215,109.937,32.250,36.518,36.800,90.65
0.920,10.208,109.936,32.241,36.543,36.800,91.12
0.930,10.200,109.935,32.229,36.566,36.800,91.60
0.940,10.193,109.934,32.215,36.586,36.800,92.07
0.950,10.185,109.933,32.198,36.604,36.800,92.55
0.960,10.178,109.931,32.180,36.620,36.800,93.02
0.970,10.171,109.930,32.159,36.634,36.800,93.50
0.980,10.163,109.929,32.136,36.646,36.800,93.98
0.990,10.156,109.928,32.111,36.655,36.800,94.45
1.000,10.148,109.926,32.083,36.662,36.800,94.93
1.010,10.141,109.925,32.054,36.667,36.800,95.41
1.020,10.133,109.924,32.022,36.670,36.800,95.89
1.030,10.126,109.923,31.988,36.670,36.800,96.36
1.040,10.118,109.922,31.951,36.668,36.800,96.84
1.050,10.111,109.920,31.913,36.664,36.800,97.32
1.060,10.103,109.919,31.872,36.657,36.800,97.80
1.070,10.096,109.918,31.829,36.649,36.800,98.27
1.080,10.088,109.917,31.783,36.638,36.800,98.75
1.090,10.081,109.916,31.735,36.624,36.800,99.23
1.100,10.073,109.915,31.686,36.609,36.800,99.71
1.110,10.066,109.913,31.633,36.591,36.800,100.19
1.120,10.058,109.912,31.579,36.571,36.800,100.67
1.130,10.051,109.911,31.522,36.548,36.800,101.15
1.140,10.043,109.910,31.463,36.524,36.800,101.63
1.150,10.036,109.909,31.402,36.497,36.800,102.11
1.160,10.028,109.907,31.339,36.467,36.800,102.59
1.170,10.020,109.906,31.273,36.436,36.800,103.08
