t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,16.216,35.400,35.400,61.15
0.020,10.500,110.000,16.216,35.400,35.400,61.15
0.030,10.500,110.000,16.216,35.400,35.400,61.15
0.040,10.500,110.000,16.216,35.400,35.400,61.15
0.050,10.500,110.000,16.216,35.400,35.400,61.15
0.060,10.500,110.000,16.216,35.400,35.400,61.15
0.070,10.500,110.000,16.216,35.400,35.400,61.15
0.080,10.500,110.000,16.216,35.400,35.400,61.15
0.090,10.500,110.000,16.216,35.400,35.400,61.15
00.100,10.580,110.003,28.413,30.608,35.400,61.15
0.110,10.580,110.003,28.414,30.610,35.400,61.16
0.120,10.580,110.002,28.419,30.615,35.400,61.17
0.130,10.580,110.002,28.426,30.625,35.400,61.20
0.140,10.579,110.002,28.436,30.637,35.400,61.24
0.150,10.579,110.002,28.449,30.653,35.400,61.29
0.160,10.578,110.002,28.465,30.673,35.400,61.35
0.170,10.577,110.002,28.484,30.696,35.400,61.43
0.180,10.576,110.002,28.505,30.723,35.400,61.51
0.190,10.575,110.001,28.529,30.753,35.400,61.60
0.200,10.574,110.001,28.555,30.786,35.400,61.70
0.210,10.572,110.001,28.584,30.822,35.400,61.82
0.220,10.571,110.001,28.616,30.861,35.400,61.94
0.230,10.569,110.000,28.650,30.904,35.400,62.07
0.240,10.567,110.000,28.686,30.949,35.400,62.22
0.250,10.565,110.000,28.724,30.997,35.400,62.37
0.260,10.563,109.999,28.765,31.049,35.400,62.53
0.270,10.561,109.999,28.808,31.102,35.400,62.71
0.280,10.559,109.998,28.853,31.159,35.400,62.89
0.290,10.557,109.998,28.899,31.218,35.400,63.08
0.300,10.554,109.997,28.948,31.279,35.400,63.28
0.310,10.551,109.997,28.998,31.343,35.400,63.49
0.320,10.549,109.996,29.050,31.409,35.400,63.70
0.330,10.546,109.996,29.104,31.478,35.400,63.93
0.340,10.543,109.995,29.159,31.548,35.400,64.16
0.350,10.540,109.995,29.215,31.620,35.400,64.41
0.360,10.537,109.994,29.273,31.695,35.400,64.66
0.370,10.533,109.993,29.332,31.771,35.400,64.92
0.380,10.530,109.993,29.393,31.848,35.400,65.18
0.390,10.527,109.992,29.454,31.928,35.400,65.46
0.400,10.523,109.991,29.516,32.008,35.400,65.74
0.410,10.519,109.991,29.579,32.091,35.400,66.02
0.420,10.515,109.990,29.643,32.174,35.400,66.32
0.430,10.512,109.989,29.707,32.258,35.400,66.62
0.440,10.508,109.989,29.772,32.344,35.400,66.93
0.450,10.503,109.988,29.838,32.430,35.400,67.24
0.460,10.499,109.987,29.903,32.517,35.400,67.56
0.470,10.495,109.986,29.970,32.605,35.400,67.89
0.480,10.491,109.985,30.036,32.694,35.400,68.22
0.490,10.486,109.985,30.102,32.783,35.400,68.56
0.500,10.482,109.984,30.168,32.872,35.400,68.90
0.510,10.477,109.983,30.234,32.962,35.400,69.25
0.520,10.472,109.982,30.300,33.052,35.400,69.61
0.530,10.467,109.981,30.366,33.142,35.400,69.96
0.540,10.463,109.980,30.431,33.232,35.400,70.33
0.550,10.458,109.979,30.496,33.322,35.400,70.69
0.560,10.453,109.978,30.560,33.411,35.400,71.06
0.570,10.447,109.977,30.624,33.501,35.400,71.44
0.580,10.442,109.976,30.687,33.590,35.400,71.82
0.590,10.437,109.975,30.749,33.678,35.400,72.20
0.600,10.432,109.974,30.810,33.766,35.400,72.59
0.610,10.426,109.974,30.871,33.854,35.400,72.98
0.620,10.421,109.973,30.930,33.940,35.400,73.37
0.630,10.415,109.972,30.988,34.026,35.400,73.76
0.640,10.410,109.971,31.046,34.111,35.400,74.16
0.650,10.404,109.970,31.102,34.195,35.400,74.56
0.660,10.399,109.968,31.157,34.278,35.400,74.96
0.670,10.393,109.967,31.210,34.360,35.400,75.37
0.680,10.387,109.966,31.263,34.441,35.400,75.77
0.690,10.381,109.965,31.314,34.521,35.400,76.18
0.700,10.375,109.964,31.363,34.599,35.400,76.59
0.710,10.370,109.963,31.411,34.676,35.400,77.00
0.720,10.364,109.962,31.458,34.752,35.400,77.42
0.730,10.358,109.961,31.503,34.826,35.400,77.83
0.740,10.352,109.960,31.547,34.899,35.400,78.24
0.750,10.346,109.959,31.589,34.971,35.400,78.66
0.760,10.340,109.958,31.629,35.041,35.400,79.07
0.770,10.334,109.957,31.668,35.109,35.400,79.49
0.780,10.328,109.956,31.705,35.176,35.400,79.91
0.790,10.321,109.955,31.741,35.241,35.400,80.32
0.800,10.315,109.954,31.774,35.305,35.400,80.74
0.810,10.309,109.953,31.806,35.367,35.400,81.16
0.820,10.303,109.952,31.837,35.427,35.400,81.57
0.830,10.297,109.951,31.865,35.485,35.400,81.99
0.840,10.291,109.949,31.892,35.542,35.400,82.41
0.850,10.285,109.948,31.918,35.597,35.400,82.82
0.860,10.278,109.947,31.941,35.650,35.400,83.24
0.870,10.272,109.946,31.963,35.702,35.400,83.65
0.880,10.266,109.945,31.983,35.752,35.400,84.06
0.890,10.260,109.944,32.002,35.800,35.400,84.47
0.900,10.254,109.943,32.018,35.846,35.400,84.88
0.910,10.247,109.942,32.033,35.891,35.400,85.29
0.920,10.241,109.941,32.047,35.934,35.400,85.70
0.930,10.235,109.940,32.058,35.975,35.400,86.11
0.940,10.229,109.939,32.068,36.014,35.400,86.51
0.950,10.223,109.938,32.077,36.051,35.400,86.92
0.960,10.217,109.937,32.083,36.087,35.400,87.32
0.970,10.211,109.936,32.089,36.121,35.400,87.72
0.980,10.205,109.935,32.092,36.154,35.400,88.12
0.990,10.198,109.934,32.094,36.185,35.400,88.52
1.000,10.192,109.933,32.095,36.214,35.400,88.91
1.010,10.186,109.932,32.093,36.241,35.400,89.30
1.020,10.180,109.931,32.091,36.267,35.400,89.69
1.030,10.174,109.930,32.087,36.291,35.400,90.08
1.040,10.168,109.929,32.081,36.313,35.400,90.47
1.050,10.163,109.928,32.075,36.334,35.400,90.85
1.060,10.157,109.927,32.066,36.354,35.400,91.24
1.070,10.151,109.926,32.057,36.372,35.400,91.62
1.080,10.145,109.925,32.046,36.388,35.400,92.00
1.090,10.139,109.924,32.033,36.403,35.400,92.37
1.100,10.133,109.923,32.020,36.416,35.400,92.74
1.110,10.127,109.922,32.005,36.428,35.400,93.12
1.120,10.122,109.921,31.989,36.439,35.400,93.49
1.130,10.116,109.920,31.971,36.448,35.400,93.85
1.140,10.110,109.919,31.953,36.456,35.400,94.22
1.150,10.105,109.918,31.933,36.462,35.400,94.58
1.160,10.099,109.918,31.912,36.467,35.400,94.94
1.170,10.093,109.917,31.890,36.471,35.400,95.29
1.180,10.088,109.916,31.867,36.473,35.400,95.65
1.190,10.082,109.915,31.843,36.475,35.400,96.00
1.200,10.077,109.914,31.818,36.475,35.400,96.35
1.210,10.072,109.913,31.792,36.474,35.400,96.70
1.220,10.066,109.912,31.765,36.471,35.400,97.04
1.230,10.061,109.911,31.737,36.468,35.400,97.39
1.240,10.055,109.911,31.708,36.463,35.400,97.73
1.250,10.050,109.910,31.678,36.458,35.400,98.06
1.260,10.045,109.909,31.647,36.451,35.400,98.40
1.270,10.040,109.908,31.616,36.443,35.400,98.73
1.280,10.034,109.907,31.583,36.434,35.400,99.06
1.290,10.029,109.906,31.550,36.424,35.400,99.39
