t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,5.854,12.400,12.400,62.74
0.020,6.300,110.000,5.854,12.400,12.400,62.74
0.030,6.300,110.000,5.854,12.400,12.400,62.74
0.040,6.300,110.000,5.854,12.400,12.400,62.74
0.050,6.300,110.000,5.854,12.400,12.400,62.74
0.060,6.300,110.000,5.854,12.400,12.400,62.74
0.070,6.300,110.000,5.854,12.400,12.400,62.74
0.080,6.300,110.000,5.854,12.400,12.400,62.74
0.090,6.300,110.000,5.854,12.400,12.400,62.74
0.100,6.328,109.994,10.904,11.490,12.400,62.74
0.110,6.328,109.994,10.904,11.490,12.400,62.74
0.120,6.328,109.994,10.905,11.491,12.400,62.74
0.130,6.328,109.994,10.906,11.492,12.400,62.75
0.140,6.328,109.994,10.907,11.494,12.400,62.77
0.150,6.327,109.994,10.909,11.496,12.400,62.79
0.160,6.327,109.994,10.911,11.498,12.400,62.81
0.170,6.327,109.994,10.913,11.501,12.400,62.84
0.180,6.327,109.994,10.916,11.504,12.400,62.87
0.190,6.327,109.994,10.920,11.508,12.400,62.90
0.200,6.326,109.994,10.923,11.513,12.400,62.94
0.210,6.326,109.994,10.927,11.517,12.400,62.98
0.220,6.326,109.994,10.932,11.522,12.400,63.03
0.230,6.325,109.994,10.936,11.528,12.400,63.08
0.240,6.325,109.994,10.941,11.534,12.400,63.13
0.250,6.325,109.994,10.947,11.540,12.400,63.19
0.260,6.324,109.994,10.953,11.547,12.400,63.25
0.270,6.324,109.994,10.959,11.554,12.400,63.32
0.280,6.323,109.993,10.965,11.562,12.400,63.39
0.290,6.323,109.993,10.972,11.570,12.400,63.46
0.300,6.322,109.993,10.979,11.578,12.400,63.54
0.310,6.322,109.993,10.986,11.587,12.400,63.62
0.320,6.321,109.993,10.994,11.596,12.400,63.70
0.330,6.321,109.993,11.002,11.605,12.400,63.79
0.340,6.320,109.993,11.010,11.615,12.400,63.88
0.350,6.319,109.993,11.018,11.625,12.400,63.97
0.360,6.319,109.993,11.027,11.635,12.400,64.07
0.370,6.318,109.993,11.036,11.646,12.400,64.17
0.380,6.317,109.993,11.046,11.657,12.400,64.27
0.390,6.317,109.993,11.055,11.668,12.400,64.38
0.400,6.316,109.992,11.065,11.680,12.400,64.49
0.410,6.315,109.992,11.075,11.692,12.400,64.60
0.420,6.314,109.992,11.085,11.704,12.400,64.72
0.430,6.313,109.992,11.096,11.717,12.400,64.84
0.440,6.313,109.992,11.106,11.729,12.400,64.96
0.450,6.312,109.992,11.117,11.742,12.400,65.09
0.460,6.311,109.992,11.128,11.755,12.400,65.21
0.470,6.310,109.992,11.139,11.769,12.400,65.34
0.480,6.309,109.992,11.151,11.782,12.400,65.48
0.490,6.308,109.991,11.162,11.796,12.400,65.61
0.500,6.307,109.991,11.174,11.810,12.400,65.75
0.510,6.306,109.991,11.186,11.825,12.400,65.89
0.520,6.305,109.991,11.198,11.839,12.400,66.03
