t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,5.683,12.000,12.000,59.88
0.020,6.300,110.000,5.683,12.000,12.000,59.88
0.030,6.300,110.000,5.683,12.000,12.000,59.88
0.040,6.300,110.000,5.683,12.000,12.000,59.88
0.050,6.300,110.000,5.683,12.000,12.000,59.88
0.060,6.300,110.000,5.683,12.000,12.000,59.88
0.070,6.300,110.000,5.683,12.000,12.000,59.88
0.080,6.300,110.000,5.683,12.000,12.000,59.88
0.090,6.300,110.000,5.683,12.000,12.000,59.88
0.100,6.300,110.000,5.683,12.000,12.000,59.88
0.100,6.326,109.994,10.578,11.116,12.000,59.88
0.110,6.326,109.994,10.579,11.116,12.000,59.88
0.120,6.326,109.994,10.579,11.116,12.000,59.89
0.130,6.326,109.994,10.580,11.118,12.000,59.90
0.140,6.326,109.994,10.582,11.119,12.000,59.91
0.150,6.326,109.994,10.584,11.122,12.000,59.93
0.160,6.325,109.994,10.586,11.124,12.000,59.95
0.170,6.325,109.994,10.589,11.127,12.000,59.98
0.180,6.325,109.994,10.592,11.131,12.000,60.01
0.190,6.325,109.994,10.595,11.135,12.000,60.04
0.200,6.325,109.994,10.599,11.139,12.000,60.08
0.210,6.324,109.994,10.603,11.144,12.000,60.12
0.220,6.324,109.994,10.608,11.150,12.000,60.16
0.230,6.324,109.994,10.613,11.155,12.000,60.21
0.240,6.323,109.994,10.618,11.162,12.000,60.26
0.250,6.323,109.993,10.624,11.168,12.000,60.32
0.260,6.323,109.993,10.630,11.175,12.000,60.38
0.270,6.322,109.993,10.637,11.183,12.000,60.44
0.280,6.322,109.993,10.644,11.191,12.000,60.51
0.290,6.321,109.993,10.651,11.199,12.000,60.58
0.300,6.321,109.993,10.658,11.208,12.000,60.66
0.310,6.320,109.993,10.666,11.217,12.000,60.73
0.320,6.320,109.993,10.674,11.226,12.000,60.81
0.330,6.319,109.993,10.683,11.236,12.000,60.90
0.340,6.319,109.993,10.691,11.246,12.000,60.99
0.350,6.318,109.993,10.700,11.257,12.000,61.08
0.360,6.317,109.993,10.710,11.268,12.000,61.17
0.370,6.317,109.993,10.719,11.279,12.000,61.27
0.380,6.316,109.993,10.729,11.291,12.000,61.37
0.390,6.315,109.992,10.740,11.302,12.000,61.47
0.400,6.315,109.992,10.750,11.315,12.000,61.58
0.410,6.314,109.992,10.761,11.327,12.000,61.69
0.420,6.313,109.992,10.772,11.340,12.000,61.80
0.430,6.312,109.992,10.783,11.353,12.000,61.91
0.440,6.312,109.992,10.794,11.366,12.000,62.03
0.450,6.311,109.992,10.806,11.380,12.000,62.15
0.460,6.310,109.992,10.818,11.394,12.000,62.27
0.470,6.309,109.992,10.830,11.408,12.000,62.40
0.480,6.308,109.992,10.842,11.422,12.000,62.53
0.490,6.307,109.991,10.854,11.436,12.000,62.66
0.500,6.306,109.991,10.867,11.451,12.000,62.79
0.510,6.306,109.991,10.880,11.466,12.000,62.93
0.520,6.305,109.991,10.892,11.481,12.000,63.06
0.530,6.304,109.991,10.905,11.496,12.000,63.20
0.540,6.303,109.991,10.919,11.512,12.000,63.34
0.550,6.302,109.991,10.932,11.528,12.000,63.49
0.560,6.301,109.991,10.945,11.543,12.000,63.63
0.570,6.300,109.990,10.959,11.559,12.000,63.78
0.580,6.299,109.990,10.972,11.575,12.000,63.93
0.590,6.298,109.990,10.986,11.591,12.000,64.08
0.600,6.297,109.990,10.999,11.608,12.000,64.24
0.610,6.295,109.990,11.013,11.624,12.000,64.39
0.620,6.294,109.990,11.027,11.640,12.000,64.55
0.630,6.293,109.990,11.041,11.657,12.000,64.70
0.640,6.292,109.989,11.055,11.674,12.000,64.86
0.650,6.291,109.989,11.069,11.690,12.000,65.02
0.660,6.290,109.989,11.083,11.707,12.000,65.19
0.670,6.289,109.989,11.097,11.724,12.000,65.35
0.680,6.288,109.989,11.111,11.740,12.000,65.51
0.690,6.287,109.989,11.125,11.757,12.000,65.68
0.700,6.285,109.989,11.139,11.774,12.000,65.84
0.710,6.284,109.988,11.153,11.791,12.000,66.01
0.720,6.283,109.988,11.167,11.807,12.000,66.18
0.730,6.282,109.988,11.181,11.824,12.000,66.35
0.740,6.281,109.988,11.194,11.841,12.000,66.52
0.750,6.279,109.988,11.208,11.858,12.000,66.69
0.760,6.278,109.988,11.222,11.874,12.000,66.86
0.770,6.277,109.987,11.236,11.891,12.000,67.03
0.780,6.276,109.987,11.249,11.907,12.000,67.20
0.790,6.275,109.987,11.263,11.924,12.000,67.37
0.800,6.273,109.987,11.276,11.940,12.000,67.54
0.810,6.272,109.987,11.290,11.957,12.000,67.71
0.820,6.271,109.987,11.303,11.973,12.000,67.89
0.830,6.270,109.987,11.316,11.989,12.000,68.06
0.840,6.268,109.986,11.329,12.005,12.000,68.23
0.850,6.267,109.986,11.342,12.021,12.000,68.40
0.860,6.266,109.986,11.355,12.037,12.000,68.57
0.870,6.265,109.986,11.368,12.052,12.000,68.74
0.880,6.263,109.986,11.380,12.068,12.000,68.92
0.890,6.262,109.986,11.393,12.083,12.000,69.09
0.900,6.261,109.985,11.405,12.099,12.000,69.26
0.910,6.260,109.985,11.417,12.114,12.000,69.43
0.920,6.258,109.985,11.430,12.129,12.000,69.60
0.930,6.257,109.985,11.441,12.144,12.000,69.77
0.940,6.256,109.985,11.453,12.158,12.000,69.93
0.950,6.255,109.985,11.465,12.173,12.000,70.10
0.960,6.254,109.984,11.476,12.187,12.000,70.27
0.970,6.252,109.984,11.488,12.201,12.000,70.43
0.980,6.251,109.984,11.499,12.215,12.000,70.60
0.990,6.250,109.984,11.510,12.229,12.000,70.76
1.000,6.249,109.984,11.521,12.243,12.000,70.92
1.010,6.248,109.984,11.531,12.256,12.000,71.08
1.020,6.246,109.984,11.542,12.270,12.000,71.24
1.030,6.245,109.983,11.552,12.283,12.000,71.40
1.040,6.244,109.983,11.562,12.296,12.000,71.56
1.050,6.243,109.983,11.572,12.308,12.000,71.72
1.060,6.242,109.983,11.582,12.321,12.000,71.87
1.070,6.241,109.983,11.592,12.333,12.000,72.03
1.080,6.239,109.983,11.601,12.345,12.000,72.18
1.090,6.238,109.983,11.610,12.357,12.000,72.33
1.100,6.237,109.982,11.619,12.369,12.000,72.48
1.110,6.236,109.982,11.628,12.380,12.000,72.62
1.120,6.235,109.982,11.637,12.392,12.000,72.77
1.130,6.234,109.982,11.646,12.403,12.000,72.91
1.140,6.233,109.982,11.654,12.414,12.000,73.05
1.150,6.232,109.982,11.662,12.424,12.000,73.19
1.160,6.231,109.982,11.670,12.435,12.000,73.33
1.170,6.230,109.981,11.678,12.445,12.000,73.47
1.180,6.229,109.981,11.686,12.455,12.000,73.60
1.190,6.228,109.981,11.693,12.465,12.000,73.73
1.200,6.227,109.981,11.700,12.474,12.000,73.86
1.210,6.226,109.981,11.708,12.484,12.000,73.99
1.220,6.225,109.981,11.714,12.493,12.000,74.12
1.230,6.224,109.981,11.721,12.502,12.000,74.24
1.240,6.223,109.981,11.728,12.511,12.000,74.36
1.250,6.222,109.980,11.734,12.519,12.000,74.48
1.260,6.221,109.980,11.740,12.527,12.000,74.60
1.270,6.220,109.980,11.747,12.536,12.000,74.71
1.280,6.219,109.980,11.752,12.543,12.000,74.82
1.290,6.219,109.980,11.758,12.551,12.000,74.93
1.300,6.218,109.980,11.764,12.559,12.000,75.04
1.310,6.217,109.980,11.769,12.566,12.000,75.15
1.320,6.216,109.980,11.774,12.573,12.000,75.25
1.330,6.215,109.980,11.779,12.580,12.000,75.35
1.340,6.215,109.980,11.784,12.586,12.000,75.44
1.350,6.214,109.979,11.789,12.593,12.000,75.54
1.360,6.213,109.979,11.794,12.599,12.000,75.63
1.370,6.213,109.979,11.798,12.605,12.000,75.72
1.380,6.212,109.979,11.802,12.611,12.000,75.81
1.390,6.211,109.979,11.806,12.616,12.000,75.89
1.400,6.211,109.979,11.810,12.622,12.000,75.97
1.410,6.210,109.979,11.814,12.627,12.000,76.05
1.420,6.209,109.979,11.818,12.632,12.000,76.13
1.430,6.209,109.979,11.821,12.637,12.000,76.20
1.440,6.208,109.979,11.824,12.641,12.000,76.27
1.450,6.208,109.979,11.828,12.646,12.000,76.34
1.460,6.207,109.979,11.831,12.650,12.000,76.40
1.470,6.207,109.979,11.834,12.654,12.000,76.46
1.480,6.206,109.979,11.836,12.658,12.000,76.52
1.490,6.206,109.978,11.839,12.661,12.000,76.58
1.500,6.206,109.978,11.841,12.665,12.000,76.63
1.510,6.205,109.978,11.844,12.668,12.000,76.68
1.520,6.205,109.978,11.846,12.671,12.000,76.73
1.530,6.204,109.978,11.848,12.674,12.000,76.77
1.540,6.204,109.978,11.850,12.676,12.000,76.81
1.550,6.204,109.978,11.851,12.679,12.000,76.85
1.560,6.204,109.978,11.853,12.681,12.000,76.89
1.570,6.203,109.978,11.854,12.683,12.000,76.92
1.580,6.203,109.978,11.856,12.685,12.000,76.95
1.590,6.203,109.978,11.857,12.686,12.000,76.98
1.600,6.203,109.978,11.858,12.688,12.000,77.00
1.610,6.203,109.978,11.859,12.689,12.000,77.02
1.620,6.202,109.978,11.860,12.690,12.000,77.04
1.630,6.202,109.978,11.860,12.691,12.000,77.05
1.640,6.202,109.978,11.861,12.692,12.000,77.06
1.650,6.202,109.978,11.861,12.692,12.000,77.07
1.660,6.202,109.978,11.861,12.693,12.000,77.08
1.670,6.202,109.978,11.862,12.693,12.000,77.08
1.680,6.202,109.978,11.862,12.693,12.000,77.08
1.690,6.202,109.978,11.861,12.693,12.000,77.07
1.700,6.202,109.978,11.861,12.692,12.000,77.07
1.710,6.202,109.978,11.861,12.692,12.000,77.06
1.720,6.202,109.978,11.860,12.691,12.000,77.05
1.730,6.202,109.978,11.859,12.690,12.000,77.03
1.740,6.203,109.978,11.859,12.689,12.000,77.01
1.750,6.203,109.978,11.858,12.687,12.000,76.99
1.760,6.203,109.978,11.857,12.686,12.000,76.97
1.770,6.203,109.978,11.855,12.684,12.000,76.94
