t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,9.698,21.000,21.000,61.48
0.020,10.500,110.000,9.698,21.000,21.000,61.48
0.030,10.500,110.000,9.698,21.000,21.000,61.48
0.040,10.500,110.000,9.698,21.000,21.000,61.48
0.050,10.500,110.000,9.698,21.000,21.000,61.48
0.060,10.500,110.000,9.698,21.000,21.000,61.48
0.070,10.500,110.000,9.698,21.000,21.000,61.48
0.080,10.500,110.000,9.698,21.000,21.000,61.48
0.090,10.500,110.000,9.698,21.000,21.000,61.48
0.100,10.500,110.000,9.698,21.000,21.000,61.48
0.110,10.500,110.000,9.698,21.000,21.000,61.48
0.120,10.500,110.000,9.698,21.000,21.000,61.48
0.130,10.500,110.000,9.698,21.000,21.000,61.48
0.140,10.500,110.000,9.698,21.000,21.000,61.48
0.150,10.500,110.000,9.698,21.000,21.000,61.48
0.160,10.500,110.000,9.698,21.000,21.000,61.48
0.170,10.500,110.000,9.698,21.000,21.000,61.48
0.180,10.500,110.000,9.698,21.000,21.000,61.48
0.190,10.500,110.000,9.698,21.000,21.000,61.48
0.200,10.500,110.000,9.698,21.000,21.000,61.48
0.200,10.554,109.999,16.790,17.948,21.000,61.48
0.210,10.554,109.999,16.791,17.948,21.000,61.48
0.220,10.554,109.999,16.792,17.950,21.000,61.49
0.230,10.553,109.999,16.795,17.954,21.000,61.51
0.240,10.553,109.999,16.799,17.958,21.000,61.53
0.250,10.553,109.999,16.804,17.964,21.000,61.57
0.260,10.553,109.999,16.810,17.972,21.000,61.60
0.270,10.552,109.999,16.817,17.980,21.000,61.65
0.280,10.552,109.999,16.825,17.990,21.000,61.70
0.290,10.552,109.999,16.834,18.001,21.000,61.76
0.300,10.551,109.999,16.844,18.014,21.000,61.83
0.310,10.550,109.999,16.855,18.027,21.000,61.90
0.320,10.550,109.998,16.867,18.042,21.000,61.98
0.330,10.549,109.998,16.880,18.058,21.000,62.07
0.340,10.549,109.998,16.894,18.075,21.000,62.16
0.350,10.548,109.998,16.909,18.093,21.000,62.26
0.360,10.547,109.998,16.925,18.112,21.000,62.36
0.370,10.546,109.998,16.942,18.133,21.000,62.47
0.380,10.545,109.998,16.959,18.154,21.000,62.59
0.390,10.544,109.997,16.977,18.177,21.000,62.72
0.400,10.543,109.997,16.997,18.200,21.000,62.85
0.410,10.542,109.997,17.017,18.225,21.000,62.98
0.420,10.541,109.997,17.037,18.251,21.000,63.12
0.430,10.540,109.997,17.059,18.277,21.000,63.27
0.440,10.539,109.996,17.081,18.305,21.000,63.43
0.450,10.538,109.996,17.104,18.333,21.000,63.59
