t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,10.796,22.600,22.600,46.55
0.020,10.500,110.000,10.796,22.600,22.600,46.55
0.030,10.500,110.000,10.796,22.600,22.600,46.55
0.040,10.500,110.000,10.796,22.600,22.600,46.55
0.050,10.500,110.000,10.796,22.600,22.600,46.55
0.060,10.500,110.000,10.796,22.600,22.600,46.55
0.070,10.500,110.000,10.796,22.600,22.600,46.55
0.080,10.500,110.000,10.796,22.600,22.600,46.55
0.090,10.500,110.000,10.796,22.600,22.600,46.55
0.100,10.500,110.000,10.796,22.600,22.600,46.55
0.110,10.500,110.000,10.796,22.600,22.600,46.55
0.120,10.500,110.000,10.796,22.600,22.600,46.55
0.130,10.500,110.000,10.796,22.600,22.600,46.55
0.140,10.500,110.000,10.796,22.600,22.600,46.55
0.150,10.500,110.000,10.796,22.600,22.600,46.55
0.160,10.500,110.000,10.796,22.600,22.600,46.55
0.170,10.500,110.000,10.796,22.600,22.600,46.55
0.180,10.500,110.000,10.796,22.600,22.600,46.55
0.190,10.500,110.000,10.796,22.600,22.600,46.55
0.200,10.558,109.998,17.753,18.414,22.600,46.55
0.210,10.558,109.998,17.754,18.416,22.600,46.55
0.220,10.558,109.998,17.759,18.421,22.600,46.57
0.230,10.558,109.998,17.766,18.428,22.600,46.59
0.240,10.557,109.998,17.776,18.439,22.600,46.63
0.250,10.557,109.998,17.789,18.453,22.600,46.67
0.260,10.557,109.998,17.804,18.470,22.600,46.72
0.270,10.556,109.998,17.822,18.490,22.600,46.79
0.280,10.556,109.998,17.843,18.512,22.600,46.86
0.290,10.555,109.998,17.866,18.538,22.600,46.94
0.300,10.554,109.998,17.892,18.566,22.600,47.03
0.310,10.554,109.997,17.921,18.598,22.600,47.13
0.320,10.553,109.997,17.952,18.632,22.600,47.24
0.330,10.552,109.997,17.985,18.668,22.600,47.35
0.340,10.551,109.997,18.021,18.707,22.600,47.48
0.350,10.550,109.997,18.060,18.749,22.600,47.61
0.360,10.549,109.996,18.100,18.793,22.600,47.75
0.370,10.548,109.996,18.143,18.840,22.600,47.91
0.380,10.547,109.996,18.188,18.889,22.600,48.06
0.390,10.545,109.996,18.235,18.941,22.600,48.23
0.400,10.544,109.995,18.284,18.995,22.600,48.41
0.410,10.543,109.995,18.335,19.051,22.600,48.59
0.420,10.541,109.995,18.388,19.109,22.600,48.78
0.430,10.540,109.995,18.443,19.169,22.600,48.98
0.440,10.538,109.994,18.500,19.232,22.600,49.18
0.450,10.537,109.994,18.558,19.296,22.600,49.39
0.460,10.535,109.994,18.619,19.362,22.600,49.61
0.470,10.533,109.993,18.680,19.430,22.600,49.84
0.480,10.531,109.993,18.744,19.500,22.600,50.07
0.490,10.529,109.992,18.809,19.572,22.600,50.31
0.500,10.527,109.992,18.875,19.645,22.600,50.55
0.510,10.525,109.992,18.942,19.719,22.600,50.81
0.520,10.523,109.991,19.011,19.795,22.600,51.06
0.530,10.521,109.991,19.081,19.873,22.600,51.33
0.540,10.519,109.990,19.152,19.951,22.600,51.60
0.550,10.517,109.990,19.224,20.031,22.600,51.87
0.560,10.515,109.989,19.297,20.112,22.600,52.15
0.570,10.512,109.989,19.371,20.195,22.600,52.44
0.580,10.510,109.989,19.446,20.278,22.600,52.73
0.590,10.507,109.988,19.522,20.362,22.600,53.02
0.600,10.505,109.988,19.598,20.446,22.600,53.32
0.610,10.502,109.987,19.675,20.532,22.600,53.63
0.620,10.500,109.987,19.752,20.618,22.600,53.93
0.630,10.497,109.986,19.830,20.705,22.600,54.25
0.640,10.495,109.986,19.908,20.793,22.600,54.56
0.650,10.492,109.985,19.986,20.880,22.600,54.88
0.660,10.489,109.984,20.065,20.969,22.600,55.20
0.670,10.486,109.984,20.144,21.057,22.600,55.53
0.680,10.483,109.983,20.222,21.146,22.600,55.86
0.690,10.480,109.983,20.301,21.235,22.600,56.19
0.700,10.478,109.982,20.380,21.324,22.600,56.53
0.710,10.475,109.982,20.459,21.413,22.600,56.86
0.720,10.472,109.981,20.538,21.501,22.600,57.20
0.730,10.469,109.981,20.616,21.590,22.600,57.54
0.740,10.465,109.980,20.694,21.679,22.600,57.89
0.750,10.462,109.979,20.772,21.767,22.600,58.23
0.760,10.459,109.979,20.849,21.855,22.600,58.58
0.770,10.456,109.978,20.926,21.943,22.600,58.93
0.780,10.453,109.978,21.003,22.030,22.600,59.28
0.790,10.450,109.977,21.079,22.117,22.600,59.63
0.800,10.446,109.976,21.154,22.203,22.600,59.98
0.810,10.443,109.976,21.228,22.289,22.600,60.33
0.820,10.440,109.975,21.302,22.374,22.600,60.68
0.830,10.437,109.975,21.375,22.458,22.600,61.03
0.840,10.433,109.974,21.448,22.541,22.600,61.38
0.850,10.430,109.973,21.519,22.624,22.600,61.73
0.860,10.427,109.973,21.590,22.706,22.600,62.08
0.870,10.423,109.972,21.660,22.787,22.600,62.43
0.880,10.420,109.971,21.729,22.867,22.600,62.78
0.890,10.417,109.971,21.797,22.946,22.600,63.13
0.900,10.413,109.970,21.864,23.025,22.600,63.48
0.910,10.410,109.970,21.930,23.102,22.600,63.83
0.920,10.407,109.969,21.995,23.178,22.600,64.17
0.930,10.403,109.968,22.059,23.253,22.600,64.52
0.940,10.400,109.968,22.121,23.327,22.600,64.86
0.950,10.397,109.967,22.183,23.400,22.600,65.20
0.960,10.393,109.967,22.244,23.471,22.600,65.54
0.970,10.390,109.966,22.303,23.542,22.600,65.87
0.980,10.387,109.965,22.362,23.611,22.600,66.21
0.990,10.383,109.965,22.419,23.679,22.600,66.54
1.000,10.380,109.964,22.475,23.746,22.600,66.87
