t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,12.126,25.600,25.600,54.20
0.020,10.500,110.000,12.126,25.600,25.600,54.20
0.030,10.500,110.000,12.126,25.600,25.600,54.20
0.040,10.500,110.000,12.126,25.600,25.600,54.20
0.050,10.500,110.000,12.126,25.600,25.600,54.20
0.060,10.500,110.000,12.126,25.600,25.600,54.20
0.070,10.500,110.000,12.126,25.600,25.600,54.20
0.080,10.500,110.000,12.126,25.600,25.600,54.20
0.090,10.500,110.000,12.126,25.600,25.600,54.20
0.100,10.500,110.000,12.126,25.600,25.600,54.20
0.110,10.500,110.000,12.126,25.600,25.600,54.20
0.120,10.500,110.000,12.126,25.600,25.600,54.20
0.130,10.500,110.000,12.126,25.600,25.600,54.20
0.140,10.500,110.000,12.126,25.600,25.600,54.20
0.150,10.500,110.000,12.126,25.600,25.600,54.20
0.160,10.500,110.000,12.126,25.600,25.600,54.20
0.170,10.500,110.000,12.126,25.600,25.600,54.20
0.180,10.500,110.000,12.126,25.600,25.600,54.20
0.190,10.500,110.000,12.126,25.600,25.600,54.20
0.200,10.500,110.000,12.126,25.600,25.600,54.20
0.200,10.574,110.001,19.995,20.879,25.600,54.20
0.210,10.574,110.001,19.997,20.880,25.600,54.21
0.220,10.574,110.001,20.001,20.885,25.600,54.22
0.230,10.573,110.001,20.008,20.893,25.600,54.25
0.240,10.573,110.001,20.017,20.904,25.600,54.29
0.250,10.573,110.001,20.030,20.917,25.600,54.34
0.260,10.572,110.000,20.045,20.934,25.600,54.40
0.270,10.572,110.000,20.062,20.954,25.600,54.47
0.280,10.571,110.000,20.083,20.976,25.600,54.55
0.290,10.570,110.000,20.105,21.002,25.600,54.64
0.300,10.569,110.000,20.131,21.030,25.600,54.75
0.310,10.568,110.000,20.158,21.061,25.600,54.86
0.320,10.567,110.000,20.188,21.095,25.600,54.98
0.330,10.566,109.999,20.221,21.131,25.600,55.11
0.340,10.565,109.999,20.255,21.170,25.600,55.25
0.350,10.564,109.999,20.292,21.212,25.600,55.41
0.360,10.562,109.999,20.331,21.255,25.600,55.57
0.370,10.561,109.998,20.373,21.302,25.600,55.74
0.380,10.559,109.998,20.416,21.351,25.600,55.92
0.390,10.557,109.998,20.461,21.402,25.600,56.11
0.400,10.556,109.997,20.509,21.455,25.600,56.31
0.410,10.554,109.997,20.558,21.510,25.600,56.51
0.420,10.552,109.997,20.609,21.568,25.600,56.73
0.430,10.550,109.996,20.661,21.627,25.600,56.95
0.440,10.548,109.996,20.716,21.689,25.600,57.19
0.450,10.546,109.995,20.772,21.752,25.600,57.43
0.460,10.544,109.995,20.829,21.817,25.600,57.68
0.470,10.541,109.995,20.888,21.884,25.600,57.93
0.480,10.539,109.994,20.948,21.953,25.600,58.20
0.490,10.536,109.994,21.010,22.023,25.600,58.47
0.500,10.534,109.993,21.073,22.094,25.600,58.75
0.510,10.531,109.993,21.137,22.167,25.600,59.04
0.520,10.529,109.992,21.202,22.241,25.600,59.34
0.530,10.526,109.992,21.268,22.317,25.600,59.64
0.540,10.523,109.991,21.335,22.394,25.600,59.95
0.550,10.520,109.990,21.402,22.471,25.600,60.27
0.560,10.517,109.990,21.471,22.550,25.600,60.59
0.570,10.514,109.989,21.540,22.630,25.600,60.92
0.580,10.511,109.989,21.610,22.710,25.600,61.25
0.590,10.508,109.988,21.680,22.791,25.600,61.59
0.600,10.504,109.988,21.751,22.873,25.600,61.94
0.610,10.501,109.987,21.822,22.956,25.600,62.29
0.620,10.498,109.986,21.894,23.039,25.600,62.65
0.630,10.494,109.986,21.965,23.122,25.600,63.01
0.640,10.490,109.985,22.037,23.206,25.600,63.38
0.650,10.487,109.984,22.109,23.290,25.600,63.76
0.660,10.483,109.984,22.180,23.374,25.600,64.13
0.670,10.479,109.983,22.252,23.458,25.600,64.52
0.680,10.476,109.982,22.324,23.542,25.600,64.90
0.690,10.472,109.982,22.395,23.626,25.600,65.29
0.700,10.468,109.981,22.466,23.710,25.600,65.69
0.710,10.464,109.980,22.536,23.794,25.600,66.09
0.720,10.460,109.979,22.607,23.878,25.600,66.49
0.730,10.456,109.979,22.676,23.961,25.600,66.90
0.740,10.452,109.978,22.745,24.044,25.600,67.31
0.750,10.448,109.977,22.814,24.126,25.600,67.72
0.760,10.443,109.976,22.882,24.208,25.600,68.13
0.770,10.439,109.976,22.949,24.289,25.600,68.55
0.780,10.435,109.975,23.015,24.370,25.600,68.97
0.790,10.430,109.974,23.081,24.450,25.600,69.39
0.800,10.426,109.973,23.145,24.529,25.600,69.82
0.810,10.422,109.972,23.209,24.607,25.600,70.24
0.820,10.417,109.972,23.272,24.684,25.600,70.67
0.830,10.413,109.971,23.333,24.761,25.600,71.10
0.840,10.408,109.970,23.394,24.836,25.600,71.53
0.850,10.404,109.969,23.453,24.911,25.600,71.97
0.860,10.399,109.968,23.512,24.984,25.600,72.40
0.870,10.394,109.968,23.569,25.057,25.600,72.84
0.880,10.390,109.967,23.625,25.128,25.600,73.27
0.890,10.385,109.966,23.680,25.198,25.600,73.71
0.900,10.380,109.965,23.733,25.266,25.600,74.15
0.910,10.376,109.964,23.785,25.334,25.600,74.59
0.920,10.371,109.963,23.836,25.400,25.600,75.02
0.930,10.366,109.963,23.886,25.465,25.600,75.46
0.940,10.361,109.962,23.934,25.529,25.600,75.90
0.950,10.357,109.961,23.981,25.591,25.600,76.34
0.960,10.352,109.960,24.026,25.652,25.600,76.78
0.970,10.347,109.959,24.070,25.712,25.600,77.21
0.980,10.342,109.958,24.113,25.770,25.600,77.65
0.990,10.337,109.958,24.154,25.827,25.600,78.09
1.000,10.332,109.957,24.194,25.882,25.600,78.52
1.010,10.328,109.956,24.232,25.936,25.600,78.96
1.020,10.323,109.955,24.269,25.988,25.600,79.39
1.030,10.318,109.954,24.305,26.039,25.600,79.83
1.040,10.313,109.954,24.339,26.089,25.600,80.26
1.050,10.308,109.953,24.371,26.137,25.600,80.69
1.060,10.303,109.952,24.403,26.183,25.600,81.12
1.070,10.299,109.951,24.432,26.228,25.600,81.54
1.080,10.294,109.950,24.461,26.272,25.600,81.97
1.090,10.289,109.949,24.488,26.314,25.600,82.39
1.100,10.284,109.949,24.513,26.355,25.600,82.82
1.110,10.279,109.948,24.537,26.394,25.600,83.24
1.120,10.274,109.947,24.560,26.432,25.600,83.66
1.130,10.270,109.946,24.582,26.469,25.600,84.07
1.140,10.265,109.945,24.602,26.504,25.600,84.49
1.150,10.260,109.945,24.620,26.537,25.600,84.90
1.160,10.255,109.944,24.638,26.570,25.600,85.31
1.170,10.251,109.943,24.654,26.600,25.600,85.72
