t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,11.510,24.200,24.200,50.53
0.020,10.500,110.000,11.510,24.200,24.200,50.53
0.030,10.500,110.000,11.510,24.200,24.200,50.53
0.040,10.500,110.000,11.510,24.200,24.200,50.53
0.050,10.500,110.000,11.510,24.200,24.200,50.53
0.060,10.500,110.000,11.510,24.200,24.200,50.53
0.070,10.500,110.000,11.510,24.200,24.200,50.53
0.080,10.500,110.000,11.510,24.200,24.200,50.53
0.090,10.500,110.000,11.510,24.200,24.200,50.53
0.100,10.500,110.000,11.510,24.200,24.200,50.53
0.110,10.500,110.000,11.510,24.200,24.200,50.53
0.120,10.500,110.000,11.510,24.200,24.200,50.53
0.130,10.500,110.000,11.510,24.200,24.200,50.53
0.140,10.500,110.000,11.510,24.200,24.200,50.53
0.150,10.500,110.000,11.510,24.200,24.200,50.53
0.160,10.500,110.000,11.510,24.200,24.200,50.53
0.170,10.500,110.000,11.510,24.200,24.200,50.53
0.180,10.500,110.000,11.510,24.200,24.200,50.53
0.190,10.500,110.000,11.510,24.200,24.200,50.53
00.200,10.566,110.000,18.954,19.727,24.200,50.53
0.210,10.566,110.000,18.955,19.729,24.200,50.54
0.220,10.566,110.000,18.960,19.734,24.200,50.56
0.230,10.566,109.999,18.967,19.742,24.200,50.58
0.240,10.565,109.999,18.977,19.753,24.200,50.62
0.250,10.565,109.999,18.989,19.766,24.200,50.66
0.260,10.564,109.999,19.005,19.783,24.200,50.72
0.270,10.564,109.999,19.023,19.803,24.200,50.79
0.280,10.563,109.999,19.043,19.826,24.200,50.87
0.290,10.563,109.999,19.067,19.852,24.200,50.95
0.300,10.562,109.999,19.093,19.880,24.200,51.05
0.310,10.561,109.999,19.121,19.912,24.200,51.16
0.320,10.560,109.998,19.152,19.946,24.200,51.27
0.330,10.559,109.998,19.185,19.983,24.200,51.40
0.340,10.558,109.998,19.220,20.022,24.200,51.53
0.350,10.557,109.998,19.258,20.064,24.200,51.67
0.360,10.556,109.997,19.298,20.108,24.200,51.83
0.370,10.554,109.997,19.341,20.155,24.200,51.99
0.380,10.553,109.997,19.385,20.205,24.200,52.16
0.390,10.551,109.997,19.432,20.256,24.200,52.34
0.400,10.550,109.996,19.480,20.310,24.200,52.52
0.410,10.548,109.996,19.531,20.367,24.200,52.72
0.420,10.547,109.996,19.583,20.425,24.200,52.92
0.430,10.545,109.995,19.638,20.485,24.200,53.13
0.440,10.543,109.995,19.694,20.548,24.200,53.35
0.450,10.541,109.995,19.752,20.612,24.200,53.58
0.460,10.539,109.994,19.811,20.678,24.200,53.82
0.470,10.537,109.994,19.872,20.746,24.200,54.06
0.480,10.535,109.993,19.934,20.816,24.200,54.31
0.490,10.533,109.993,19.998,20.887,24.200,54.57
0.500,10.531,109.993,20.063,20.960,24.200,54.83
0.510,10.528,109.992,20.129,21.035,24.200,55.10
0.520,10.526,109.992,20.197,21.111,24.200,55.38
0.530,10.523,109.991,20.266,21.188,24.200,55.66
0.540,10.521,109.991,20.335,21.266,24.200,55.95
0.550,10.518,109.990,20.406,21.346,24.200,56.25
0.560,10.516,109.990,20.477,21.426,24.200,56.55
0.570,10.513,109.989,20.550,21.508,24.200,56.86
0.580,10.510,109.989,20.623,21.590,24.200,57.18
0.590,10.507,109.988,20.696,21.674,24.200,57.49
0.600,10.504,109.988,20.770,21.758,24.200,57.82
0.610,10.501,109.987,20.845,21.843,24.200,58.15
0.620,10.498,109.986,20.920,21.928,24.200,58.48
0.630,10.495,109.986,20.996,22.014,24.200,58.82
0.640,10.492,109.985,21.071,22.100,24.200,59.16
0.650,10.489,109.985,21.147,22.187,24.200,59.51
0.660,10.486,109.984,21.223,22.274,24.200,59.86
0.670,10.483,109.983,21.299,22.361,24.200,60.22
0.680,10.479,109.983,21.375,22.449,24.200,60.58
0.690,10.476,109.982,21.451,22.536,24.200,60.94
0.700,10.472,109.981,21.527,22.624,24.200,61.31
0.710,10.469,109.981,21.603,22.711,24.200,61.68
0.720,10.465,109.980,21.678,22.798,24.200,62.05
0.730,10.462,109.980,21.753,22.885,24.200,62.42
0.740,10.458,109.979,21.828,22.972,24.200,62.80
0.750,10.455,109.978,21.902,23.058,24.200,63.18
0.760,10.451,109.977,21.975,23.144,24.200,63.56
0.770,10.447,109.977,22.048,23.230,24.200,63.94
0.780,10.443,109.976,22.121,23.315,24.200,64.33
0.790,10.440,109.975,22.193,23.399,24.200,64.72
0.800,10.436,109.975,22.264,23.483,24.200,65.10
0.810,10.432,109.974,22.334,23.566,24.200,65.49
0.820,10.428,109.973,22.403,23.648,24.200,65.88
0.830,10.424,109.973,22.472,23.730,24.200,66.28
0.840,10.420,109.972,22.540,23.811,24.200,66.67
0.850,10.416,109.971,22.606,23.890,24.200,67.06
0.860,10.412,109.970,22.672,23.969,24.200,67.45
0.870,10.408,109.970,22.737,24.047,24.200,67.85
0.880,10.404,109.969,22.801,24.124,24.200,68.24
0.890,10.400,109.968,22.863,24.200,24.200,68.63
0.900,10.396,109.968,22.925,24.275,24.200,69.03
0.910,10.392,109.967,22.985,24.349,24.200,69.42
0.920,10.388,109.966,23.045,24.422,24.200,69.81
0.930,10.384,109.965,23.103,24.493,24.200,70.20
0.940,10.380,109.965,23.160,24.563,24.200,70.59
0.950,10.376,109.964,23.216,24.633,24.200,70.98
0.960,10.372,109.963,23.271,24.701,24.200,71.37
0.970,10.368,109.963,23.324,24.767,24.200,71.76
0.980,10.364,109.962,23.376,24.833,24.200,72.14
0.990,10.360,109.961,23.427,24.897,24.200,72.53
1.000,10.356,109.960,23.477,24.960,24.200,72.91
1.010,10.352,109.960,23.525,25.021,24.200,73.29
1.020,10.348,109.959,23.572,25.082,24.200,73.66
1.030,10.344,109.958,23.618,25.141,24.200,74.04
