t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,12.170,25.700,25.700,54.47
0.020,10.500,110.000,12.170,25.700,25.700,54.47
0.030,10.500,110.000,12.170,25.700,25.700,54.47
0.040,10.500,110.000,12.170,25.700,25.700,54.47
0.050,10.500,110.000,12.170,25.700,25.700,54.47
0.060,10.500,110.000,12.170,25.700,25.700,54.47
0.070,10.500,110.000,12.170,25.700,25.700,54.47
0.080,10.500,110.000,12.170,25.700,25.700,54.47
0.090,10.500,110.000,12.170,25.700,25.700,54.47
0.100,10.500,110.000,12.170,25.700,25.700,54.47
0.110,10.500,110.000,12.170,25.700,25.700,54.47
0.120,10.500,110.000,12.170,25.700,25.700,54.47
0.130,10.500,110.000,12.170,25.700,25.700,54.47
0.140,10.500,110.000,12.170,25.700,25.700,54.47
0.150,10.500,110.000,12.170,25.700,25.700,54.47
0.160,10.500,110.000,12.170,25.700,25.700,54.47
0.170,10.500,110.000,12.170,25.700,25.700,54.47
0.180,10.500,110.000,12.170,25.700,25.700,54.47
0.190,10.500,110.000,12.170,25.700,25.700,54.47
0.200,10.500,110.000,12.170,25.700,25.700,54.47
0.200,10.574,110.001,20.069,20.961,25.700,54.47
0.210,10.574,110.001,20.071,20.963,25.700,54.48
0.220,10.574,110.001,20.075,20.967,25.700,54.49
0.230,10.574,110.001,20.082,20.975,25.700,54.52
0.240,10.574,110.001,20.091,20.986,25.700,54.56
0.250,10.573,110.001,20.104,21.000,25.700,54.61
0.260,10.573,110.001,20.119,21.016,25.700,54.67
0.270,10.572,110.000,20.136,21.036,25.700,54.74
0.280,10.571,110.000,20.156,21.059,25.700,54.82
0.290,10.571,110.000,20.179,21.084,25.700,54.92
0.300,10.570,110.000,20.204,21.112,25.700,55.02
0.310,10.569,110.000,20.232,21.143,25.700,55.13
0.320,10.568,110.000,20.262,21.177,25.700,55.25
0.330,10.567,109.999,20.294,21.213,25.700,55.39
0.340,10.565,109.999,20.329,21.252,25.700,55.53
0.350,10.564,109.999,20.366,21.293,25.700,55.68
0.360,10.563,109.999,20.405,21.337,25.700,55.84
0.370,10.561,109.998,20.446,21.384,25.700,56.01
0.380,10.560,109.998,20.489,21.432,25.700,56.19
0.390,10.558,109.998,20.534,21.483,25.700,56.38
0.400,10.556,109.997,20.581,21.536,25.700,56.58
0.410,10.554,109.997,20.630,21.592,25.700,56.79
0.420,10.552,109.997,20.681,21.649,25.700,57.01
0.430,10.550,109.996,20.734,21.708,25.700,57.23
0.440,10.548,109.996,20.788,21.770,25.700,57.47
0.450,10.546,109.995,20.843,21.833,25.700,57.71
0.460,10.544,109.995,20.901,21.898,25.700,57.96
0.470,10.542,109.995,20.960,21.965,25.700,58.22
0.480,10.539,109.994,21.020,22.033,25.700,58.49
0.490,10.537,109.994,21.081,22.103,25.700,58.76
0.500,10.534,109.993,21.144,22.175,25.700,59.04
0.510,10.531,109.993,21.207,22.247,25.700,59.33
0.520,10.529,109.992,21.272,22.321,25.700,59.63
0.530,10.526,109.992,21.338,22.397,25.700,59.93
0.540,10.523,109.991,21.405,22.473,25.700,60.24
0.550,10.520,109.991,21.472,22.551,25.700,60.56
0.560,10.517,109.990,21.540,22.629,25.700,60.88
0.570,10.514,109.989,21.609,22.709,25.700,61.22
0.580,10.511,109.989,21.679,22.789,25.700,61.55
0.590,10.508,109.988,21.749,22.870,25.700,61.89
0.600,10.504,109.988,21.819,22.952,25.700,62.24
0.610,10.501,109.987,21.890,23.034,25.700,62.60
0.620,10.497,109.986,21.961,23.117,25.700,62.96
0.630,10.494,109.986,22.032,23.200,25.700,63.32
0.640,10.490,109.985,22.104,23.283,25.700,63.69
0.650,10.487,109.984,22.175,23.367,25.700,64.07
0.660,10.483,109.984,22.246,23.451,25.700,64.45
0.670,10.479,109.983,22.318,23.535,25.700,64.83
0.680,10.475,109.982,22.389,23.618,25.700,65.22
0.690,10.472,109.981,22.460,23.702,25.700,65.61
0.700,10.468,109.981,22.530,23.786,25.700,66.01
0.710,10.464,109.980,22.600,23.870,25.700,66.41
0.720,10.460,109.979,22.670,23.953,25.700,66.82
0.730,10.455,109.979,22.739,24.036,25.700,67.22
0.740,10.451,109.978,22.808,24.118,25.700,67.64
0.750,10.447,109.977,22.876,24.200,25.700,68.05
0.760,10.443,109.976,22.943,24.282,25.700,68.47
0.770,10.439,109.975,23.010,24.362,25.700,68.89
0.780,10.434,109.975,23.076,24.443,25.700,69.31
0.790,10.430,109.974,23.141,24.522,25.700,69.74
0.800,10.425,109.973,23.205,24.601,25.700,70.16
0.810,10.421,109.972,23.268,24.678,25.700,70.59
0.820,10.416,109.972,23.330,24.755,25.700,71.02
0.830,10.412,109.971,23.391,24.831,25.700,71.46
0.840,10.407,109.970,23.451,24.906,25.700,71.89
0.850,10.403,109.969,23.510,24.980,25.700,72.33
0.860,10.398,109.968,23.567,25.053,25.700,72.77
0.870,10.393,109.967,23.624,25.125,25.700,73.20
0.880,10.389,109.967,23.679,25.195,25.700,73.64
0.890,10.384,109.966,23.733,25.265,25.700,74.08
0.900,10.379,109.965,23.786,25.333,25.700,74.52
0.910,10.374,109.964,23.837,25.400,25.700,74.97
0.920,10.370,109.963,23.888,25.466,25.700,75.41
0.930,10.365,109.962,23.936,25.530,25.700,75.85
0.940,10.360,109.962,23.984,25.593,25.700,76.29
0.950,10.355,109.961,24.030,25.655,25.700,76.73
0.960,10.350,109.960,24.074,25.715,25.700,77.18
0.970,10.345,109.959,24.118,25.774,25.700,77.62
0.980,10.340,109.958,24.159,25.831,25.700,78.06
0.990,10.336,109.957,24.200,25.887,25.700,78.50
1.000,10.331,109.957,24.239,25.942,25.700,78.94
1.010,10.326,109.956,24.276,25.995,25.700,79.38
1.020,10.321,109.955,24.312,26.047,25.700,79.82
1.030,10.316,109.954,24.347,26.097,25.700,80.25
1.040,10.311,109.953,24.380,26.146,25.700,80.69
1.050,10.306,109.952,24.411,26.193,25.700,81.12
1.060,10.301,109.952,24.441,26.239,25.700,81.56
1.070,10.296,109.951,24.470,26.283,25.700,81.99
1.080,10.291,109.950,24.497,26.326,25.700,82.42
1.090,10.287,109.949,24.523,26.367,25.700,82.85
1.100,10.282,109.948,24.548,26.407,25.700,83.28
1.110,10.277,109.947,24.571,26.445,25.700,83.70
1.120,10.272,109.947,24.592,26.482,25.700,84.13
1.130,10.267,109.946,24.613,26.518,25.700,84.55
1.140,10.262,109.945,24.631,26.552,25.700,84.97
1.150,10.257,109.944,24.649,26.584,25.700,85.39
1.160,10.253,109.943,24.665,26.616,25.700,85.81
1.170,10.248,109.943,24.680,26.645,25.700,86.22
1.180,10.243,109.942,24.693,26.674,25.700,86.63
1.190,10.238,109.941,24.705,26.701,25.700,87.04
1.200,10.233,109.940,24.716,26.726,25.700,87.45
1.210,10.229,109.940,24.726,26.751,25.700,87.85
1.220,10.224,109.939,24.734,26.774,25.700,88.26
1.230,10.219,109.938,24.741,26.795,25.700,88.66
1.240,10.215,109.937,24.747,26.816,25.700,89.05
1.250,10.210,109.936,24.752,26.835,25.700,89.45
1.260,10.205,109.936,24.756,26.853,25.700,89.84
1.270,10.201,109.935,24.758,26.869,25.700,90.23
1.280,10.196,109.934,24.760,26.885,25.700,90.62
1.290,10.192,109.934,24.760,26.899,25.700,91.00
1.300,10.187,109.933,24.759,26.912,25.700,91.38
1.310,10.183,109.932,24.757,26.924,25.700,91.76
1.320,10.178,109.931,24.754,26.935,25.700,92.14
1.330,10.174,109.931,24.750,26.944,25.700,92.51
1.340,10.170,109.930,24.745,26.953,25.700,92.88
1.350,10.165,109.929,24.740,26.961,25.700,93.25
1.360,10.161,109.929,24.733,26.967,25.700,93.62
1.370,10.157,109.928,24.725,26.972,25.700,93.98
1.380,10.152,109.927,24.717,26.977,25.700,94.34
1.390,10.148,109.927,24.707,26.980,25.700,94.70
1.400,10.144,109.926,24.697,26.983,25.700,95.05
1.410,10.140,109.925,24.686,26.985,25.700,95.40
1.420,10.136,109.925,24.674,26.985,25.700,95.75
1.430,10.131,109.924,24.661,26.985,25.700,96.10
1.440,10.127,109.923,24.648,26.984,25.700,96.44
1.450,10.123,109.923,24.634,26.982,25.700,96.78
1.460,10.119,109.922,24.619,26.979,25.700,97.12
1.470,10.115,109.921,24.603,26.976,25.700,97.45
1.480,10.111,109.921,24.587,26.972,25.700,97.78
1.490,10.107,109.920,24.570,26.967,25.700,98.11
1.500,10.104,109.920,24.553,26.961,25.700,98.44
1.510,10.100,109.919,24.534,26.954,25.700,98.76
1.520,10.096,109.918,24.516,26.947,25.700,99.08
1.530,10.092,109.918,24.496,26.939,25.700,99.40
1.540,10.088,109.917,24.477,26.930,25.700,99.71
1.550,10.085,109.917,24.456,26.921,25.700,100.03
1.560,10.081,109.916,24.435,26.911,25.700,100.34
1.570,10.077,109.915,24.414,26.901,25.700,100.64
1.580,10.074,109.915,24.392,26.890,25.700,100.95
1.590,10.070,109.914,24.369,26.878,25.700,101.25
1.600,10.066,109.914,24.347,26.866,25.700,101.55
1.610,10.063,109.913,24.323,26.853,25.700,101.85
1.620,10.059,109.913,24.300,26.840,25.700,102.14
1.630,10.056,109.912,24.275,26.826,25.700,102.43
1.640,10.052,109.912,24.251,26.812,25.700,102.72
1.650,10.049,109.911,24.226,26.797,25.700,103.01
1.660,10.046,109.911,24.201,26.782,25.700,103.29
1.670,10.042,109.910,24.175,26.766,25.700,103.58
1.680,10.039,109.910,24.149,26.750,25.700,103.86
1.690,10.036,109.909,24.122,26.733,25.700,104.14
1.700,10.032,109.909,24.096,26.716,25.700,104.41
1.710,10.029,109.908,24.069,26.699,25.700,104.69
1.720,10.026,109.908,24.041,26.681,25.700,104.96
1.730,10.023,109.907,24.014,26.663,25.700,105.23
1.740,10.019,109.907,23.986,26.644,25.700,105.49
1.750,10.016,109.906,23.957,26.625,25.700,105.76
1.760,10.013,109.906,23.929,26.606,25.700,106.02
1.770,10.010,109.905,23.900,26.586,25.700,106.28
1.780,10.007,109.905,23.871,26.566,25.700,106.54
1.790,10.004,109.904,23.841,26.546,25.700,106.80
1.800,10.001,109.904,23.812,26.525,25.700,107.06
1.810,9.998,109.903,23.782,26.504,25.700,107.31
1.820,9.995,109.903,23.752,26.482,25.700,107.57
1.830,9.992,109.903,23.721,26.461,25.700,107.82
1.840,9.989,109.902,23.691,26.439,25.700,108.07
1.850,9.986,109.902,23.660,26.416,25.700,108.31
1.860,9.983,109.901,23.629,26.394,25.700,108.56
1.870,9.980,109.901,23.597,26.371,25.700,108.81
1.880,9.977,109.900,23.566,26.348,25.700,109.05
1.890,9.974,109.900,23.534,26.324,25.700,109.29
1.900,9.972,109.900,23.502,26.300,25.700,109.53
1.910,9.969,109.899,23.469,26.276,25.700,109.77
1.920,9.966,109.899,23.437,26.252,25.700,110.01
1.930,9.963,109.898,23.404,26.227,25.700,110.25
1.940,9.960,109.898,23.371,26.202,25.700,110.49
1.950,9.958,109.898,23.338,26.177,25.700,110.72
1.960,9.955,109.897,23.304,26.151,25.700,110.96
1.970,9.952,109.897,23.271,26.125,25.700,111.19
1.980,9.949,109.896,23.237,26.099,25.700,111.42
1.990,9.947,109.896,23.202,26.073,25.700,111.65
2.000,9.944,109.896,23.168,26.046,25.700,111.89


