t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,6.105,13.000,13.000,67.39
0.020,6.300,110.000,6.105,13.000,13.000,67.39
0.030,6.300,110.000,6.105,13.000,13.000,67.39
0.040,6.300,110.000,6.105,13.000,13.000,67.39
0.050,6.300,110.000,6.105,13.000,13.000,67.39
0.060,6.300,110.000,6.105,13.000,13.000,67.39
0.070,6.300,110.000,6.105,13.000,13.000,67.39
0.080,6.300,110.000,6.105,13.000,13.000,67.39
0.090,6.300,110.000,6.105,13.000,13.000,67.39
0.100,6.300,110.000,6.105,13.000,13.000,67.39
0.100,6.331,109.994,11.384,12.053,13.000,67.39
0.110,6.331,109.994,11.384,12.053,13.000,67.39
0.120,6.331,109.994,11.385,12.054,13.000,67.40
0.130,6.331,109.994,11.385,12.055,13.000,67.41
0.140,6.331,109.994,11.387,12.056,13.000,67.43
0.150,6.331,109.994,11.388,12.058,13.000,67.44
0.160,6.331,109.994,11.390,12.060,13.000,67.47
0.170,6.330,109.994,11.392,12.063,13.000,67.50
0.180,6.330,109.994,11.395,12.066,13.000,67.53
0.190,6.330,109.994,11.398,12.069,13.000,67.56
0.200,6.330,109.994,11.401,12.073,13.000,67.60
0.210,6.329,109.994,11.404,12.078,13.000,67.65
0.220,6.329,109.994,11.408,12.082,13.000,67.70
0.230,6.328,109.994,11.412,12.087,13.000,67.75
0.240,6.328,109.994,11.417,12.093,13.000,67.81
0.250,6.328,109.994,11.421,12.098,13.000,67.87
0.260,6.327,109.994,11.426,12.104,13.000,67.93
0.270,6.327,109.994,11.431,12.111,13.000,68.00
0.280,6.326,109.994,11.437,12.118,13.000,68.07
0.290,6.326,109.994,11.443,12.125,13.000,68.15
0.300,6.325,109.994,11.449,12.132,13.000,68.23
0.310,6.324,109.994,11.455,12.140,13.000,68.31
0.320,6.324,109.993,11.462,12.148,13.000,68.40
0.330,6.323,109.993,11.469,12.157,13.000,68.49
0.340,6.322,109.993,11.476,12.166,13.000,68.58
0.350,6.322,109.993,11.483,12.175,13.000,68.68
0.360,6.321,109.993,11.491,12.184,13.000,68.78
0.370,6.320,109.993,11.499,12.194,13.000,68.89
0.380,6.319,109.993,11.507,12.204,13.000,69.00
0.390,6.319,109.993,11.515,12.214,13.000,69.11
0.400,6.318,109.993,11.524,12.224,13.000,69.23
0.410,6.317,109.993,11.532,12.235,13.000,69.34
0.420,6.316,109.992,11.541,12.246,13.000,69.47
0.430,6.315,109.992,11.550,12.257,13.000,69.59
0.440,6.314,109.992,11.559,12.269,13.000,69.72
0.450,6.313,109.992,11.569,12.280,13.000,69.85
0.460,6.312,109.992,11.578,12.292,13.000,69.99
0.470,6.311,109.992,11.588,12.304,13.000,70.13
0.480,6.310,109.992,11.598,12.317,13.000,70.27
0.490,6.309,109.992,11.608,12.329,13.000,70.41
