t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,11.210,24.500,24.500,60.82
0.020,10.500,110.000,11.210,24.500,24.500,60.82
0.030,10.500,110.000,11.210,24.500,24.500,60.82
0.040,10.500,110.000,11.210,24.500,24.500,60.82
0.050,10.500,110.000,11.210,24.500,24.500,60.82
0.060,10.500,110.000,11.210,24.500,24.500,60.82
0.070,10.500,110.000,11.210,24.500,24.500,60.82
0.080,10.500,110.000,11.210,24.500,24.500,60.82
0.090,10.500,110.000,11.210,24.500,24.500,60.82
0.100,9.916,109.327,-0.001,3.083,24.500,60.82
0.110,9.916,109.327,-0.001,3.083,24.500,60.85
0.120,9.916,109.327,-0.001,3.083,24.500,60.92
0.130,9.916,109.327,-0.001,3.083,24.500,61.05
0.140,9.916,109.327,-0.001,3.083,24.500,61.22
0.150,9.916,109.327,-0.001,3.083,24.500,61.45
0.160,9.916,109.327,-0.001,3.083,24.500,61.72
0.170,9.916,109.327,-0.001,3.083,24.500,62.05
0.180,9.916,109.327,-0.001,3.083,24.500,62.42
0.190,9.916,109.327,-0.001,3.083,24.500,62.84
0.200,9.916,109.327,-0.001,3.083,24.500,63.30
0.210,9.916,109.327,-0.001,3.083,24.500,63.82
0.220,9.916,109.327,-0.001,3.083,24.500,64.38
0.230,9.916,109.327,-0.001,3.083,24.500,64.99
0.240,9.916,109.327,-0.001,3.083,24.500,65.65
0.250,9.916,109.327,-0.001,3.083,24.500,66.35
0.260,10.489,109.989,20.853,22.743,24.500,67.11
0.270,10.482,109.987,20.960,22.888,24.500,67.88
0.280,10.474,109.986,21.063,23.029,24.500,68.66
0.290,10.466,109.984,21.161,23.166,24.500,69.43
0.300,10.459,109.983,21.256,23.300,24.500,70.21
0.310,10.451,109.982,21.347,23.429,24.500,70.98
0.320,10.443,109.980,21.433,23.555,24.500,71.76
0.330,10.435,109.979,21.516,23.677,24.500,72.53
0.340,10.427,109.978,21.594,23.795,24.500,73.31
0.350,10.419,109.976,21.669,23.909,24.500,74.08
0.360,10.411,109.975,21.739,24.019,24.500,74.86
0.370,10.403,109.973,21.805,24.125,24.500,75.63
0.380,10.395,109.972,21.867,24.227,24.500,76.41
0.390,10.387,109.971,21.925,24.325,24.500,77.18
0.400,10.379,109.969,21.979,24.419,24.500,77.95
0.410,10.370,109.968,22.028,24.508,24.500,78.72
0.420,10.362,109.966,22.074,24.594,24.500,79.49
0.430,10.354,109.965,22.115,24.675,24.500,80.26
0.440,10.346,109.964,22.152,24.753,24.500,81.03
0.450,10.337,109.962,22.184,24.826,24.500,81.80
0.460,10.329,109.961,22.213,24.895,24.500,82.56
0.470,10.321,109.959,22.238,24.960,24.500,83.32
0.480,10.312,109.958,22.258,25.021,24.500,84.09
0.490,10.304,109.957,22.274,25.077,24.500,84.85
0.500,10.296,109.955,22.287,25.130,24.500,85.60
0.510,10.287,109.954,22.295,25.178,24.500,86.36
0.520,10.279,109.952,22.299,25.222,24.500,87.11
0.530,10.270,109.951,22.300,25.263,24.500,87.87
0.540,10.262,109.950,22.296,25.299,24.500,88.62
0.550,10.254,109.948,22.288,25.331,24.500,89.36
0.560,10.245,109.947,22.277,25.359,24.500,90.11
0.570,10.237,109.946,22.262,25.383,24.500,90.85
0.580,10.229,109.944,22.242,25.404,24.500,91.59
0.590,10.220,109.943,22.220,25.420,24.500,92.33
0.600,10.212,109.942,22.193,25.433,24.500,93.07
0.610,10.204,109.940,22.163,25.442,24.500,93.80
0.620,10.195,109.939,22.129,25.446,24.500,94.54
0.630,10.187,109.938,22.091,25.448,24.500,95.27
0.640,10.179,109.936,22.050,25.445,24.500,95.99
0.650,10.170,109.935,22.006,25.439,24.500,96.72
0.660,10.162,109.934,21.957,25.429,24.500,97.44
0.670,10.154,109.932,21.906,25.415,24.500,98.16
0.680,10.146,109.931,21.851,25.398,24.500,98.88
0.690,10.138,109.930,21.793,25.378,24.500,99.60
0.700,10.130,109.929,21.731,25.353,24.500,100.32
0.710,10.121,109.927,21.666,25.326,24.500,101.03
0.720,10.113,109.926,21.598,25.294,24.500,101.74
0.730,10.105,109.925,21.526,25.260,24.500,102.45
0.740,10.097,109.924,21.451,25.222,24.500,103.16
0.750,10.089,109.922,21.374,25.180,24.500,103.86
0.760,10.081,109.921,21.292,25.136,24.500,104.57
0.770,10.073,109.920,21.208,25.087,24.500,105.27
0.780,10.065,109.919,21.121,25.036,24.500,105.97
0.790,10.057,109.918,21.030,24.981,24.500,106.67
0.800,10.050,109.916,20.936,24.923,24.500,107.37
0.810,10.042,109.915,20.840,24.862,24.500,108.07
0.820,10.034,109.914,20.740,24.797,24.500,108.77
0.830,10.026,109.913,20.637,24.729,24.500,109.47
0.840,10.018,109.912,20.531,24.658,24.500,110.17
