iter	Passed	Remaining
478	8716	2201
479	8736	2184
480	8757	2166
481	8776	2148
482	8797	2131
483	8818	2113
484	8837	2095
485	8855	2077
486	8882	2060
487	8901	2042
488	8919	2024
489	8937	2006
490	8966	1990
491	8988	1973
492	9008	1955
493	9024	1936
494	9046	1919
495	9067	1901
496	9094	1884
497	9115	1867
498	9137	1849
499	9155	1831
500	9177	1813
501	9204	1796
502	9224	1778
503	9247	1761
504	9265	1742
505	9291	1726
506	9309	1707
507	9325	1688
508	9352	1671
509	9374	1654
510	9403	1637
511	9430	1620
512	9459	1604
513	9483	1586
514	9512	1570
515	9539	1552
516	9560	1534
517	9587	1517
518	9611	1500
519	9631	1481
520	9651	1463
521	9677	1446
522	9697	1427
523	9713	1408
524	9734	1390
525	9754	1372
526	9785	1355
527	9796	1335
528	9805	1316
529	9819	1296
530	9834	1277
531	9843	1258
532	9864	1239
533	9897	1223
534	9927	1206
535	9943	1187
536	9968	1169
537	9996	1152
538	10021	1134
539	10038	1115
540	10057	1096
541	10080	1078
542	10096	1059
543	10110	1040
544	10131	1022
545	10144	1003
546	10158	984
547	10169	965
548	10181	945
549	10196	926
550	10221	908
551	10231	889
552	10250	871
553	10259	851
554	10270	832
555	10287	814
556	10302	795
557	10316	776
558	10331	757
559	10344	738
560	10355	719
561	10371	701
562	10380	682
563	10404	664
564	10417	645
565	10435	626
566	10449	608
567	10468	589
568	10482	571
569	10496	552
570	10505	533
571	10515	514
572	10529	496
573	10541	477
574	10551	458
575	10568	440
576	10580	421
577	10594	403
578	10604	384
579	10620	366
580	10632	347
581	10646	329
582	10656	310
583	10666	292
584	10677	273
585	10686	255
586	10694	236
587	10703	218
588	10710	200
589	10716	181
590	10721	163
591	10727	144
592	10735	126
593	10742	108
594	10747	90
595	10752	72
596	10759	54
597	10768	36
598	10775	17
599	10782	0
