t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,8.451,18.000,18.000,53.72
0.020,6.300,110.000,8.451,18.000,18.000,53.72
0.030,6.300,110.000,8.451,18.000,18.000,53.72
0.040,6.300,110.000,8.451,18.000,18.000,53.72
0.050,6.300,110.000,8.451,18.000,18.000,53.72
0.060,6.300,110.000,8.451,18.000,18.000,53.72
0.070,6.300,110.000,8.451,18.000,18.000,53.72
0.080,6.300,110.000,8.451,18.000,18.000,53.72
0.090,6.300,110.000,8.451,18.000,18.000,53.72
0.100,6.300,110.000,8.451,18.000,18.000,53.72
0.110,6.300,110.000,8.451,18.000,18.000,53.72
0.120,6.300,110.000,8.451,18.000,18.000,53.72
0.130,6.300,110.000,8.451,18.000,18.000,53.72
0.140,6.300,110.000,8.451,18.000,18.000,53.72
0.150,6.300,110.000,8.451,18.000,18.000,53.72
0.160,6.300,110.000,8.451,18.000,18.000,53.72
0.170,6.300,110.000,8.451,18.000,18.000,53.72
0.180,6.300,110.000,8.451,18.000,18.000,53.72
0.190,6.300,110.000,8.451,18.000,18.000,53.72
0.200,6.351,109.996,14.758,15.569,18.000,53.72
0.210,6.351,109.996,14.759,15.571,18.000,53.73
0.220,6.351,109.996,14.762,15.574,18.000,53.74
0.230,6.351,109.996,14.767,15.580,18.000,53.77
0.240,6.351,109.996,14.774,15.588,18.000,53.81
0.250,6.350,109.996,14.783,15.599,18.000,53.86
0.260,6.350,109.996,14.794,15.611,18.000,53.92
0.270,6.349,109.996,14.807,15.626,18.000,53.99
0.280,6.348,109.996,14.822,15.643,18.000,54.07
0.290,6.348,109.996,14.839,15.663,18.000,54.16
0.300,6.347,109.996,14.857,15.684,18.000,54.27
0.310,6.346,109.995,14.878,15.707,18.000,54.38
0.320,6.345,109.995,14.900,15.733,18.000,54.50
0.330,6.344,109.995,14.924,15.760,18.000,54.63
0.340,6.342,109.995,14.949,15.790,18.000,54.78
0.350,6.341,109.995,14.977,15.821,18.000,54.93
0.360,6.340,109.995,15.005,15.854,18.000,55.09
0.370,6.338,109.994,15.036,15.889,18.000,55.26
