t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,8.365,17.800,17.800,54.15
0.020,6.300,110.000,8.365,17.800,17.800,54.15
0.030,6.300,110.000,8.365,17.800,17.800,54.15
0.040,6.300,110.000,8.365,17.800,17.800,54.15
0.050,6.300,110.000,8.365,17.800,17.800,54.15
0.060,6.300,110.000,8.365,17.800,17.800,54.15
0.070,6.300,110.000,8.365,17.800,17.800,54.15
0.080,6.300,110.000,8.365,17.800,17.800,54.15
0.090,6.300,110.000,8.365,17.800,17.800,54.15
0.100,6.300,110.000,8.365,17.800,17.800,54.15
0.110,6.300,110.000,8.365,17.800,17.800,54.15
0.120,6.300,110.000,8.365,17.800,17.800,54.15
0.130,6.300,110.000,8.365,17.800,17.800,54.15
0.140,6.300,110.000,8.365,17.800,17.800,54.15
0.150,6.300,110.000,8.365,17.800,17.800,54.15
0.160,6.300,110.000,8.365,17.800,17.800,54.15
0.170,6.300,110.000,8.365,17.800,17.800,54.15
0.180,6.300,110.000,8.365,17.800,17.800,54.15
0.190,6.300,110.000,8.365,17.800,17.800,54.15
0.200,6.359,109.996,14.661,15.458,17.800,54.15
0.210,6.359,109.996,14.662,15.459,17.800,54.15
0.220,6.359,109.996,14.663,15.460,17.800,54.16
0.230,6.359,109.996,14.666,15.463,17.800,54.17
0.240,6.359,109.996,14.669,15.467,17.800,54.19
0.250,6.358,109.996,14.674,15.472,17.800,54.22
0.260,6.358,109.996,14.679,15.478,17.800,54.25
0.270,6.358,109.996,14.685,15.486,17.800,54.28
0.280,6.357,109.996,14.692,15.494,17.800,54.32
0.290,6.357,109.996,14.701,15.503,17.800,54.37
0.300,6.356,109.996,14.710,15.513,17.800,54.42
0.310,6.356,109.996,14.720,15.525,17.800,54.47
0.320,6.355,109.996,14.730,15.537,17.800,54.53
0.330,6.355,109.995,14.742,15.551,17.800,54.60
0.340,6.354,109.995,14.755,15.565,17.800,54.67
0.350,6.353,109.995,14.768,15.580,17.800,54.75
0.360,6.352,109.995,14.782,15.597,17.800,54.83
0.370,6.352,109.995,14.797,15.614,17.800,54.91
0.380,6.351,109.995,14.813,15.632,17.800,55.00
0.390,6.350,109.995,14.830,15.651,17.800,55.10
0.400,6.349,109.995,14.847,15.671,17.800,55.19
0.410,6.348,109.995,14.865,15.692,17.800,55.30
0.420,6.347,109.994,14.884,15.714,17.800,55.41
0.430,6.346,109.994,14.903,15.737,17.800,55.52
0.440,6.344,109.994,14.924,15.760,17.800,55.64
0.450,6.343,109.994,14.945,15.784,17.800,55.76
0.460,6.342,109.994,14.966,15.809,17.800,55.88
0.470,6.341,109.994,14.988,15.835,17.800,56.01
0.480,6.339,109.994,15.011,15.861,17.800,56.15
0.490,6.338,109.993,15.035,15.889,17.800,56.29
0.500,6.337,109.993,15.059,15.917,17.800,56.43
0.510,6.335,109.993,15.083,15.945,17.800,56.57
0.520,6.334,109.993,15.109,15.975,17.800,56.72
0.530,6.332,109.993,15.134,16.005,17.800,56.88
0.540,6.330,109.992,15.161,16.035,17.800,57.04
0.550,6.329,109.992,15.187,16.066,17.800,57.20
0.560,6.327,109.992,15.215,16.098,17.800,57.36
0.570,6.325,109.992,15.242,16.130,17.800,57.53
0.580,6.324,109.992,15.270,16.163,17.800,57.70
0.590,6.322,109.991,15.299,16.196,17.800,57.88
