t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,8.279,17.600,17.600,53.42
0.020,6.300,110.000,8.279,17.600,17.600,53.42
0.030,6.300,110.000,8.279,17.600,17.600,53.42
0.040,6.300,110.000,8.279,17.600,17.600,53.42
0.050,6.300,110.000,8.279,17.600,17.600,53.42
0.060,6.300,110.000,8.279,17.600,17.600,53.42
0.070,6.300,110.000,8.279,17.600,17.600,53.42
0.080,6.300,110.000,8.279,17.600,17.600,53.42
0.090,6.300,110.000,8.279,17.600,17.600,53.42
0.100,6.300,110.000,8.279,17.600,17.600,53.42
0.110,6.300,110.000,8.279,17.600,17.600,53.42
0.120,6.300,110.000,8.279,17.600,17.600,53.42
0.130,6.300,110.000,8.279,17.600,17.600,53.42
0.140,6.300,110.000,8.279,17.600,17.600,53.42
0.150,6.300,110.000,8.279,17.600,17.600,53.42
0.160,6.300,110.000,8.279,17.600,17.600,53.42
0.170,6.300,110.000,8.279,17.600,17.600,53.42
0.180,6.300,110.000,8.279,17.600,17.600,53.42
0.190,6.300,110.000,8.279,17.600,17.600,53.42
0.200,6.358,109.996,14.507,15.283,17.600,53.42
0.210,6.358,109.996,14.508,15.284,17.600,53.43
0.220,6.358,109.996,14.509,15.285,17.600,53.43
0.230,6.358,109.996,14.511,15.288,17.600,53.45
0.240,6.357,109.996,14.515,15.292,17.600,53.47
0.250,6.357,109.996,14.519,15.297,17.600,53.49
0.260,6.357,109.996,14.525,15.303,17.600,53.52
0.270,6.357,109.996,14.531,15.311,17.600,53.56
0.280,6.356,109.996,14.538,15.319,17.600,53.60
0.290,6.356,109.996,14.546,15.328,17.600,53.64
0.300,6.355,109.996,14.556,15.339,17.600,53.69
0.310,6.355,109.996,14.566,15.350,17.600,53.75
0.320,6.354,109.995,14.576,15.363,17.600,53.81
0.330,6.354,109.995,14.588,15.376,17.600,53.87
0.340,6.353,109.995,14.601,15.390,17.600,53.94
0.350,6.352,109.995,14.614,15.406,17.600,54.02
0.360,6.351,109.995,14.628,15.422,17.600,54.10
