t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,8.494,18.100,18.100,54.08
0.020,6.300,110.000,8.494,18.100,18.100,54.08
0.030,6.300,110.000,8.494,18.100,18.100,54.08
0.040,6.300,110.000,8.494,18.100,18.100,54.08
0.050,6.300,110.000,8.494,18.100,18.100,54.08
0.060,6.300,110.000,8.494,18.100,18.100,54.08
0.070,6.300,110.000,8.494,18.100,18.100,54.08
0.080,6.300,110.000,8.494,18.100,18.100,54.08
0.090,6.300,110.000,8.494,18.100,18.100,54.08
0.100,6.300,110.000,8.494,18.100,18.100,54.08
0.110,6.300,110.000,8.494,18.100,18.100,54.08
0.120,6.300,110.000,8.494,18.100,18.100,54.08
0.130,6.300,110.000,8.494,18.100,18.100,54.08
0.140,6.300,110.000,8.494,18.100,18.100,54.08
0.150,6.300,110.000,8.494,18.100,18.100,54.08
0.160,6.300,110.000,8.494,18.100,18.100,54.08
0.170,6.300,110.000,8.494,18.100,18.100,54.08
0.180,6.300,110.000,8.494,18.100,18.100,54.08
0.190,6.300,110.000,8.494,18.100,18.100,54.08
0.200,6.352,109.996,14.834,15.657,18.100,54.08
0.210,6.352,109.996,14.835,15.658,18.100,54.09
0.220,6.352,109.996,14.838,15.661,18.100,54.10
0.230,6.351,109.996,14.844,15.667,18.100,54.13
0.240,6.351,109.996,14.851,15.675,18.100,54.17
0.250,6.351,109.996,14.860,15.686,18.100,54.22
0.260,6.350,109.996,14.871,15.698,18.100,54.28
0.270,6.350,109.996,14.884,15.713,18.100,54.35
0.280,6.349,109.996,14.898,15.730,18.100,54.44
0.290,6.348,109.996,14.915,15.750,18.100,54.53
0.300,6.347,109.996,14.934,15.771,18.100,54.63
0.310,6.346,109.996,14.954,15.794,18.100,54.74
0.320,6.345,109.995,14.976,15.820,18.100,54.87
0.330,6.344,109.995,15.000,15.847,18.100,55.00
0.340,6.343,109.995,15.025,15.877,18.100,55.14
0.350,6.342,109.995,15.052,15.908,18.100,55.30
0.360,6.340,109.995,15.081,15.941,18.100,55.46
0.370,6.339,109.994,15.111,15.976,18.100,55.63
0.380,6.337,109.994,15.143,16.013,18.100,55.81
0.390,6.336,109.994,15.176,16.051,18.100,56.00
0.400,6.334,109.994,15.210,16.091,18.100,56.20
0.410,6.332,109.993,15.246,16.133,18.100,56.41
0.420,6.330,109.993,15.283,16.176,18.100,56.63
0.430,6.328,109.993,15.321,16.220,18.100,56.85
0.440,6.326,109.993,15.360,16.266,18.100,57.08
0.450,6.324,109.992,15.401,16.313,18.100,57.32
0.460,6.322,109.992,15.442,16.362,18.100,57.57
0.470,6.320,109.992,15.484,16.411,18.100,57.83
0.480,6.317,109.991,15.527,16.462,18.100,58.09
0.490,6.315,109.991,15.571,16.514,18.100,58.36
0.500,6.312,109.991,15.616,16.566,18.100,58.64
0.510,6.310,109.990,15.661,16.620,18.100,58.92
0.520,6.307,109.990,15.707,16.674,18.100,59.21
0.530,6.304,109.989,15.754,16.729,18.100,59.50
0.540,6.302,109.989,15.801,16.785,18.100,59.80
0.550,6.299,109.989,15.848,16.841,18.100,60.11
0.560,6.296,109.988,15.896,16.898,18.100,60.42
0.570,6.293,109.988,15.944,16.955,18.100,60.74
0.580,6.290,109.987,15.992,17.013,18.100,61.06
0.590,6.287,109.987,16.040,17.071,18.100,61.38
0.600,6.284,109.987,16.089,17.129,18.100,61.71
0.610,6.281,109.986,16.137,17.188,18.100,62.05
0.620,6.278,109.986,16.186,17.247,18.100,62.38
0.630,6.274,109.985,16.234,17.305,18.100,62.72
0.640,6.271,109.985,16.283,17.364,18.100,63.07
0.650,6.268,109.984,16.331,17.423,18.100,63.42
0.660,6.264,109.984,16.379,17.481,18.100,63.77
0.670,6.261,109.983,16.426,17.539,18.100,64.12
0.680,6.258,109.983,16.474,17.597,18.100,64.47
0.690,6.254,109.982,16.521,17.655,18.100,64.83
0.700,6.251,109.982,16.567,17.713,18.100,65.19
0.710,6.247,109.981,16.613,17.770,18.100,65.54
0.720,6.243,109.981,16.659,17.826,18.100,65.90
0.730,6.240,109.980,16.704,17.883,18.100,66.27
0.740,6.236,109.980,16.748,17.938,18.100,66.63
0.750,6.233,109.979,16.792,17.993,18.100,66.99
0.760,6.229,109.979,16.835,18.048,18.100,67.35
0.770,6.225,109.978,16.878,18.102,18.100,67.71
0.780,6.222,109.978,16.919,18.155,18.100,68.08
0.790,6.218,109.977,16.960,18.207,18.100,68.44
0.800,6.214,109.977,17.001,18.259,18.100,68.80
0.810,6.211,109.976,17.040,18.310,18.100,69.16
0.820,6.207,109.976,17.079,18.360,18.100,69.52
0.830,6.203,109.975,17.117,18.409,18.100,69.88
0.840,6.199,109.975,17.154,18.457,18.100,70.23
0.850,6.196,109.974,17.190,18.505,18.100,70.58
0.860,6.192,109.974,17.226,18.551,18.100,70.94
0.870,6.188,109.973,17.260,18.597,18.100,71.29
0.880,6.185,109.973,17.294,18.642,18.100,71.63
0.890,6.181,109.972,17.327,18.686,18.100,71.98
0.900,6.177,109.972,17.358,18.729,18.100,72.32
0.910,6.174,109.972,17.389,18.771,18.100,72.66
0.920,6.170,109.971,17.420,18.812,18.100,72.99
0.930,6.167,109.971,17.449,18.852,18.100,73.33
0.940,6.163,109.970,17.477,18.891,18.100,73.66
0.950,6.160,109.970,17.505,18.929,18.100,73.98
0.960,6.156,109.969,17.531,18.966,18.100,74.30
0.970,6.153,109.969,17.557,19.002,18.100,74.62
