t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,8.322,17.700,17.700,53.78
0.020,6.300,110.000,8.322,17.700,17.700,53.78
0.030,6.300,110.000,8.322,17.700,17.700,53.78
0.040,6.300,110.000,8.322,17.700,17.700,53.78
0.050,6.300,110.000,8.322,17.700,17.700,53.78
0.060,6.300,110.000,8.322,17.700,17.700,53.78
0.070,6.300,110.000,8.322,17.700,17.700,53.78
0.080,6.300,110.000,8.322,17.700,17.700,53.78
0.090,6.300,110.000,8.322,17.700,17.700,53.78
0.100,6.300,110.000,8.322,17.700,17.700,53.78
0.110,6.300,110.000,8.322,17.700,17.700,53.78
0.120,6.300,110.000,8.322,17.700,17.700,53.78
0.130,6.300,110.000,8.322,17.700,17.700,53.78
0.140,6.300,110.000,8.322,17.700,17.700,53.78
0.150,6.300,110.000,8.322,17.700,17.700,53.78
0.160,6.300,110.000,8.322,17.700,17.700,53.78
0.170,6.300,110.000,8.322,17.700,17.700,53.78
0.180,6.300,110.000,8.322,17.700,17.700,53.78
0.190,6.300,110.000,8.322,17.700,17.700,53.78
0.200,6.358,109.996,14.584,15.371,17.700,53.78
0.210,6.358,109.996,14.585,15.371,17.700,53.79
0.220,6.358,109.996,14.586,15.373,17.700,53.80
0.230,6.358,109.996,14.589,15.376,17.700,53.81
0.240,6.358,109.996,14.592,15.380,17.700,53.83
0.250,6.358,109.996,14.597,15.385,17.700,53.85
0.260,6.357,109.996,14.602,15.391,17.700,53.88
0.270,6.357,109.996,14.608,15.398,17.700,53.92
0.280,6.357,109.996,14.615,15.406,17.700,53.96
0.290,6.356,109.996,14.624,15.416,17.700,54.00
0.300,6.356,109.996,14.633,15.426,17.700,54.05
0.310,6.355,109.996,14.643,15.438,17.700,54.11
0.320,6.355,109.996,14.653,15.450,17.700,54.17
0.330,6.354,109.995,14.665,15.463,17.700,54.23
0.340,6.353,109.995,14.678,15.478,17.700,54.30
0.350,6.353,109.995,14.691,15.493,17.700,54.38
0.360,6.352,109.995,14.705,15.510,17.700,54.46
0.370,6.351,109.995,14.720,15.527,17.700,54.54
0.380,6.350,109.995,14.736,15.545,17.700,54.63
0.390,6.349,109.995,14.753,15.564,17.700,54.73
0.400,6.348,109.995,14.770,15.584,17.700,54.83
0.410,6.347,109.995,14.788,15.605,17.700,54.93
0.420,6.346,109.994,14.807,15.627,17.700,55.04
0.430,6.345,109.994,14.827,15.649,17.700,55.15
0.440,6.344,109.994,14.847,15.673,17.700,55.27
0.450,6.343,109.994,14.868,15.697,17.700,55.39
0.460,6.342,109.994,14.890,15.722,17.700,55.51
0.470,6.340,109.994,14.912,15.748,17.700,55.64
0.480,6.339,109.994,14.935,15.775,17.700,55.77
0.490,6.338,109.993,14.959,15.802,17.700,55.91
0.500,6.336,109.993,14.983,15.830,17.700,56.05
0.510,6.335,109.993,15.008,15.858,17.700,56.20
0.520,6.333,109.993,15.033,15.888,17.700,56.35
0.530,6.332,109.993,15.059,15.918,17.700,56.50
0.540,6.330,109.992,15.085,15.948,17.700,56.66
0.550,6.329,109.992,15.112,15.980,17.700,56.82
0.560,6.327,109.992,15.139,16.011,17.700,56.98
