t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,13.200,28.100,28.100,61.35
0.020,10.500,110.000,13.200,28.100,28.100,61.35
0.030,10.500,110.000,13.200,28.100,28.100,61.35
0.040,10.500,110.000,13.200,28.100,28.100,61.35
0.050,10.500,110.000,13.200,28.100,28.100,61.35
0.060,10.500,110.000,13.200,28.100,28.100,61.35
0.070,10.500,110.000,13.200,28.100,28.100,61.35
0.080,10.500,110.000,13.200,28.100,28.100,61.35
0.090,10.500,110.000,13.200,28.100,28.100,61.35
0.100,10.500,110.000,13.200,28.100,28.100,61.35
0.110,10.500,110.000,13.200,28.100,28.100,61.35
0.120,10.500,110.000,13.200,28.100,28.100,61.35
0.130,10.500,110.000,13.200,28.100,28.100,61.35
0.140,10.500,110.000,13.200,28.100,28.100,61.35
0.150,10.500,110.000,13.200,28.100,28.100,61.35
0.160,10.500,110.000,13.200,28.100,28.100,61.35
0.170,10.500,110.000,13.200,28.100,28.100,61.35
0.180,10.500,110.000,13.200,28.100,28.100,61.35
0.190,10.500,110.000,13.200,28.100,28.100,61.35
0.200,10.500,110.000,13.200,28.100,28.100,61.35
0.200,10.590,110.004,21.825,22.939,28.100,61.35
0.210,10.590,110.004,21.827,22.941,28.100,61.36
0.220,10.590,110.003,21.830,22.945,28.100,61.38
0.230,10.590,110.003,21.837,22.952,28.100,61.41
0.240,10.589,110.003,21.846,22.963,28.100,61.45
0.250,10.589,110.003,21.857,22.975,28.100,61.51
0.260,10.588,110.003,21.870,22.991,28.100,61.57
0.270,10.588,110.003,21.886,23.010,28.100,61.65
0.280,10.587,110.003,21.905,23.031,28.100,61.74
0.290,10.586,110.003,21.925,23.055,28.100,61.84
0.300,10.585,110.002,21.948,23.081,28.100,61.95
0.310,10.584,110.002,21.973,23.110,28.100,62.07
0.320,10.582,110.002,22.000,23.142,28.100,62.21
0.330,10.581,110.002,22.030,23.176,28.100,62.35
0.340,10.579,110.001,22.061,23.212,28.100,62.51
0.350,10.578,110.001,22.094,23.251,28.100,62.67
0.360,10.576,110.001,22.129,23.292,28.100,62.85
0.370,10.574,110.001,22.167,23.335,28.100,63.04
0.380,10.572,110.000,22.205,23.380,28.100,63.23
0.390,10.570,110.000,22.246,23.428,28.100,63.44
0.400,10.568,109.999,22.288,23.477,28.100,63.66
0.410,10.566,109.999,22.332,23.529,28.100,63.89
0.420,10.564,109.999,22.378,23.582,28.100,64.13
0.430,10.561,109.998,22.424,23.637,28.100,64.37
0.440,10.559,109.998,22.473,23.694,28.100,64.63
0.450,10.556,109.997,22.522,23.752,28.100,64.90
0.460,10.553,109.997,22.573,23.812,28.100,65.17
0.470,10.551,109.996,22.625,23.873,28.100,65.46
0.480,10.548,109.996,22.678,23.936,28.100,65.75
0.490,10.545,109.995,22.732,24.001,28.100,66.06
0.500,10.542,109.994,22.787,24.066,28.100,66.37
0.510,10.538,109.994,22.843,24.132,28.100,66.69
0.520,10.535,109.993,22.899,24.200,28.100,67.02
0.530,10.532,109.993,22.957,24.269,28.100,67.35
0.540,10.528,109.992,23.014,24.338,28.100,67.70
0.550,10.525,109.991,23.073,24.408,28.100,68.05
0.560,10.521,109.991,23.131,24.479,28.100,68.41
0.570,10.517,109.990,23.190,24.551,28.100,68.78
0.580,10.513,109.989,23.249,24.623,28.100,69.15
