t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,12.647,26.800,26.800,57.51
0.020,10.500,110.000,12.647,26.800,26.800,57.51
0.030,10.500,110.000,12.647,26.800,26.800,57.51
0.040,10.500,110.000,12.647,26.800,26.800,57.51
0.050,10.500,110.000,12.647,26.800,26.800,57.51
0.060,10.500,110.000,12.647,26.800,26.800,57.51
0.070,10.500,110.000,12.647,26.800,26.800,57.51
0.080,10.500,110.000,12.647,26.800,26.800,57.51
0.090,10.500,110.000,12.647,26.800,26.800,57.51
0.100,10.500,110.000,12.647,26.800,26.800,57.51
0.110,10.500,110.000,12.647,26.800,26.800,57.51
0.120,10.500,110.000,12.647,26.800,26.800,57.51
0.130,10.500,110.000,12.647,26.800,26.800,57.51
0.140,10.500,110.000,12.647,26.800,26.800,57.51
0.150,10.500,110.000,12.647,26.800,26.800,57.51
0.160,10.500,110.000,12.647,26.800,26.800,57.51
0.170,10.500,110.000,12.647,26.800,26.800,57.51
0.180,10.500,110.000,12.647,26.800,26.800,57.51
0.190,10.500,110.000,12.647,26.800,26.800,57.51
0.200,10.500,110.000,12.647,26.800,26.800,57.51
0.200,10.581,110.002,20.879,21.867,26.800,57.51
0.210,10.581,110.002,20.881,21.869,26.800,57.52
0.220,10.581,110.002,20.885,21.874,26.800,57.54
0.230,10.581,110.002,20.891,21.881,26.800,57.57
0.240,10.580,110.002,20.901,21.892,26.800,57.61
0.250,10.580,110.002,20.913,21.905,26.800,57.66
0.260,10.579,110.002,20.927,21.922,26.800,57.72
0.270,10.579,110.002,20.944,21.941,26.800,57.80
0.280,10.578,110.001,20.964,21.963,26.800,57.88
0.290,10.577,110.001,20.985,21.988,26.800,57.98
0.300,10.576,110.001,21.010,22.016,26.800,58.08
0.310,10.575,110.001,21.036,22.046,26.800,58.20
0.320,10.574,110.001,21.065,22.079,26.800,58.33
0.330,10.573,110.000,21.097,22.114,26.800,58.47
0.340,10.571,110.000,21.130,22.152,26.800,58.61
0.350,10.570,110.000,21.166,22.193,26.800,58.77
0.360,10.568,110.000,21.203,22.236,26.800,58.94
0.370,10.567,109.999,21.243,22.281,26.800,59.12
0.380,10.565,109.999,21.284,22.328,26.800,59.31
0.390,10.563,109.999,21.328,22.378,26.800,59.51
0.400,10.561,109.998,21.373,22.430,26.800,59.71
0.410,10.559,109.998,21.420,22.484,26.800,59.93
0.420,10.557,109.997,21.469,22.540,26.800,60.16
0.430,10.555,109.997,21.520,22.598,26.800,60.39
0.440,10.553,109.997,21.572,22.658,26.800,60.64
0.450,10.550,109.996,21.625,22.719,26.800,60.89
0.460,10.548,109.996,21.680,22.783,26.800,61.15
0.470,10.545,109.995,21.736,22.847,26.800,61.42
0.480,10.543,109.995,21.794,22.914,26.800,61.70
0.490,10.540,109.994,21.852,22.982,26.800,61.99
