t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,12.388,26.200,26.200,55.84
0.020,10.500,110.000,12.388,26.200,26.200,55.84
0.030,10.500,110.000,12.388,26.200,26.200,55.84
0.040,10.500,110.000,12.388,26.200,26.200,55.84
0.050,10.500,110.000,12.388,26.200,26.200,55.84
0.060,10.500,110.000,12.388,26.200,26.200,55.84
0.070,10.500,110.000,12.388,26.200,26.200,55.84
0.080,10.500,110.000,12.388,26.200,26.200,55.84
0.090,10.500,110.000,12.388,26.200,26.200,55.84
0.100,10.500,110.000,12.388,26.200,26.200,55.84
0.110,10.500,110.000,12.388,26.200,26.200,55.84
0.120,10.500,110.000,12.388,26.200,26.200,55.84
0.130,10.500,110.000,12.388,26.200,26.200,55.84
0.140,10.500,110.000,12.388,26.200,26.200,55.84
0.150,10.500,110.000,12.388,26.200,26.200,55.84
0.160,10.500,110.000,12.388,26.200,26.200,55.84
0.170,10.500,110.000,12.388,26.200,26.200,55.84
0.180,10.500,110.000,12.388,26.200,26.200,55.84
0.190,10.500,110.000,12.388,26.200,26.200,55.84
0.200,10.500,110.000,12.388,26.200,26.200,55.84
0.200,10.577,110.001,20.438,21.373,26.200,55.84
0.210,10.577,110.001,20.440,21.374,26.200,55.84
0.220,10.577,110.001,20.444,21.379,26.200,55.86
0.230,10.577,110.001,20.451,21.387,26.200,55.89
0.240,10.577,110.001,20.460,21.397,26.200,55.93
0.250,10.576,110.001,20.472,21.411,26.200,55.98
0.260,10.576,110.001,20.487,21.428,26.200,56.04
0.270,10.575,110.001,20.504,21.447,26.200,56.11
0.280,10.574,110.001,20.524,21.470,26.200,56.20
0.290,10.573,110.001,20.547,21.495,26.200,56.29
0.300,10.573,110.000,20.571,21.523,26.200,56.39
0.310,10.572,110.000,20.599,21.554,26.200,56.51
0.320,10.570,110.000,20.628,21.587,26.200,56.63
0.330,10.569,110.000,20.660,21.623,26.200,56.77
0.340,10.568,110.000,20.694,21.661,26.200,56.91
0.350,10.567,109.999,20.731,21.702,26.200,57.07
0.360,10.565,109.999,20.769,21.746,26.200,57.23
0.370,10.564,109.999,20.810,21.792,26.200,57.41
0.380,10.562,109.998,20.852,21.840,26.200,57.59
0.390,10.560,109.998,20.897,21.891,26.200,57.79
0.400,10.558,109.998,20.943,21.943,26.200,57.99
0.410,10.557,109.997,20.991,21.998,26.200,58.20
0.420,10.555,109.997,21.041,22.055,26.200,58.42
0.430,10.552,109.997,21.093,22.114,26.200,58.65
0.440,10.550,109.996,21.146,22.174,26.200,58.89
0.450,10.548,109.996,21.201,22.237,26.200,59.14
0.460,10.546,109.995,21.257,22.301,26.200,59.39
0.470,10.543,109.995,21.315,22.367,26.200,59.66
0.480,10.541,109.994,21.374,22.435,26.200,59.93
0.490,10.538,109.994,21.434,22.504,26.200,60.21
0.500,10.535,109.993,21.496,22.575,26.200,60.50
0.510,10.533,109.993,21.558,22.646,26.200,60.79
0.520,10.530,109.992,21.622,22.720,26.200,61.10
0.530,10.527,109.992,21.686,22.794,26.200,61.41
0.540,10.524,109.991,21.751,22.869,26.200,61.73
0.550,10.521,109.991,21.817,22.946,26.200,62.05
