t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,12.257,25.900,25.900,55.01
0.020,10.500,110.000,12.257,25.900,25.900,55.01
0.030,10.500,110.000,12.257,25.900,25.900,55.01
0.040,10.500,110.000,12.257,25.900,25.900,55.01
0.050,10.500,110.000,12.257,25.900,25.900,55.01
0.060,10.500,110.000,12.257,25.900,25.900,55.01
0.070,10.500,110.000,12.257,25.900,25.900,55.01
0.080,10.500,110.000,12.257,25.900,25.900,55.01
0.090,10.500,110.000,12.257,25.900,25.900,55.01
0.100,10.500,110.000,12.257,25.900,25.900,55.01
0.110,10.500,110.000,12.257,25.900,25.900,55.01
0.120,10.500,110.000,12.257,25.900,25.900,55.01
0.130,10.500,110.000,12.257,25.900,25.900,55.01
0.140,10.500,110.000,12.257,25.900,25.900,55.01
0.150,10.500,110.000,12.257,25.900,25.900,55.01
0.160,10.500,110.000,12.257,25.900,25.900,55.01
0.170,10.500,110.000,12.257,25.900,25.900,55.01
0.180,10.500,110.000,12.257,25.900,25.900,55.01
0.190,10.500,110.000,12.257,25.900,25.900,55.01
0.200,10.576,110.001,20.217,21.126,25.900,55.01
0.210,10.576,110.001,20.218,21.127,25.900,55.02
0.220,10.575,110.001,20.223,21.132,25.900,55.04
0.230,10.575,110.001,20.229,21.140,25.900,55.07
0.240,10.575,110.001,20.239,21.150,25.900,55.10
0.250,10.574,110.001,20.251,21.164,25.900,55.15
0.260,10.574,110.001,20.266,21.181,25.900,55.22
0.270,10.573,110.001,20.284,21.201,25.900,55.29
0.280,10.573,110.001,20.304,21.223,25.900,55.37
0.290,10.572,110.000,20.326,21.248,25.900,55.46
0.300,10.571,110.000,20.351,21.276,25.900,55.56
0.310,10.570,110.000,20.379,21.307,25.900,55.68
0.320,10.569,110.000,20.409,21.341,25.900,55.80
0.330,10.568,110.000,20.441,21.377,25.900,55.94
0.340,10.566,109.999,20.475,21.416,25.900,56.08
0.350,10.565,109.999,20.512,21.457,25.900,56.23
0.360,10.564,109.999,20.551,21.501,25.900,56.40
0.370,10.562,109.999,20.592,21.547,25.900,56.57
0.380,10.560,109.998,20.634,21.595,25.900,56.75
0.390,10.559,109.998,20.679,21.646,25.900,56.94
0.400,10.557,109.998,20.726,21.699,25.900,57.14
