t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,13.074,27.800,27.800,60.45
0.020,10.500,110.000,13.074,27.800,27.800,60.45
0.030,10.500,110.000,13.074,27.800,27.800,60.45
0.040,10.500,110.000,13.074,27.800,27.800,60.45
0.050,10.500,110.000,13.074,27.800,27.800,60.45
0.060,10.500,110.000,13.074,27.800,27.800,60.45
0.070,10.500,110.000,13.074,27.800,27.800,60.45
0.080,10.500,110.000,13.074,27.800,27.800,60.45
0.090,10.500,110.000,13.074,27.800,27.800,60.45
0.100,10.500,110.000,13.074,27.800,27.800,60.45
0.110,10.500,110.000,13.074,27.800,27.800,60.45
0.120,10.500,110.000,13.074,27.800,27.800,60.45
0.130,10.500,110.000,13.074,27.800,27.800,60.45
0.140,10.500,110.000,13.074,27.800,27.800,60.45
0.150,10.500,110.000,13.074,27.800,27.800,60.45
0.160,10.500,110.000,13.074,27.800,27.800,60.45
0.170,10.500,110.000,13.074,27.800,27.800,60.45
0.180,10.500,110.000,13.074,27.800,27.800,60.45
0.190,10.500,110.000,13.074,27.800,27.800,60.45
0.200,10.500,110.000,13.074,27.800,27.800,60.45
0.200,10.588,110.003,21.608,22.691,27.800,60.45
0.210,10.588,110.003,21.609,22.693,27.800,60.45
0.220,10.588,110.003,21.613,22.697,27.800,60.47
0.230,10.588,110.003,21.620,22.705,27.800,60.50
0.240,10.587,110.003,21.629,22.715,27.800,60.54
0.250,10.587,110.003,21.640,22.728,27.800,60.60
0.260,10.586,110.003,21.654,22.744,27.800,60.66
0.270,10.585,110.003,21.670,22.763,27.800,60.74
0.280,10.585,110.002,21.689,22.784,27.800,60.83
0.290,10.584,110.002,21.710,22.808,27.800,60.93
0.300,10.583,110.002,21.733,22.835,27.800,61.04
0.310,10.581,110.002,21.758,22.864,27.800,61.16
0.320,10.580,110.002,21.786,22.896,27.800,61.29
0.330,10.579,110.001,21.816,22.931,27.800,61.43
0.340,10.577,110.001,21.848,22.967,27.800,61.59
0.350,10.576,110.001,21.881,23.007,27.800,61.75
0.360,10.574,110.001,21.917,23.048,27.800,61.93
0.370,10.572,110.000,21.955,23.092,27.800,62.11
0.380,10.571,110.000,21.995,23.138,27.800,62.31
0.390,10.569,109.999,22.036,23.186,27.800,62.51
0.400,10.567,109.999,22.079,23.236,27.800,62.73
0.410,10.564,109.999,22.124,23.288,27.800,62.96
0.420,10.562,109.998,22.170,23.342,27.800,63.19
0.430,10.560,109.998,22.218,23.398,27.800,63.44
0.440,10.557,109.997,22.267,23.455,27.800,63.69
0.450,10.555,109.997,22.318,23.515,27.800,63.95
0.460,10.552,109.996,22.370,23.576,27.800,64.23
0.470,10.549,109.996,22.423,23.638,27.800,64.51
0.480,10.547,109.995,22.477,23.702,27.800,64.80
0.490,10.544,109.995,22.532,23.767,27.800,65.10
0.500,10.541,109.994,22.588,23.833,27.800,65.40
0.510,10.537,109.994,22.645,23.901,27.800,65.72
0.520,10.534,109.993,22.703,23.970,27.800,66.05
0.530,10.531,109.992,22.762,24.039,27.800,66.38
0.540,10.527,109.992,22.821,24.110,27.800,66.72
0.550,10.524,109.991,22.881,24.182,27.800,67.07
0.560,10.520,109.991,22.941,24.254,27.800,67.42
0.570,10.517,109.990,23.002,24.327,27.800,67.79
0.580,10.513,109.989,23.063,24.400,27.800,68.16
0.590,10.509,109.989,23.124,24.474,27.800,68.53
0.600,10.505,109.988,23.185,24.548,27.800,68.92
0.610,10.501,109.987,23.246,24.623,27.800,69.31
0.620,10.497,109.986,23.307,24.698,27.800,69.71
0.630,10.493,109.986,23.368,24.773,27.800,70.11
0.640,10.488,109.985,23.429,24.848,27.800,70.52
0.650,10.484,109.984,23.490,24.923,27.800,70.94
0.660,10.480,109.983,23.550,24.998,27.800,71.36
0.670,10.475,109.982,23.610,25.073,27.800,71.79
0.680,10.471,109.982,23.669,25.147,27.800,72.23
0.690,10.466,109.981,23.728,25.221,27.800,72.67
0.700,10.461,109.980,23.786,25.295,27.800,73.11
0.710,10.456,109.979,23.843,25.368,27.800,73.56
0.720,10.451,109.978,23.900,25.440,27.800,74.02
0.730,10.447,109.977,23.955,25.512,27.800,74.48
0.740,10.442,109.976,24.010,25.583,27.800,74.94
0.750,10.436,109.976,24.064,25.653,27.800,75.41
0.760,10.431,109.975,24.116,25.722,27.800,75.88
0.770,10.426,109.974,24.167,25.791,27.800,76.36
0.780,10.421,109.973,24.218,25.858,27.800,76.84
0.790,10.415,109.972,24.267,25.924,27.800,77.33
0.800,10.410,109.971,24.314,25.989,27.800,77.82
0.810,10.405,109.970,24.360,26.053,27.800,78.31
0.820,10.399,109.969,24.405,26.116,27.800,78.81
0.830,10.393,109.968,24.448,26.177,27.800,79.31
0.840,10.388,109.967,24.490,26.237,27.800,79.81
0.850,10.382,109.966,24.530,26.295,27.800,80.32
0.860,10.376,109.965,24.569,26.352,27.800,80.83
0.870,10.371,109.964,24.606,26.408,27.800,81.34
0.880,10.365,109.963,24.641,26.461,27.800,81.85
0.890,10.359,109.962,24.674,26.513,27.800,82.37
0.900,10.353,109.961,24.706,26.564,27.800,82.89
0.910,10.347,109.960,24.735,26.612,27.800,83.41
0.920,10.341,109.959,24.763,26.659,27.800,83.94
0.930,10.335,109.958,24.789,26.704,27.800,84.46
0.940,10.329,109.957,24.813,26.748,27.800,84.99
0.950,10.323,109.956,24.835,26.789,27.800,85.53
0.960,10.317,109.955,24.855,26.829,27.800,86.06
0.970,10.310,109.954,24.873,26.866,27.800,86.59
0.980,10.304,109.953,24.889,26.902,27.800,87.13
0.990,10.298,109.952,24.903,26.935,27.800,87.67
1.000,10.291,109.951,24.915,26.967,27.800,88.21
1.010,10.285,109.950,24.924,26.996,27.800,88.75
1.020,10.279,109.949,24.932,27.024,27.800,89.30
1.030,10.272,109.948,24.937,27.049,27.800,89.84
1.040,10.266,109.947,24.940,27.072,27.800,90.39
1.050,10.259,109.946,24.941,27.093,27.800,90.93
1.060,10.253,109.945,24.940,27.112,27.800,91.48
1.070,10.247,109.944,24.936,27.128,27.800,92.03
1.080,10.240,109.943,24.931,27.143,27.800,92.59
1.090,10.233,109.942,24.923,27.155,27.800,93.14
1.100,10.227,109.940,24.912,27.165,27.800,93.69
1.110,10.220,109.939,24.900,27.173,27.800,94.25
1.120,10.214,109.938,24.885,27.178,27.800,94.81
1.130,10.207,109.937,24.868,27.181,27.800,95.36
1.140,10.200,109.936,24.848,27.182,27.800,95.92
1.150,10.194,109.935,24.827,27.181,27.800,96.48
1.160,10.187,109.934,24.802,27.177,27.800,97.05
1.170,10.180,109.933,24.776,27.171,27.800,97.61
1.180,10.174,109.932,24.747,27.162,27.800,98.17
1.190,10.167,109.931,24.715,27.151,27.800,98.74
1.200,10.160,109.930,24.682,27.138,27.800,99.31
1.210,10.153,109.929,24.645,27.122,27.800,99.88
1.220,10.146,109.928,24.607,27.104,27.800,100.44
1.230,10.140,109.927,24.565,27.083,27.800,101.02
1.240,10.133,109.926,24.522,27.060,27.800,101.59
1.250,10.126,109.925,24.476,27.035,27.800,102.16
1.260,10.119,109.924,24.427,27.006,27.800,102.74
1.270,10.112,109.923,24.376,26.976,27.800,103.32
1.280,10.105,109.921,24.322,26.943,27.800,103.90
1.290,10.098,109.920,24.266,26.907,27.800,104.48
1.300,10.091,109.919,24.207,26.868,27.800,105.06
1.310,10.084,109.918,24.145,26.827,27.800,105.65
1.320,10.077,109.917,24.081,26.784,27.800,106.24
1.330,10.070,109.916,24.014,26.737,27.800,106.82
1.340,10.063,109.915,23.944,26.688,27.800,107.42
1.350,10.056,109.914,23.871,26.636,27.800,108.01
1.360,10.049,109.913,23.796,26.582,27.800,108.61
1.370,10.042,109.912,23.718,26.524,27.800,109.21
1.380,10.035,109.911,23.637,26.464,27.800,109.81
1.390,10.028,109.910,23.553,26.401,27.800,110.42
1.400,10.021,109.909,23.466,26.334,27.800,111.03
1.410,10.014,109.908,23.375,26.265,27.800,111.64
1.420,10.006,109.907,23.282,26.193,27.800,112.25
1.430,9.999,109.906,23.186,26.117,27.800,112.87
1.440,9.992,109.905,23.086,26.038,27.800,113.50
1.450,9.985,109.904,22.983,25.956,27.800,114.12
1.460,9.977,109.903,22.877,25.871,27.800,114.75
1.470,9.970,109.902,22.767,25.782,27.800,115.39
1.480,9.963,109.901,22.654,25.690,27.800,116.03
1.490,9.955,109.899,22.537,25.594,27.800,116.68
1.500,9.948,109.898,22.416,25.495,27.800,117.33
1.510,9.940,109.897,22.292,25.392,27.800,117.98
1.520,9.933,109.896,22.164,25.284,27.800,118.64
1.530,9.925,109.895,22.032,25.174,27.800,119.31
1.540,9.918,109.894,21.895,25.059,27.800,119.98
1.550,9.910,109.893,21.755,24.939,27.800,120.66
1.560,9.903,109.892,21.610,24.816,27.800,121.34
1.570,9.895,109.891,21.461,24.688,27.800,122.03
1.580,9.887,109.890,21.307,24.556,27.800,122.73
1.590,9.880,109.889,21.148,24.419,27.800,123.44
1.600,9.872,109.888,20.985,24.277,27.800,124.15
1.610,9.864,109.887,20.816,24.130,27.800,124.87
1.620,9.856,109.886,20.643,23.979,27.800,125.60
1.630,9.848,109.885,20.464,23.821,27.800,126.34
1.640,9.840,109.884,20.279,23.659,27.800,127.09
1.650,9.832,109.883,20.089,23.491,27.800,127.84
1.660,9.824,109.882,19.893,23.317,27.800,128.61
