t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,12.904,27.400,27.400,59.26
0.020,10.500,110.000,12.904,27.400,27.400,59.26
0.030,10.500,110.000,12.904,27.400,27.400,59.26
0.040,10.500,110.000,12.904,27.400,27.400,59.26
0.050,10.500,110.000,12.904,27.400,27.400,59.26
0.060,10.500,110.000,12.904,27.400,27.400,59.26
0.070,10.500,110.000,12.904,27.400,27.400,59.26
0.080,10.500,110.000,12.904,27.400,27.400,59.26
0.090,10.500,110.000,12.904,27.400,27.400,59.26
0.100,10.500,110.000,12.904,27.400,27.400,59.26
0.110,10.500,110.000,12.904,27.400,27.400,59.26
0.120,10.500,110.000,12.904,27.400,27.400,59.26
0.130,10.500,110.000,12.904,27.400,27.400,59.26
0.140,10.500,110.000,12.904,27.400,27.400,59.26
0.150,10.500,110.000,12.904,27.400,27.400,59.26
0.160,10.500,110.000,12.904,27.400,27.400,59.26
0.170,10.500,110.000,12.904,27.400,27.400,59.26
0.180,10.500,110.000,12.904,27.400,27.400,59.26
0.190,10.500,110.000,12.904,27.400,27.400,59.26
00.200,10.585,110.003,21.317,22.361,27.400,59.26
0.210,10.585,110.003,21.318,22.363,27.400,59.27
0.220,10.585,110.003,21.322,22.367,27.400,59.29
0.230,10.585,110.003,21.329,22.375,27.400,59.32
0.240,10.584,110.003,21.338,22.385,27.400,59.36
0.250,10.584,110.002,21.350,22.398,27.400,59.41
0.260,10.583,110.002,21.364,22.415,27.400,59.47
0.270,10.583,110.002,21.380,22.433,27.400,59.55
0.280,10.582,110.002,21.399,22.455,27.400,59.64
0.290,10.581,110.002,21.421,22.480,27.400,59.73
0.300,10.580,110.002,21.444,22.507,27.400,59.84
0.310,10.579,110.001,21.470,22.537,27.400,59.96
0.320,10.578,110.001,21.499,22.569,27.400,60.09
0.330,10.576,110.001,21.529,22.604,27.400,60.23
0.340,10.575,110.001,21.562,22.641,27.400,60.39
0.350,10.573,110.000,21.596,22.681,27.400,60.55
0.360,10.572,110.000,21.633,22.723,27.400,60.72
0.370,10.570,110.000,21.671,22.767,27.400,60.90
0.380,10.568,109.999,21.712,22.814,27.400,61.10
0.390,10.566,109.999,21.754,22.863,27.400,61.30
0.400,10.564,109.999,21.798,22.914,27.400,61.51
0.410,10.562,109.998,21.844,22.967,27.400,61.73
0.420,10.560,109.998,21.891,23.021,27.400,61.97
0.430,10.558,109.998,21.940,23.078,27.400,62.21
0.440,10.555,109.997,21.991,23.137,27.400,62.46
0.450,10.553,109.997,22.042,23.197,27.400,62.72
0.460,10.550,109.996,22.096,23.259,27.400,62.98
0.470,10.548,109.996,22.150,23.322,27.400,63.26
0.480,10.545,109.995,22.206,23.387,27.400,63.55
0.490,10.542,109.995,22.262,23.454,27.400,63.84
0.500,10.539,109.994,22.320,23.521,27.400,64.15
0.510,10.536,109.993,22.379,23.590,27.400,64.46
0.520,10.533,109.993,22.438,23.660,27.400,64.78
0.530,10.530,109.992,22.499,23.731,27.400,65.10
0.540,10.526,109.992,22.560,23.804,27.400,65.44
0.550,10.523,109.991,22.621,23.877,27.400,65.78
0.560,10.520,109.990,22.683,23.950,27.400,66.13
0.570,10.516,109.990,22.746,24.025,27.400,66.49
0.580,10.512,109.989,22.809,24.100,27.400,66.85
0.590,10.509,109.988,22.872,24.176,27.400,67.22
0.600,10.505,109.988,22.935,24.252,27.400,67.60
0.610,10.501,109.987,22.999,24.328,27.400,67.98
0.620,10.497,109.986,23.062,24.405,27.400,68.37
0.630,10.493,109.986,23.126,24.482,27.400,68.77
0.640,10.489,109.985,23.189,24.559,27.400,69.17
0.650,10.485,109.984,23.252,24.636,27.400,69.58
0.660,10.480,109.983,23.315,24.713,27.400,70.00
0.670,10.476,109.982,23.378,24.790,27.400,70.42
0.680,10.471,109.982,23.440,24.867,27.400,70.84
0.690,10.467,109.981,23.501,24.943,27.400,71.27
0.700,10.462,109.980,23.562,25.019,27.400,71.71
0.710,10.458,109.979,23.622,25.095,27.400,72.15
0.720,10.453,109.978,23.682,25.170,27.400,72.59
0.730,10.448,109.978,23.741,25.245,27.400,73.04
0.740,10.443,109.977,23.799,25.318,27.400,73.50
0.750,10.438,109.976,23.856,25.391,27.400,73.95
0.760,10.433,109.975,23.912,25.464,27.400,74.42
0.770,10.428,109.974,23.967,25.535,27.400,74.88
0.780,10.423,109.973,24.020,25.605,27.400,75.35
0.790,10.418,109.972,24.073,25.675,27.400,75.83
0.800,10.413,109.971,24.124,25.743,27.400,76.30
0.810,10.408,109.970,24.175,25.810,27.400,76.78
0.820,10.402,109.970,24.223,25.876,27.400,77.27
0.830,10.397,109.969,24.271,25.941,27.400,77.75
0.840,10.392,109.968,24.317,26.005,27.400,78.24
0.850,10.386,109.967,24.361,26.067,27.400,78.73
0.860,10.381,109.966,24.404,26.128,27.400,79.23
0.870,10.375,109.965,24.446,26.187,27.400,79.72
0.880,10.369,109.964,24.486,26.245,27.400,80.22
0.890,10.364,109.963,24.524,26.301,27.400,80.73
0.900,10.358,109.962,24.561,26.356,27.400,81.23
0.910,10.352,109.961,24.595,26.409,27.400,81.74
0.920,10.347,109.960,24.628,26.460,27.400,82.24
0.930,10.341,109.959,24.660,26.510,27.400,82.75
0.940,10.335,109.958,24.689,26.558,27.400,83.26
0.950,10.329,109.957,24.717,26.605,27.400,83.78
0.960,10.323,109.956,24.743,26.649,27.400,84.29
0.970,10.317,109.955,24.767,26.692,27.400,84.81
0.980,10.311,109.954,24.789,26.733,27.400,85.32
0.990,10.305,109.953,24.809,26.772,27.400,85.84
1.000,10.299,109.952,24.828,26.809,27.400,86.36
1.010,10.293,109.951,24.844,26.844,27.400,86.88
1.020,10.287,109.950,24.858,26.878,27.400,87.40
1.030,10.281,109.949,24.871,26.909,27.400,87.92
1.040,10.275,109.948,24.881,26.939,27.400,88.45
1.050,10.269,109.947,24.890,26.966,27.400,88.97
1.060,10.263,109.946,24.896,26.992,27.400,89.50
1.070,10.257,109.945,24.901,27.016,27.400,90.02
1.080,10.250,109.944,24.903,27.037,27.400,90.55
1.090,10.244,109.943,24.903,27.057,27.400,91.07
1.100,10.238,109.942,24.902,27.074,27.400,91.60
1.110,10.232,109.941,24.898,27.090,27.400,92.13
1.120,10.225,109.940,24.892,27.103,27.400,92.66
1.130,10.219,109.939,24.884,27.115,27.400,93.19
1.140,10.213,109.938,24.874,27.124,27.400,93.72
1.150,10.207,109.937,24.862,27.131,27.400,94.25
1.160,10.200,109.936,24.848,27.137,27.400,94.78
1.170,10.194,109.935,24.832,27.140,27.400,95.31
1.180,10.188,109.934,24.814,27.141,27.400,95.84
1.190,10.181,109.933,24.793,27.140,27.400,96.37
1.200,10.175,109.932,24.771,27.137,27.400,96.90
1.210,10.169,109.931,24.747,27.132,27.400,97.44
1.220,10.162,109.930,24.720,27.124,27.400,97.97
1.230,10.156,109.929,24.691,27.115,27.400,98.50
1.240,10.149,109.928,24.660,27.103,27.400,99.04
1.250,10.143,109.927,24.627,27.090,27.400,99.57
1.260,10.137,109.926,24.592,27.074,27.400,100.11
1.270,10.130,109.925,24.555,27.056,27.400,100.64
1.280,10.124,109.924,24.516,27.036,27.400,101.18
1.290,10.117,109.923,24.474,27.014,27.400,101.72
1.300,10.111,109.922,24.431,26.989,27.400,102.26
1.310,10.105,109.921,24.385,26.963,27.400,102.80
1.320,10.098,109.920,24.337,26.934,27.400,103.34
1.330,10.092,109.919,24.287,26.903,27.400,103.88
1.340,10.085,109.918,24.235,26.870,27.400,104.42
1.350,10.079,109.917,24.180,26.834,27.400,104.97
1.360,10.072,109.916,24.123,26.797,27.400,105.51
1.370,10.066,109.915,24.064,26.757,27.400,106.06
1.380,10.059,109.914,24.003,26.714,27.400,106.60
1.390,10.053,109.913,23.939,26.670,27.400,107.15
1.400,10.046,109.912,23.873,26.623,27.400,107.70
