t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,9.222,9.600,9.600,50.44
0.020,6.300,110.000,9.222,9.600,9.600,50.44
0.030,6.300,110.000,9.222,9.600,9.600,50.44
0.040,6.300,110.000,9.222,9.600,9.600,50.44
0.050,6.300,110.000,9.222,9.600,9.600,50.44
0.060,6.300,110.000,9.222,9.600,9.600,50.44
0.070,6.300,110.000,9.222,9.600,9.600,50.44
0.080,6.300,110.000,9.222,9.600,9.600,50.44
0.090,6.300,110.000,9.222,9.600,9.600,50.44
0.100,6.300,110.000,9.222,9.600,9.600,50.44
0.110,6.300,110.000,9.222,9.600,9.600,50.44
0.120,6.300,110.000,9.222,9.600,9.600,50.44
0.130,6.300,110.000,9.222,9.600,9.600,50.44
0.140,6.300,110.000,9.222,9.600,9.600,50.44
0.150,6.300,110.000,9.222,9.600,9.600,50.44
0.160,6.300,110.000,9.222,9.600,9.600,50.44
0.170,6.300,110.000,9.222,9.600,9.600,50.44
0.180,6.300,110.000,9.222,9.600,9.600,50.44
0.190,6.300,110.000,9.222,9.600,9.600,50.44
0.200,6.300,110.000,9.222,9.600,9.600,50.44
0.210,6.300,110.000,9.222,9.600,9.600,50.44
0.220,6.300,110.000,9.222,9.600,9.600,50.44
0.230,6.300,110.000,9.222,9.600,9.600,50.44
0.240,6.300,110.000,9.222,9.600,9.600,50.44
0.250,6.300,110.000,9.222,9.600,9.600,50.44
0.260,6.300,110.000,9.222,9.600,9.600,50.44
0.270,6.300,110.000,9.222,9.600,9.600,50.44
0.280,6.300,110.000,9.222,9.600,9.600,50.44
0.290,6.300,110.000,9.222,9.600,9.600,50.44
0.300,6.300,110.000,9.222,9.600,9.600,50.44
0.310,6.300,110.000,9.222,9.600,9.600,50.44
0.320,6.300,110.000,9.222,9.600,9.600,50.44
0.330,6.300,110.000,9.222,9.600,9.600,50.44
0.340,6.300,110.000,9.222,9.600,9.600,50.44
0.350,6.300,110.000,9.222,9.600,9.600,50.44
0.360,6.300,110.000,9.222,9.600,9.600,50.44
0.370,6.300,110.000,9.222,9.600,9.600,50.44
0.380,6.300,110.000,9.222,9.600,9.600,50.44
0.390,6.300,110.000,9.222,9.600,9.600,50.44
0.400,6.300,110.000,9.222,9.600,9.600,50.44
0.410,6.300,110.000,9.222,9.600,9.600,50.44
0.420,6.300,110.000,9.222,9.600,9.600,50.44
0.430,6.300,110.000,9.222,9.600,9.600,50.44
0.440,6.300,110.000,9.222,9.600,9.600,50.44
0.450,6.300,110.000,9.222,9.600,9.600,50.44
0.460,6.300,110.000,9.222,9.600,9.600,50.44
0.470,6.300,110.000,9.222,9.600,9.600,50.44
0.480,6.300,110.000,9.222,9.600,9.600,50.44
0.490,6.300,110.000,9.222,9.600,9.600,50.44
0.500,6.300,110.000,9.222,9.600,9.600,50.44
0.510,6.300,110.000,9.222,9.600,9.600,50.44
0.520,6.300,110.000,9.222,9.600,9.600,50.44
0.530,6.300,110.000,9.222,9.600,9.600,50.44
0.540,6.300,110.000,9.222,9.600,9.600,50.44
0.550,6.300,110.000,9.222,9.600,9.600,50.44
0.560,6.300,110.000,9.222,9.600,9.600,50.44
0.570,6.300,110.000,9.222,9.600,9.600,50.44
0.580,6.300,110.000,9.222,9.600,9.600,50.44
0.590,6.300,110.000,9.222,9.600,9.600,50.44
0.600,6.300,110.000,9.222,9.600,9.600,50.44
0.610,6.300,110.000,9.222,9.600,9.600,50.44
0.620,6.300,110.000,9.222,9.600,9.600,50.44
0.630,6.300,110.000,9.222,9.600,9.600,50.44
0.640,6.300,110.000,9.222,9.600,9.600,50.44
0.650,6.300,110.000,9.222,9.600,9.600,50.44
0.660,6.300,110.000,9.222,9.600,9.600,50.44
0.670,6.300,110.000,9.222,9.600,9.600,50.44
0.680,6.300,110.000,9.222,9.600,9.600,50.44
0.690,6.300,110.000,9.222,9.600,9.600,50.44
0.700,6.300,110.000,9.222,9.600,9.600,50.44
0.710,6.300,110.000,9.222,9.600,9.600,50.44
0.720,6.300,110.000,9.222,9.600,9.600,50.44
0.730,6.300,110.000,9.222,9.600,9.600,50.44
0.740,6.300,110.000,9.222,9.600,9.600,50.44
0.750,6.300,110.000,9.222,9.600,9.600,50.44
0.760,6.300,110.000,9.222,9.600,9.600,50.44
0.770,6.300,110.000,9.222,9.600,9.600,50.44
0.780,6.300,110.000,9.222,9.600,9.600,50.44
0.790,6.300,110.000,9.222,9.600,9.600,50.44
0.800,6.300,110.000,9.222,9.600,9.600,50.44
0.810,6.300,110.000,9.222,9.600,9.600,50.44
0.820,6.300,110.000,9.222,9.600,9.600,50.44
0.830,6.300,110.000,9.222,9.600,9.600,50.44
0.840,6.300,110.000,9.222,9.600,9.600,50.44
0.850,6.300,110.000,9.222,9.600,9.600,50.44
0.860,6.300,110.000,9.222,9.600,9.600,50.44
0.870,6.300,110.000,9.222,9.600,9.600,50.44
0.880,6.300,110.000,9.222,9.600,9.600,50.44
0.890,6.300,110.000,9.222,9.600,9.600,50.44
0.900,6.300,110.000,9.222,9.600,9.600,50.44
0.910,6.300,110.000,9.222,9.600,9.600,50.44
0.920,6.300,110.000,9.222,9.600,9.600,50.44
0.930,6.300,110.000,9.222,9.600,9.600,50.44
0.940,6.300,110.000,9.222,9.600,9.600,50.44
0.950,6.300,110.000,9.222,9.600,9.600,50.44
0.960,6.300,110.000,9.222,9.600,9.600,50.44
0.970,6.300,110.000,9.222,9.600,9.600,50.44
0.980,6.300,110.000,9.222,9.600,9.600,50.44
0.990,6.300,110.000,9.222,9.600,9.600,50.44
1.000,6.300,110.000,9.222,9.600,9.600,50.44
1.010,6.300,110.000,9.222,9.600,9.600,50.44
1.020,6.300,110.000,9.222,9.600,9.600,50.44
1.030,6.300,110.000,9.222,9.600,9.600,50.44
1.040,6.300,110.000,9.222,9.600,9.600,50.44
1.050,6.300,110.000,9.222,9.600,9.600,50.44
1.060,6.300,110.000,9.222,9.600,9.600,50.44
1.070,6.300,110.000,9.222,9.600,9.600,50.44
1.080,6.300,110.000,9.222,9.600,9.600,50.44
1.090,6.300,110.000,9.222,9.600,9.600,50.44
1.100,6.300,110.000,9.222,9.600,9.600,50.44
1.110,6.300,110.000,9.222,9.600,9.600,50.44
1.120,6.300,110.000,9.222,9.600,9.600,50.44
1.130,6.300,110.000,9.222,9.600,9.600,50.44
1.140,6.300,110.000,9.222,9.600,9.600,50.44
1.150,6.300,110.000,9.222,9.600,9.600,50.44
1.160,6.300,110.000,9.222,9.600,9.600,50.44
1.170,6.300,110.000,9.222,9.600,9.600,50.44
1.180,6.300,110.000,9.222,9.600,9.600,50.44
1.190,6.300,110.000,9.222,9.600,9.600,50.44
1.200,6.300,110.000,9.222,9.600,9.600,50.44
1.210,6.300,110.000,9.222,9.600,9.600,50.44
1.220,6.300,110.000,9.222,9.600,9.600,50.44
1.230,6.300,110.000,9.222,9.600,9.600,50.44
1.240,6.300,110.000,9.222,9.600,9.600,50.44
1.250,6.300,110.000,9.222,9.600,9.600,50.44
1.260,6.300,110.000,9.222,9.600,9.600,50.44
1.270,6.300,110.000,9.222,9.600,9.600,50.44
1.280,6.300,110.000,9.222,9.600,9.600,50.44
1.290,6.300,110.000,9.222,9.600,9.600,50.44
1.300,6.300,110.000,9.222,9.600,9.600,50.44
1.310,6.300,110.000,9.222,9.600,9.600,50.44
1.320,6.300,110.000,9.222,9.600,9.600,50.44
1.330,6.300,110.000,9.222,9.600,9.600,50.44
1.340,6.300,110.000,9.222,9.600,9.600,50.44
1.350,6.300,110.000,9.222,9.600,9.600,50.44
1.360,6.300,110.000,9.222,9.600,9.600,50.44
1.370,6.300,110.000,9.222,9.600,9.600,50.44
1.380,6.300,110.000,9.222,9.600,9.600,50.44
1.390,6.300,110.000,9.222,9.600,9.600,50.44
1.400,6.300,110.000,9.222,9.600,9.600,50.44
1.410,6.300,110.000,9.222,9.600,9.600,50.44
1.420,6.300,110.000,9.222,9.600,9.600,50.44
1.430,6.300,110.000,9.222,9.600,9.600,50.44
1.440,6.300,110.000,9.222,9.600,9.600,50.44
1.450,6.300,110.000,9.222,9.600,9.600,50.44
1.460,6.300,110.000,9.222,9.600,9.600,50.44
1.470,6.300,110.000,9.222,9.600,9.600,50.44
1.480,6.300,110.000,9.222,9.600,9.600,50.44
1.490,6.300,110.000,9.222,9.600,9.600,50.44
1.500,6.300,110.000,9.222,9.600,9.600,50.44
1.510,6.300,110.000,9.222,9.600,9.600,50.44
1.520,6.300,110.000,9.222,9.600,9.600,50.44
1.530,6.300,110.000,9.222,9.600,9.600,50.44
1.540,6.300,110.000,9.222,9.600,9.600,50.44
1.550,6.300,110.000,9.222,9.600,9.600,50.44
1.560,6.300,110.000,9.222,9.600,9.600,50.44
1.570,6.300,110.000,9.222,9.600,9.600,50.44
1.580,6.300,110.000,9.222,9.600,9.600,50.44
1.590,6.300,110.000,9.222,9.600,9.600,50.44
1.600,6.300,110.000,9.222,9.600,9.600,50.44
1.610,6.300,110.000,9.222,9.600,9.600,50.44
1.620,6.300,110.000,9.222,9.600,9.600,50.44
1.630,6.300,110.000,9.222,9.600,9.600,50.44
1.640,6.300,110.000,9.222,9.600,9.600,50.44
1.650,6.300,110.000,9.222,9.600,9.600,50.44
1.660,6.300,110.000,9.222,9.600,9.600,50.44
1.670,6.300,110.000,9.222,9.600,9.600,50.44
1.680,6.300,110.000,9.222,9.600,9.600,50.44
1.690,6.300,110.000,9.222,9.600,9.600,50.44
1.700,6.300,110.000,9.222,9.600,9.600,50.44
1.710,6.300,110.000,9.222,9.600,9.600,50.44
1.720,6.300,110.000,9.222,9.600,9.600,50.44
1.730,6.300,110.000,9.222,9.600,9.600,50.44
1.740,6.300,110.000,9.222,9.600,9.600,50.44
1.750,6.300,110.000,9.222,9.600,9.600,50.44
1.760,6.300,110.000,9.222,9.600,9.600,50.44
1.770,6.300,110.000,9.222,9.600,9.600,50.44
1.780,6.300,110.000,9.222,9.600,9.600,50.44
1.790,6.300,110.000,9.222,9.600,9.600,50.44
1.800,6.300,110.000,9.222,9.600,9.600,50.44
1.810,6.300,110.000,9.222,9.600,9.600,50.44
1.820,6.300,110.000,9.222,9.600,9.600,50.44
1.830,6.300,110.000,9.222,9.600,9.600,50.44
1.840,6.300,110.000,9.222,9.600,9.600,50.44
1.850,6.300,110.000,9.222,9.600,9.600,50.44
