t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,10.450,22.600,22.600,54.59
0.020,10.500,110.000,10.450,22.600,22.600,54.59
0.030,10.500,110.000,10.450,22.600,22.600,54.59
0.040,10.500,110.000,10.450,22.600,22.600,54.59
0.050,10.500,110.000,10.450,22.600,22.600,54.59
0.060,10.500,110.000,10.450,22.600,22.600,54.59
0.070,10.500,110.000,10.450,22.600,22.600,54.59
0.080,10.500,110.000,10.450,22.600,22.600,54.59
0.090,10.500,110.000,10.450,22.600,22.600,54.59
0.100,9.855,109.316,-0.001,3.042,22.600,54.59
0.110,9.855,109.316,-0.001,3.042,22.600,54.62
0.120,9.855,109.316,-0.001,3.042,22.600,54.69
0.130,9.855,109.316,-0.001,3.042,22.600,54.80
0.140,9.855,109.316,-0.001,3.042,22.600,54.96
0.150,9.855,109.316,-0.001,3.042,22.600,55.17
0.160,9.855,109.316,-0.001,3.042,22.600,55.42
0.170,9.855,109.316,-0.001,3.042,22.600,55.71
0.180,9.855,109.316,-0.001,3.042,22.600,56.05
0.190,9.855,109.316,-0.001,3.042,22.600,56.43
0.200,9.855,109.316,-0.001,3.042,22.600,56.86
0.210,9.855,109.316,-0.001,3.042,22.600,57.33
0.220,9.855,109.316,-0.001,3.042,22.600,57.85
0.230,9.855,109.316,-0.001,3.042,22.600,58.40
0.240,9.855,109.316,-0.001,3.042,22.600,59.00
0.250,9.855,109.316,-0.001,3.042,22.600,59.65
0.260,10.491,109.989,19.618,21.173,22.600,60.33
0.270,10.484,109.987,19.746,21.333,22.600,61.04
0.280,10.478,109.986,19.870,21.490,22.600,61.75
0.290,10.471,109.985,19.991,21.644,22.600,62.45
0.300,10.465,109.984,20.109,21.795,22.600,63.16
0.310,10.458,109.983,20.223,21.943,22.600,63.87
0.320,10.452,109.982,20.335,22.088,22.600,64.57
0.330,10.445,109.980,20.443,22.230,22.600,65.28
0.340,10.438,109.979,20.547,22.368,22.600,65.98
0.350,10.432,109.978,20.649,22.504,22.600,66.68
0.360,10.425,109.977,20.746,22.636,22.600,67.38
0.370,10.418,109.975,20.841,22.764,22.600,68.08
0.380,10.411,109.974,20.932,22.890,22.600,68.78
0.390,10.404,109.973,21.019,23.012,22.600,69.47
0.400,10.397,109.972,21.104,23.130,22.600,70.17
0.410,10.390,109.971,21.184,23.245,22.600,70.86
0.420,10.383,109.969,21.262,23.357,22.600,71.55
0.430,10.376,109.968,21.335,23.465,22.600,72.23
0.440,10.369,109.967,21.406,23.570,22.600,72.91
0.450,10.362,109.966,21.473,23.671,22.600,73.59
0.460,10.356,109.965,21.536,23.769,22.600,74.27
0.470,10.349,109.963,21.596,23.864,22.600,74.94
0.480,10.342,109.962,21.653,23.955,22.600,75.62
