t,Ug,Us,Pij,Pg,Pgt,delta
0.010,6.300,110.000,9.974,21.700,21.700,69.95
0.020,6.300,110.000,9.974,21.700,21.700,69.95
0.030,6.300,110.000,9.974,21.700,21.700,69.95
0.040,6.300,110.000,9.974,21.700,21.700,69.95
0.050,6.300,110.000,9.974,21.700,21.700,69.95
0.060,6.300,110.000,9.974,21.700,21.700,69.95
0.070,6.300,110.000,9.974,21.700,21.700,69.95
0.080,6.300,110.000,9.974,21.700,21.700,69.95
0.090,6.300,110.000,9.974,21.700,21.700,69.95
0.100,6.300,110.000,9.974,21.700,21.700,69.95
0.110,6.300,110.000,9.974,21.700,21.700,69.95
0.120,6.300,110.000,9.974,21.700,21.700,69.95
0.130,6.300,110.000,9.974,21.700,21.700,69.95
0.140,6.300,110.000,9.974,21.700,21.700,69.95
0.150,6.300,110.000,9.974,21.700,21.700,69.95
0.160,6.300,110.000,9.974,21.700,21.700,69.95
0.170,6.300,110.000,9.974,21.700,21.700,69.95
0.180,6.300,110.000,9.974,21.700,21.700,69.95
0.190,6.300,110.000,9.974,21.700,21.700,69.95
0.200,6.300,110.000,9.974,21.700,21.700,69.95
0.200,6.390,109.999,17.575,18.881,21.700,69.95
0.210,6.390,109.999,17.575,18.881,21.700,69.96
0.220,6.390,109.999,17.576,18.883,21.700,69.97
0.230,6.390,109.999,17.578,18.885,21.700,69.98
0.240,6.390,109.999,17.581,18.888,21.700,70.01
0.250,6.389,109.999,17.584,18.892,21.700,70.04
0.260,6.389,109.999,17.588,18.897,21.700,70.07
0.270,6.388,109.999,17.592,18.903,21.700,70.11
0.280,6.388,109.999,17.597,18.910,21.700,70.16
0.290,6.387,109.999,17.603,18.917,21.700,70.22
0.300,6.387,109.999,17.610,18.926,21.700,70.28
0.310,6.386,109.998,17.617,18.935,21.700,70.35
0.320,6.385,109.998,17.624,18.945,21.700,70.42
0.330,6.384,109.998,17.633,18.956,21.700,70.50
0.340,6.383,109.998,17.642,18.967,21.700,70.58
0.350,6.382,109.998,17.651,18.980,21.700,70.68
0.360,6.381,109.998,17.661,18.993,21.700,70.77
0.370,6.379,109.998,17.672,19.007,21.700,70.88
0.380,6.378,109.998,17.683,19.021,21.700,70.99
0.390,6.377,109.997,17.694,19.037,21.700,71.10
0.400,6.375,109.997,17.707,19.053,21.700,71.22
0.410,6.374,109.997,17.719,19.069,21.700,71.35
0.420,6.372,109.997,17.732,19.087,21.700,71.48
0.430,6.370,109.997,17.746,19.105,21.700,71.62
0.440,6.369,109.996,17.760,19.123,21.700,71.76
0.450,6.367,109.996,17.774,19.143,21.700,71.91
0.460,6.365,109.996,17.789,19.162,21.700,72.06
0.470,6.363,109.996,17.804,19.183,21.700,72.22
0.480,6.361,109.996,17.820,19.204,21.700,72.39
0.490,6.359,109.995,17.836,19.225,21.700,72.56
0.500,6.357,109.995,17.852,19.247,21.700,72.73
0.510,6.354,109.995,17.869,19.269,21.700,72.92
0.520,6.352,109.995,17.886,19.292,21.700,73.10
0.530,6.350,109.994,17.903,19.316,21.700,73.29
0.540,6.347,109.994,17.920,19.339,21.700,73.49
0.550,6.345,109.994,17.938,19.363,21.700,73.69
0.560,6.342,109.993,17.956,19.388,21.700,73.90
0.570,6.339,109.993,17.974,19.413,21.700,74.11
0.580,6.337,109.993,17.992,19.438,21.700,74.32
0.590,6.334,109.992,18.010,19.463,21.700,74.54
0.600,6.331,109.992,18.029,19.489,21.700,74.77
0.610,6.328,109.992,18.047,19.515,21.700,75.00
0.620,6.325,109.991,18.066,19.541,21.700,75.23
0.630,6.322,109.991,18.084,19.568,21.700,75.47
0.640,6.319,109.991,18.103,19.594,21.700,75.71
0.650,6.316,109.990,18.122,19.621,21.700,75.96
0.660,6.313,109.990,18.140,19.648,21.700,76.21
0.670,6.310,109.990,18.159,19.675,21.700,76.47
0.680,6.306,109.989,18.177,19.702,21.700,76.73
0.690,6.303,109.989,18.196,19.729,21.700,76.99
0.700,6.299,109.989,18.214,19.756,21.700,77.26
0.710,6.296,109.988,18.232,19.783,21.700,77.53
0.720,6.292,109.988,18.250,19.811,21.700,77.81
0.730,6.289,109.987,18.268,19.838,21.700,78.09
0.740,6.285,109.987,18.286,19.865,21.700,78.37
0.750,6.281,109.986,18.303,19.892,21.700,78.66
0.760,6.278,109.986,18.321,19.919,21.700,78.95
0.770,6.274,109.986,18.338,19.945,21.700,79.25
0.780,6.270,109.985,18.354,19.972,21.700,79.55
0.790,6.266,109.985,18.371,19.998,21.700,79.85
