t,U,U,Pij,Pg,Pgt,delta
0.010,6.300,110.000,9.896,21.500,21.500,67.73
0.020,6.300,110.000,9.896,21.500,21.500,67.73
0.030,6.300,110.000,9.896,21.500,21.500,67.73
0.040,6.300,110.000,9.896,21.500,21.500,67.73
0.050,6.300,110.000,9.896,21.500,21.500,67.73
0.060,6.300,110.000,9.896,21.500,21.500,67.73
0.070,6.300,110.000,9.896,21.500,21.500,67.73
0.080,6.300,110.000,9.896,21.500,21.500,67.73
0.090,6.300,110.000,9.896,21.500,21.500,67.73
0.100,6.300,110.000,9.896,21.500,21.500,67.73
0.110,6.300,110.000,9.896,21.500,21.500,67.73
0.120,6.300,110.000,9.896,21.500,21.500,67.73
0.130,6.300,110.000,9.896,21.500,21.500,67.73
0.140,6.300,110.000,9.896,21.500,21.500,67.73
0.150,6.300,110.000,9.896,21.500,21.500,67.73
0.160,6.300,110.000,9.896,21.500,21.500,67.73
0.170,6.300,110.000,9.896,21.500,21.500,67.73
0.180,6.300,110.000,9.896,21.500,21.500,67.73
0.190,6.300,110.000,9.896,21.500,21.500,67.73
0.200,6.300,110.000,9.896,21.500,21.500,67.73
0.200,6.375,109.999,17.363,18.627,21.500,67.73
0.210,6.375,109.999,17.364,18.628,21.500,67.73
0.220,6.375,109.999,17.366,18.631,21.500,67.75
0.230,6.375,109.999,17.370,18.636,21.500,67.78
0.240,6.374,109.999,17.375,18.642,21.500,67.83
0.250,6.374,109.999,17.382,18.651,21.500,67.89
0.260,6.373,109.999,17.391,18.662,21.500,67.96
0.270,6.372,109.999,17.401,18.675,21.500,68.04
0.280,6.371,109.998,17.412,18.689,21.500,68.14
0.290,6.370,109.998,17.425,18.705,21.500,68.25
0.300,6.369,109.998,17.439,18.723,21.500,68.37
0.310,6.367,109.998,17.455,18.743,21.500,68.51
0.320,6.366,109.998,17.471,18.765,21.500,68.65
0.330,6.364,109.998,17.489,18.788,21.500,68.81
0.340,6.362,109.997,17.509,18.813,21.500,68.98
0.350,6.361,109.997,17.529,18.839,21.500,69.16
0.360,6.359,109.997,17.550,18.867,21.500,69.36
0.370,6.356,109.996,17.573,18.896,21.500,69.56
0.380,6.354,109.996,17.597,18.926,21.500,69.78
0.390,6.352,109.996,17.621,18.958,21.500,70.00
0.400,6.349,109.995,17.646,18.991,21.500,70.24
0.410,6.347,109.995,17.673,19.026,21.500,70.49
0.420,6.344,109.995,17.700,19.061,21.500,70.75
0.430,6.341,109.994,17.727,19.098,21.500,71.02
0.440,6.338,109.994,17.756,19.136,21.500,71.30
0.450,6.335,109.994,17.785,19.174,21.500,71.59
0.460,6.332,109.993,17.814,19.213,21.500,71.89
0.470,6.329,109.993,17.844,19.254,21.500,72.21
0.480,6.325,109.992,17.874,19.294,21.500,72.53
0.490,6.322,109.992,17.905,19.336,21.500,72.86
0.500,6.318,109.991,17.936,19.378,21.500,73.19
0.510,6.314,109.991,17.967,19.421,21.500,73.54
0.520,6.311,109.990,17.998,19.464,21.500,73.90
0.530,6.307,109.990,18.029,19.507,21.500,74.27
0.540,6.303,109.989,18.060,19.551,21.500,74.64
0.550,6.298,109.989,18.091,19.594,21.500,75.02
0.560,6.294,109.988,18.122,19.638,21.500,75.41
0.570,6.290,109.987,18.153,19.682,21.500,75.81
0.580,6.285,109.987,18.183,19.726,21.500,76.22
0.590,6.281,109.986,18.213,19.770,21.500,76.63
0.600,6.276,109.986,18.243,19.814,21.500,77.05
0.610,6.271,109.985,18.272,19.857,21.500,77.48
0.620,6.266,109.984,18.300,19.901,21.500,77.91
0.630,6.262,109.984,18.328,19.943,21.500,78.36
