t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,15.938,34.700,34.700,59.55
0.020,10.500,110.000,15.938,34.700,34.700,59.55
0.030,10.500,110.000,15.938,34.700,34.700,59.55
0.040,10.500,110.000,15.938,34.700,34.700,59.55
0.050,10.500,110.000,15.938,34.700,34.700,59.55
0.060,10.500,110.000,15.938,34.700,34.700,59.55
0.070,10.500,110.000,15.938,34.700,34.700,59.55
0.080,10.500,110.000,15.938,34.700,34.700,59.55
0.090,10.500,110.000,15.938,34.700,34.700,59.55
0.100,10.500,110.000,15.938,34.700,34.700,59.55
0.100,10.577,110.002,27.910,29.998,34.700,59.55
0.110,10.577,110.002,27.912,30.000,34.700,59.56
0.120,10.576,110.002,27.916,30.006,34.700,59.57
0.130,10.576,110.002,27.924,30.015,34.700,59.60
0.140,10.576,110.002,27.934,30.028,34.700,59.64
0.150,10.575,110.002,27.948,30.044,34.700,59.69
0.160,10.574,110.001,27.964,30.064,34.700,59.75
0.170,10.574,110.001,27.983,30.088,34.700,59.82
0.180,10.573,110.001,28.005,30.115,34.700,59.90
0.190,10.572,110.001,28.030,30.145,34.700,59.99
0.200,10.570,110.001,28.057,30.179,34.700,60.09
0.210,10.569,110.000,28.087,30.216,34.700,60.20
0.220,10.568,110.000,28.119,30.256,34.700,60.32
0.230,10.566,110.000,28.154,30.299,34.700,60.46
0.240,10.564,110.000,28.192,30.345,34.700,60.60
0.250,10.562,109.999,28.232,30.395,34.700,60.75
0.260,10.561,109.999,28.274,30.447,34.700,60.91
0.270,10.559,109.998,28.318,30.501,34.700,61.07
0.280,10.556,109.998,28.364,30.559,34.700,61.25
0.290,10.554,109.998,28.412,30.619,34.700,61.44
0.300,10.552,109.997,28.463,30.682,34.700,61.63
0.310,10.549,109.997,28.515,30.747,34.700,61.84
0.320,10.547,109.996,28.569,30.815,34.700,62.05
0.330,10.544,109.996,28.624,30.884,34.700,62.27
0.340,10.541,109.995,28.681,30.956,34.700,62.50
0.350,10.538,109.994,28.740,31.030,34.700,62.74
0.360,10.535,109.994,28.800,31.106,34.700,62.98
0.370,10.532,109.993,28.862,31.184,34.700,63.24
0.380,10.529,109.993,28.924,31.263,34.700,63.50
0.390,10.525,109.992,28.988,31.344,34.700,63.76
0.400,10.522,109.991,29.053,31.427,34.700,64.04
0.410,10.518,109.991,29.118,31.511,34.700,64.32
0.420,10.515,109.990,29.185,31.596,34.700,64.61
0.430,10.511,109.989,29.252,31.682,34.700,64.90
0.440,10.507,109.988,29.320,31.770,34.700,65.20
0.450,10.503,109.988,29.388,31.859,34.700,65.51
0.460,10.499,109.987,29.457,31.948,34.700,65.82
0.470,10.495,109.986,29.526,32.038,34.700,66.14
0.480,10.491,109.985,29.596,32.129,34.700,66.46
0.490,10.487,109.985,29.666,32.221,34.700,66.79
0.500,10.482,109.984,29.735,32.312,34.700,67.13
0.510,10.478,109.983,29.805,32.405,34.700,67.46
0.520,10.473,109.982,29.874,32.497,34.700,67.81
0.530,10.469,109.981,29.944,32.590,34.700,68.16
0.540,10.464,109.980,30.013,32.683,34.700,68.51
0.550,10.459,109.980,30.082,32.775,34.700,68.86
0.560,10.455,109.979,30.150,32.868,34.700,69.22
0.570,10.450,109.978,30.218,32.960,34.700,69.59
0.580,10.445,109.977,30.285,33.052,34.700,69.95
0.590,10.440,109.976,30.351,33.144,34.700,70.32
0.600,10.435,109.975,30.417,33.235,34.700,70.70
0.610,10.430,109.974,30.482,33.326,34.700,71.07
0.620,10.425,109.973,30.546,33.416,34.700,71.45
0.630,10.419,109.972,30.609,33.505,34.700,71.83
0.640,10.414,109.971,30.671,33.593,34.700,72.22
0.650,10.409,109.970,30.732,33.681,34.700,72.60
0.660,10.403,109.969,30.792,33.768,34.700,72.99
0.670,10.398,109.968,30.851,33.853,34.700,73.38
0.680,10.393,109.967,30.909,33.938,34.700,73.77
0.690,10.387,109.966,30.965,34.022,34.700,74.16
0.700,10.382,109.965,31.020,34.104,34.700,74.55
0.710,10.376,109.964,31.074,34.185,34.700,74.95
0.720,10.371,109.963,31.126,34.265,34.700,75.34
0.730,10.365,109.962,31.177,34.344,34.700,75.74
0.740,10.359,109.961,31.226,34.421,34.700,76.13
0.750,10.354,109.960,31.274,34.497,34.700,76.53
0.760,10.348,109.959,31.321,34.571,34.700,76.93
0.770,10.342,109.958,31.366,34.644,34.700,77.32
0.780,10.337,109.957,31.409,34.715,34.700,77.72
0.790,10.331,109.956,31.451,34.785,34.700,78.11
0.800,10.325,109.955,31.492,34.854,34.700,78.51
0.810,10.320,109.954,31.531,34.921,34.700,78.90
0.820,10.314,109.953,31.568,34.986,34.700,79.30
0.830,10.308,109.952,31.604,35.049,34.700,79.69
0.840,10.302,109.951,31.638,35.111,34.700,80.08
0.850,10.297,109.950,31.670,35.172,34.700,80.47
0.860,10.291,109.949,31.701,35.230,34.700,80.86
0.870,10.285,109.948,31.731,35.288,34.700,81.25
0.880,10.280,109.947,31.758,35.343,34.700,81.64
0.890,10.274,109.946,31.785,35.397,34.700,82.02
0.900,10.268,109.945,31.810,35.449,34.700,82.40
0.910,10.262,109.944,31.833,35.499,34.700,82.78
0.920,10.257,109.943,31.854,35.548,34.700,83.16
0.930,10.251,109.942,31.875,35.596,34.700,83.54
0.940,10.246,109.941,31.893,35.641,34.700,83.91
0.950,10.240,109.940,31.910,35.685,34.700,84.29
0.960,10.234,109.940,31.926,35.727,34.700,84.66
0.970,10.229,109.939,31.941,35.768,34.700,85.03
