t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,15.251,33.000,33.000,55.82
0.020,10.500,110.000,15.251,33.000,33.000,55.82
0.030,10.500,110.000,15.251,33.000,33.000,55.82
0.040,10.500,110.000,15.251,33.000,33.000,55.82
0.050,10.500,110.000,15.251,33.000,33.000,55.82
0.060,10.500,110.000,15.251,33.000,33.000,55.82
0.070,10.500,110.000,15.251,33.000,33.000,55.82
0.080,10.500,110.000,15.251,33.000,33.000,55.82
0.090,10.500,110.000,15.251,33.000,33.000,55.82
0.100,10.500,110.000,15.251,33.000,33.000,55.82
0.100,10.569,110.001,26.671,28.518,33.000,55.82
0.110,10.569,110.001,26.673,28.520,33.000,55.83
0.120,10.569,110.001,26.677,28.526,33.000,55.84
0.130,10.569,110.001,26.685,28.536,33.000,55.87
0.140,10.568,110.000,26.696,28.549,33.000,55.91
0.150,10.568,110.000,26.711,28.566,33.000,55.95
0.160,10.567,110.000,26.728,28.587,33.000,56.01
0.170,10.566,110.000,26.748,28.611,33.000,56.08
0.180,10.565,110.000,26.771,28.639,33.000,56.15
0.190,10.564,110.000,26.797,28.670,33.000,56.24
0.200,10.563,110.000,26.826,28.705,33.000,56.34
0.210,10.562,109.999,26.858,28.743,33.000,56.44
0.220,10.561,109.999,26.892,28.784,33.000,56.56
0.230,10.559,109.999,26.929,28.829,33.000,56.68
0.240,10.558,109.998,26.969,28.876,33.000,56.82
0.250,10.556,109.998,27.011,28.927,33.000,56.96
0.260,10.554,109.998,27.056,28.981,33.000,57.11
0.270,10.553,109.997,27.103,29.037,33.000,57.27
0.280,10.551,109.997,27.152,29.097,33.000,57.44
0.290,10.549,109.997,27.203,29.159,33.000,57.62
0.300,10.547,109.996,27.257,29.224,33.000,57.80
0.310,10.544,109.996,27.312,29.291,33.000,58.00
0.320,10.542,109.995,27.370,29.361,33.000,58.20
0.330,10.540,109.995,27.429,29.433,33.000,58.41
0.340,10.537,109.994,27.490,29.507,33.000,58.63
0.350,10.534,109.994,27.553,29.584,33.000,58.85
0.360,10.532,109.993,27.617,29.662,33.000,59.08
0.370,10.529,109.993,27.683,29.743,33.000,59.32
0.380,10.526,109.992,27.750,29.825,33.000,59.57
0.390,10.523,109.992,27.819,29.909,33.000,59.82
0.400,10.520,109.991,27.888,29.995,33.000,60.08
0.410,10.517,109.990,27.959,30.083,33.000,60.34
0.420,10.513,109.990,28.031,30.171,33.000,60.61
0.430,10.510,109.989,28.103,30.261,33.000,60.89
0.440,10.507,109.988,28.177,30.353,33.000,61.17
0.450,10.503,109.988,28.251,30.445,33.000,61.46
0.460,10.500,109.987,28.326,30.538,33.000,61.76
0.470,10.496,109.986,28.401,30.632,33.000,62.05
