t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,8.665,18.500,18.500,51.93
0.020,10.500,110.000,8.665,18.500,18.500,51.93
0.030,10.500,110.000,8.665,18.500,18.500,51.93
0.040,10.500,110.000,8.665,18.500,18.500,51.93
0.050,10.500,110.000,8.665,18.500,18.500,51.93
0.060,10.500,110.000,8.665,18.500,18.500,51.93
0.070,10.500,110.000,8.665,18.500,18.500,51.93
0.080,10.500,110.000,8.665,18.500,18.500,51.93
0.090,10.500,110.000,8.665,18.500,18.500,51.93
0.100,10.500,110.000,8.665,18.500,18.500,51.93
0.110,10.500,110.000,8.665,18.500,18.500,51.93
0.120,10.500,110.000,8.665,18.500,18.500,51.93
0.130,10.500,110.000,8.665,18.500,18.500,51.93
0.140,10.500,110.000,8.665,18.500,18.500,51.93
0.150,10.500,110.000,8.665,18.500,18.500,51.93
0.160,10.500,110.000,8.665,18.500,18.500,51.93
0.170,10.500,110.000,8.665,18.500,18.500,51.93
0.180,10.500,110.000,8.665,18.500,18.500,51.93
0.190,10.500,110.000,8.665,18.500,18.500,51.93
0.200,10.500,110.000,8.665,18.500,18.500,51.93
0.200,10.541,109.997,14.951,15.796,18.500,51.93
0.210,10.541,109.997,14.952,15.796,18.500,51.93
0.220,10.541,109.997,14.953,15.799,18.500,51.94
0.230,10.541,109.997,14.957,15.802,18.500,51.95
0.240,10.540,109.997,14.961,15.807,18.500,51.98
0.250,10.540,109.997,14.967,15.814,18.500,52.01
0.260,10.540,109.997,14.974,15.822,18.500,52.04
0.270,10.540,109.997,14.982,15.831,18.500,52.08
0.280,10.539,109.997,14.991,15.842,18.500,52.13
0.290,10.539,109.997,15.001,15.854,18.500,52.18
0.300,10.539,109.997,15.013,15.867,18.500,52.24
0.310,10.538,109.997,15.025,15.881,18.500,52.30
0.320,10.538,109.996,15.039,15.897,18.500,52.37
0.330,10.537,109.996,15.054,15.915,18.500,52.45
0.340,10.537,109.996,15.070,15.933,18.500,52.53
0.350,10.536,109.996,15.087,15.953,18.500,52.62
0.360,10.536,109.996,15.106,15.974,18.500,52.71
0.370,10.535,109.996,15.125,15.996,18.500,52.81
0.380,10.534,109.996,15.145,16.019,18.500,52.91
0.390,10.534,109.996,15.166,16.044,18.500,53.02
0.400,10.533,109.995,15.188,16.069,18.500,53.14
0.410,10.532,109.995,15.211,16.096,18.500,53.26
0.420,10.531,109.995,15.235,16.124,18.500,53.38
0.430,10.530,109.995,15.260,16.153,18.500,53.51
0.440,10.529,109.995,15.286,16.183,18.500,53.64
0.450,10.528,109.995,15.313,16.214,18.500,53.78
0.460,10.528,109.994,15.340,16.246,18.500,53.93
0.470,10.527,109.994,15.369,16.278,18.500,54.08
0.480,10.525,109.994,15.398,16.312,18.500,54.23
0.490,10.524,109.994,15.428,16.347,18.500,54.39
0.500,10.523,109.994,15.458,16.383,18.500,54.56
0.510,10.522,109.993,15.490,16.419,18.500,54.72
0.520,10.521,109.993,15.522,16.457,18.500,54.90
0.530,10.520,109.993,15.554,16.495,18.500,55.07
0.540,10.519,109.993,15.588,16.534,18.500,55.25
0.550,10.517,109.992,15.622,16.573,18.500,55.44
0.560,10.516,109.992,15.656,16.614,18.500,55.63
0.570,10.515,109.992,15.691,16.655,18.500,55.82
0.580,10.513,109.992,15.727,16.696,18.500,56.02
0.590,10.512,109.991,15.763,16.739,18.500,56.22
0.600,10.510,109.991,15.799,16.782,18.500,56.42
0.610,10.509,109.991,15.836,16.825,18.500,56.63
0.620,10.507,109.991,15.873,16.869,18.500,56.84
0.630,10.506,109.990,15.911,16.914,18.500,57.06
0.640,10.504,109.990,15.949,16.959,18.500,57.28
0.650,10.503,109.990,15.988,17.004,18.500,57.50
0.660,10.501,109.989,16.026,17.050,18.500,57.72
0.670,10.500,109.989,16.065,17.096,18.500,57.95
0.680,10.498,109.989,16.104,17.143,18.500,58.18
0.690,10.496,109.989,16.144,17.190,18.500,58.41
0.700,10.495,109.988,16.183,17.237,18.500,58.65
0.710,10.493,109.988,16.223,17.284,18.500,58.89
0.720,10.491,109.988,16.263,17.332,18.500,59.13
0.730,10.489,109.987,16.303,17.380,18.500,59.37
0.740,10.488,109.987,16.343,17.428,18.500,59.62
0.750,10.486,109.987,16.383,17.476,18.500,59.87
0.760,10.484,109.986,16.423,17.524,18.500,60.12
0.770,10.482,109.986,16.463,17.572,18.500,60.37
0.780,10.480,109.986,16.503,17.621,18.500,60.62
0.790,10.478,109.985,16.543,17.669,18.500,60.88
0.800,10.476,109.985,16.583,17.717,18.500,61.13
0.810,10.474,109.984,16.623,17.766,18.500,61.39
0.820,10.472,109.984,16.662,17.814,18.500,61.65
0.830,10.470,109.984,16.702,17.862,18.500,61.91
0.840,10.468,109.983,16.741,17.910,18.500,62.17
0.850,10.466,109.983,16.781,17.958,18.500,62.44
0.860,10.464,109.983,16.820,18.006,18.500,62.70
0.870,10.462,109.982,16.858,18.054,18.500,62.97
0.880,10.460,109.982,16.897,18.101,18.500,63.23
0.890,10.458,109.982,16.935,18.149,18.500,63.50
0.900,10.456,109.981,16.973,18.196,18.500,63.77
0.910,10.454,109.981,17.011,18.242,18.500,64.03
0.920,10.452,109.980,17.048,18.289,18.500,64.30
0.930,10.450,109.980,17.085,18.335,18.500,64.57
0.940,10.448,109.980,17.122,18.381,18.500,64.84
0.950,10.446,109.979,17.158,18.426,18.500,65.11
0.960,10.444,109.979,17.194,18.472,18.500,65.38
0.970,10.442,109.978,17.229,18.516,18.500,65.65
0.980,10.439,109.978,17.265,18.561,18.500,65.91
0.990,10.437,109.978,17.299,18.605,18.500,66.18
1.000,10.435,109.977,17.334,18.648,18.500,66.45
1.010,10.433,109.977,17.367,18.691,18.500,66.72
1.020,10.431,109.977,17.401,18.734,18.500,66.98
1.030,10.429,109.976,17.434,18.776,18.500,67.25
1.040,10.427,109.976,17.466,18.818,18.500,67.51
1.050,10.425,109.975,17.498,18.859,18.500,67.78
1.060,10.422,109.975,17.530,18.900,18.500,68.04
1.070,10.420,109.975,17.561,18.940,18.500,68.30
1.080,10.418,109.974,17.591,18.980,18.500,68.57
1.090,10.416,109.974,17.621,19.019,18.500,68.83
1.100,10.414,109.974,17.651,19.058,18.500,69.08
1.110,10.412,109.973,17.680,19.096,18.500,69.34
1.120,10.410,109.973,17.708,19.133,18.500,69.60
1.130,10.408,109.972,17.736,19.170,18.500,69.85
1.140,10.406,109.972,17.764,19.207,18.500,70.11
1.150,10.403,109.972,17.791,19.242,18.500,70.36
1.160,10.401,109.971,17.817,19.278,18.500,70.61
1.170,10.399,109.971,17.843,19.312,18.500,70.85
1.180,10.397,109.971,17.868,19.347,18.500,71.10
1.190,10.395,109.970,17.893,19.380,18.500,71.34
1.200,10.393,109.970,17.918,19.413,18.500,71.59
1.210,10.391,109.970,17.941,19.445,18.500,71.82
1.220,10.389,109.969,17.965,19.477,18.500,72.06
1.230,10.387,109.969,17.987,19.508,18.500,72.30
1.240,10.385,109.969,18.010,19.539,18.500,72.53
1.250,10.383,109.968,18.031,19.569,18.500,72.76
1.260,10.381,109.968,18.052,19.598,18.500,72.99
1.270,10.380,109.968,18.073,19.627,18.500,73.21
