t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,9.210,19.800,19.800,56.69
0.020,10.500,110.000,9.210,19.800,19.800,56.69
0.030,10.500,110.000,9.210,19.800,19.800,56.69
0.040,10.500,110.000,9.210,19.800,19.800,56.69
0.050,10.500,110.000,9.210,19.800,19.800,56.69
0.060,10.500,110.000,9.210,19.800,19.800,56.69
0.070,10.500,110.000,9.210,19.800,19.800,56.69
0.080,10.500,110.000,9.210,19.800,19.800,56.69
0.090,10.500,110.000,9.210,19.800,19.800,56.69
0.100,10.500,110.000,9.210,19.800,19.800,56.69
0.110,10.500,110.000,9.210,19.800,19.800,56.69
0.120,10.500,110.000,9.210,19.800,19.800,56.69
0.130,10.500,110.000,9.210,19.800,19.800,56.69
0.140,10.500,110.000,9.210,19.800,19.800,56.69
0.150,10.500,110.000,9.210,19.800,19.800,56.69
0.160,10.500,110.000,9.210,19.800,19.800,56.69
0.170,10.500,110.000,9.210,19.800,19.800,56.69
0.180,10.500,110.000,9.210,19.800,19.800,56.69
0.190,10.500,110.000,9.210,19.800,19.800,56.69
0.200,10.500,110.000,9.210,19.800,19.800,56.69
0.200,10.547,109.998,15.918,16.913,19.800,56.69
0.210,10.547,109.998,15.918,16.914,19.800,56.70
0.220,10.547,109.998,15.920,16.916,19.800,56.71
0.230,10.547,109.998,15.923,16.920,19.800,56.73
0.240,10.547,109.998,15.927,16.925,19.800,56.75
0.250,10.546,109.998,15.933,16.931,19.800,56.78
0.260,10.546,109.998,15.939,16.939,19.800,56.82
0.270,10.546,109.998,15.947,16.948,19.800,56.86
0.280,10.545,109.998,15.956,16.958,19.800,56.91
0.290,10.545,109.998,15.965,16.970,19.800,56.97
0.300,10.545,109.998,15.976,16.983,19.800,57.03
0.310,10.544,109.998,15.988,16.997,19.800,57.10
0.320,10.544,109.997,16.002,17.013,19.800,57.17
0.330,10.543,109.997,16.016,17.029,19.800,57.25
0.340,10.542,109.997,16.031,17.047,19.800,57.34
0.350,10.542,109.997,16.047,17.067,19.800,57.43
0.360,10.541,109.997,16.064,17.087,19.800,57.53
0.370,10.540,109.997,16.083,17.109,19.800,57.64
0.380,10.540,109.997,16.102,17.131,19.800,57.75
0.390,10.539,109.996,16.122,17.155,19.800,57.87
0.400,10.538,109.996,16.143,17.180,19.800,57.99
0.410,10.537,109.996,16.165,17.206,19.800,58.12
0.420,10.536,109.996,16.187,17.233,19.800,58.25
0.430,10.535,109.996,16.211,17.261,19.800,58.39
0.440,10.534,109.996,16.235,17.290,19.800,58.53
0.450,10.533,109.995,16.261,17.320,19.800,58.68
0.460,10.532,109.995,16.287,17.351,19.800,58.84
0.470,10.531,109.995,16.313,17.383,19.800,59.00
0.480,10.529,109.995,16.341,17.416,19.800,59.17
0.490,10.528,109.994,16.369,17.450,19.800,59.34
0.500,10.527,109.994,16.398,17.485,19.800,59.51
0.510,10.525,109.994,16.427,17.520,19.800,59.69
0.520,10.524,109.994,16.457,17.556,19.800,59.88
0.530,10.523,109.993,16.488,17.593,19.800,60.07
0.540,10.521,109.993,16.519,17.631,19.800,60.26
0.550,10.520,109.993,16.551,17.669,19.800,60.46
0.560,10.518,109.993,16.584,17.708,19.800,60.67
0.570,10.517,109.992,16.616,17.748,19.800,60.88
0.580,10.515,109.992,16.650,17.788,19.800,61.09
0.590,10.513,109.992,16.683,17.829,19.800,61.31
0.600,10.512,109.991,16.717,17.870,19.800,61.53
0.610,10.510,109.991,16.752,17.912,19.800,61.75
0.620,10.508,109.991,16.786,17.955,19.800,61.98
0.630,10.507,109.991,16.822,17.998,19.800,62.22
0.640,10.505,109.990,16.857,18.041,19.800,62.45
0.650,10.503,109.990,16.892,18.085,19.800,62.69
0.660,10.501,109.989,16.928,18.129,19.800,62.94
0.670,10.499,109.989,16.964,18.173,19.800,63.18
0.680,10.497,109.989,17.001,18.218,19.800,63.44
0.690,10.495,109.988,17.037,18.263,19.800,63.69
0.700,10.493,109.988,17.073,18.308,19.800,63.95
0.710,10.491,109.988,17.110,18.353,19.800,64.21
0.720,10.489,109.987,17.146,18.399,19.800,64.47
0.730,10.487,109.987,17.183,18.445,19.800,64.74
0.740,10.485,109.987,17.220,18.491,19.800,65.01
0.750,10.483,109.986,17.256,18.536,19.800,65.28
0.760,10.481,109.986,17.293,18.583,19.800,65.55
0.770,10.479,109.985,17.329,18.629,19.800,65.83
0.780,10.476,109.985,17.366,18.675,19.800,66.11
0.790,10.474,109.985,17.402,18.721,19.800,66.39
0.800,10.472,109.984,17.438,18.767,19.800,66.67
0.810,10.470,109.984,17.474,18.813,19.800,66.96
0.820,10.467,109.983,17.510,18.858,19.800,67.25
0.830,10.465,109.983,17.545,18.904,19.800,67.53
