t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,8.322,17.700,17.700,49.15
0.020,10.500,110.000,8.322,17.700,17.700,49.15
0.030,10.500,110.000,8.322,17.700,17.700,49.15
0.040,10.500,110.000,8.322,17.700,17.700,49.15
0.050,10.500,110.000,8.322,17.700,17.700,49.15
0.060,10.500,110.000,8.322,17.700,17.700,49.15
0.070,10.500,110.000,8.322,17.700,17.700,49.15
0.080,10.500,110.000,8.322,17.700,17.700,49.15
0.090,10.500,110.000,8.322,17.700,17.700,49.15
0.100,10.500,110.000,8.322,17.700,17.700,49.15
0.110,10.500,110.000,8.322,17.700,17.700,49.15
0.120,10.500,110.000,8.322,17.700,17.700,49.15
0.130,10.500,110.000,8.322,17.700,17.700,49.15
0.140,10.500,110.000,8.322,17.700,17.700,49.15
0.150,10.500,110.000,8.322,17.700,17.700,49.15
0.160,10.500,110.000,8.322,17.700,17.700,49.15
0.170,10.500,110.000,8.322,17.700,17.700,49.15
0.180,10.500,110.000,8.322,17.700,17.700,49.15
0.190,10.500,110.000,8.322,17.700,17.700,49.15
0.200,10.537,109.996,14.347,15.109,17.700,49.15
0.210,10.537,109.996,14.348,15.110,17.700,49.16
0.220,10.537,109.996,14.350,15.112,17.700,49.17
0.230,10.537,109.996,14.353,15.115,17.700,49.18
0.240,10.537,109.996,14.357,15.121,17.700,49.20
0.250,10.537,109.996,14.363,15.127,17.700,49.23
0.260,10.537,109.996,14.370,15.135,17.700,49.26
0.270,10.536,109.996,14.378,15.144,17.700,49.30
0.280,10.536,109.996,14.388,15.155,17.700,49.35
0.290,10.536,109.996,14.398,15.167,17.700,49.40
0.300,10.536,109.996,14.410,15.180,17.700,49.45
0.310,10.535,109.996,14.423,15.195,17.700,49.51
0.320,10.535,109.996,14.437,15.211,17.700,49.58
0.330,10.534,109.996,14.452,15.228,17.700,49.65
0.340,10.534,109.996,14.468,15.247,17.700,49.73
0.350,10.533,109.996,14.486,15.266,17.700,49.82
0.360,10.533,109.996,14.504,15.287,17.700,49.90
0.370,10.532,109.995,14.524,15.310,17.700,50.00
0.380,10.531,109.995,14.544,15.333,17.700,50.10
0.390,10.531,109.995,14.566,15.358,17.700,50.20
0.400,10.530,109.995,14.588,15.383,17.700,50.31
0.410,10.529,109.995,14.612,15.410,17.700,50.43
0.420,10.529,109.995,14.636,15.438,17.700,50.55
0.430,10.528,109.995,14.662,15.467,17.700,50.67
0.440,10.527,109.994,14.688,15.497,17.700,50.80
0.450,10.526,109.994,14.715,15.528,17.700,50.93
0.460,10.525,109.994,14.743,15.560,17.700,51.07
0.470,10.524,109.994,14.772,15.594,17.700,51.21
0.480,10.523,109.994,14.802,15.628,17.700,51.36
0.490,10.522,109.994,14.832,15.663,17.700,51.51
0.500,10.521,109.993,14.864,15.698,17.700,51.67
0.510,10.520,109.993,14.896,15.735,17.700,51.83
0.520,10.519,109.993,14.928,15.773,17.700,51.99
0.530,10.518,109.993,14.962,15.811,17.700,52.16
0.540,10.517,109.992,14.996,15.850,17.700,52.33
0.550,10.516,109.992,15.030,15.890,17.700,52.51
0.560,10.515,109.992,15.065,15.931,17.700,52.69
0.570,10.514,109.992,15.101,15.972,17.700,52.88
0.580,10.512,109.992,15.138,16.014,17.700,53.06
0.590,10.511,109.991,15.174,16.057,17.700,53.25
0.600,10.510,109.991,15.212,16.100,17.700,53.45
0.610,10.508,109.991,15.250,16.144,17.700,53.65
0.620,10.507,109.991,15.288,16.188,17.700,53.85
0.630,10.506,109.990,15.326,16.233,17.700,54.05
0.640,10.504,109.990,15.366,16.278,17.700,54.26
0.650,10.503,109.990,15.405,16.324,17.700,54.47
0.660,10.501,109.989,15.445,16.370,17.700,54.68
0.670,10.500,109.989,15.485,16.417,17.700,54.90
0.680,10.498,109.989,15.525,16.464,17.700,55.12
0.690,10.497,109.989,15.565,16.511,17.700,55.34
0.700,10.495,109.988,15.606,16.559,17.700,55.56
0.710,10.494,109.988,15.647,16.607,17.700,55.79
0.720,10.492,109.988,15.688,16.655,17.700,56.01
0.730,10.491,109.987,15.729,16.703,17.700,56.24
0.740,10.489,109.987,15.770,16.752,17.700,56.48
0.750,10.487,109.987,15.811,16.800,17.700,56.71
0.760,10.486,109.986,15.853,16.849,17.700,56.94
0.770,10.484,109.986,15.894,16.898,17.700,57.18
